d2aeaf53e49bd7a0531ac5f6405edff8924b86a26efbca4d75844d051c8d08d0,cd3d831416e7e51c4e43427689e0f74cd74418b7b3967ea0b9e8f5d225026260,4808cf050ae0107ccfc64bdfb8bba528c74e3ca0eda59c2e16eecc3f087bf862,5e4e66a0bdd332a92306ee2de0f871afe847133b52665d2b223cc5301261607b,8d0d135eadd05929713fccc6f99f35a386cf0bc2fcb0b0971b4cdab13d49b8d3,780b8cd38e22a63144ff26f3b882f4b1746a4debfefb10076874e21692d4b69c,8317d1730c958dd8321a5f96c02a8c5846d0271ecb89e8e3db823bfcc9c70bf9,3eb2830ab7a3e31895c1c1eb8450bc240f13f82f2fc88a0d19034315aba56498,305cfd42646eba0a72e5b177e25d7680926ef73d03631a5277c6943cb54f2480,471f1193d89b74b1a40fd69b3ea89bc8ade53841369d0ff3e33174a07596667d
"1100001","1","1001","1003","575","10590","1","1002","1","32"
"1100002","1","1004","1006","575","10590","1","1005","1","32"
"1100003","1","1007","1009","575","10590","1","1008","2","32"
"1100004","1","1010","1012","500","11820","1","1011","1","33"
"1100005","1","1013","1015","500","11820","1","1014","1","33"
"1100006","1","1016","1018","500","11820","1","1017","2","33"
"1100007","1","1019","1021","500","11820","1","1020","4","33"
"1100008","1","1022","1024","375","13050","1","1023","1","35"
"1100009","1","1025","1027","375","13050","1","1026","1","35"
"1100010","1","1028","1030","375","13050","1","1029","6","35"
"1200001","2","2001","2003","575","10590","1","2002","1","34"
"1200002","2","2004","2006","575","10590","1","2005","1","34"
"1200003","2","2007","2009","575","10590","1","2008","1","34"
"1200004","2","2010","2012","575","10590","1","2011","1","34"
"1200005","2","2013","2015","575","10590","1","2014","2","34"
"1200006","2","2016","2018","575","10590","1","2017","4","34"
"1200007","2","2019","2021","575","10590","1","2020","6","34"
"1200008","2","2022","2024","500","11820","1","2023","1","35"
"1200009","2","2025","2027","500","11820","1","2026","1","35"
"1200010","2","2028","2030","500","11820","1","2029","1","35"
"1200011","2","2031","2033","500","11820","1","2032","1","35"
"1200012","2","2034","2036","500","11820","1","2035","4","35"
"1200013","2","2037","2039","500","11820","1","2038","6","35"
"1200014","2","2040","2042","375","13050","1","2041","1","38"
"1200015","2","2043","2045","375","13050","1","2044","1","38"
"1200016","2","2046","2048","375","13050","1","2047","1","38"
"1200017","2","2049","2051","375","13050","1","2050","1","38"
"1200018","2","2052","2054","375","13050","1","2053","2","38"
"1200019","2","2055","2057","375","13050","1","2056","4","38"
"1200020","2","2058","2060","375","13050","1","2059","6","38"
"1300001","3","3001","3003","575","10590","1","3002","1","37"
"1300002","3","3004","3006","575","10590","1","3005","1","37"
"1300003","3","3007","3009","575","10590","1","3008","1","37"
"1300004","3","3010","3012","575","10590","1","3011","1","37"
"1300005","3","3013","3015","575","10590","1","3014","1","37"
"1300006","3","3016","3018","575","10590","1","3017","1","37"
"1300007","3","3019","3021","575","10590","1","3020","2","37"
"1300008","3","3022","3024","575","10590","1","3023","2","37"
"1300009","3","3025","3027","575","10590","1","3026","4","37"
"1300010","3","3028","3030","575","10590","1","3029","6","37"
"1300011","3","3031","3033","500","11820","1","3032","1","38"
"1300012","3","3034","3036","500","11820","1","3035","1","38"
"1300013","3","3037","3039","500","11820","1","3038","1","38"
"1300014","3","3040","3042","500","11820","1","3041","1","38"
