4e4840a06c492fa4f55970bd707d1221033f4d33f79eaf7f3dcffeea24f5e3ea,295d85caf8d8cc574aef6a33b928a5837de2783009465eabf523bdfdd7f70495,1a6c4885492d2219c13dd12d064d767991bc3ede214d8c812c99e732569049c5,1972337bc33df8d537109aeff4b67f49a373c3467d92275e68b31cc318d6787f,81ce7b0ebe2bc7e631c619b6937f69642088f9791296ce5968220df89f223b82,9b553255458ee60e382e73ef8944f765e435ca4d0e25bf36e25f42c143a4a8c0,2f3f8193ea65dccfa76646cd7a31f39e3a6579b509e71c3d4968468c50c9783c,405f900330a5ed1412176c492bf43e6307630c2cdd2bf7253ea41048aa703979,94ae26019ef15403db0ecbcc5f72114b095fd500a1ab36fcbd44603e051c69b2,7dc62ef14477682ae51a3c96314cdc03d462c7f815b8d649da6377cfb048df0b,648e3c992f2965f5d8e7c9098e98b51044ff3084685d4ef9c264e117bf034196,11effc2f25c6d96e7323eb46869f930ea5e94424de7659a3f49fe2a9b78e956e
"3","1","1","1","-1","1","-1","1","1","13","100101","100"
"4","1","1","1","-1","1","-1","1","1","15","100201","130"
"4","1","1","1","-1","1","-1","1","1","17","100301","160"
"4","1","1","1","-1","1","120","1","1","19","100401","180"
"4","1","1","1","-1","1","-1","1","1","19","100402","180"
"4","1","1","1","-1","1","150","1","1","21","100501","200"
"4","1","1","1","-1","1","-1","1","1","21","100502","200"
"5","1","1","1","-1","1","180","1","1","23","100601","220"
"5","1","1","1","-1","1","-1","1","1","23","100602","220"
"5","1","1","1","-1","1","210","1","1","25","100701","240"
"5","1","1","1","-1","1","-1","1","1","25","100702","240"
"5","1","1","1","-1","1","240","1","1","27","100801","260"
"5","1","1","1","-1","1","-1","1","1","27","100802","260"
"5","1","1","1","-1","1","270","1","1","29","100901","280"
"5","1","1","1","-1","1","-1","1","1","29","100902","280"
"6","1","1","1","1","1","300","1","1","32","101001","300"
"6","1","1","1","-1","1","300","1","1","32","101002","300"
"6","1","1","1","-1","1","-1","1","1","32","101003","300"
"5","1","1","1","1","1","300","1","1","32","101004","300"
"5","1","1","1","-1","1","300","1","1","32","101005","300"
"5","1","1","1","-1","1","-1","1","1","32","101006","300"
"6","1","1","1","1","1","300","1","1","32","101101","310"
"6","1","1","1","-1","1","300","1","1","32","101102","310"
"6","1","1","1","-1","1","-1","1","1","32","101103","310"
"5","1","1","1","1","1","300","1","1","32","101104","310"
"5","1","1","1","-1","1","300","1","1","32","101105","310"
"5","1","1","1","-1","1","-1","1","1","32","101106","310"
"6","1","1","1","1","1","300","1","1","32","101201","320"
"6","1","1","1","-1","1","300","1","1","32","101202","320"
"6","1","1","1","-1","1","-1","1","1","32","101203","320"
"5","1","1","1","1","1","300","1","1","32","101204","320"
"5","1","1","1","-1","1","300","1","1","32","101205","320"
"5","1","1","1","-1","1","-1","1","1","32","101206","320"
"6","1","1","1","3","1","300","1","1","32","101301","330"
"6","1","1","1","-1","1","300","1","1","32","101302","330"
"6","1","1","1","-1","1","-1","1","1","32","101303","330"
"5","1","1","1","3","1","300","1","1","32","101304","330"
"5","1","1","1","-1","1","300","1","1","32","101305","330"
