de5d70298c0ec2e3a80c0ec2fc3ffdb4a7cd505b7dec7817bedf8314cfc80496,a6b988dfd197246247d27adc344488abd40ab05a560e6a22717f376bc4e2f700,4ca6075bcd9e5ae4727de317e5b33716eeca05f6d7c295b132aa70fe0f4bdb89,a3fadf42821a0532dd127c47d789f762a2f955e9529fdcc49be25f51e13f1d3e,11360d3bd66a2e7f463dabc08c6c4cff568bee7ea757f35651a455aa7dc13617,d0c122537883897339fcd83823ce85492a1f0fe61dfb34670b2e8dd89b1116f2,086c10e581e8d7e41145b923b3c1fe7f60fda2a915d5a6f7cd568d8c77c46fa2,7c43a021cf841801397efff82da5fbcaf159d01ce7046b5d9ea3d2b4ce171a67
"0","0","10012103","0","1001201","1","0","10012"
"0","0","10012107","0","1001202","2","0","10012"
"0","0","10012109","0","1001203","3","0","10012"
"0","0","10012114","0","1001204","4","1001201","10012"
"0","0","10012114","0","1001204","5","1001202","10012"
"0","0","10012114","0","1001204","6","1001203","10012"
"0","0","20012103","0","2001201","7","0","20012"
"0","0","20012107","0","2001202","8","0","20012"
"0","0","20012109","0","2001203","9","0","20012"
"0","0","20012114","0","2001204","10","2001201","20012"
"0","0","20012114","0","2001204","11","2001202","20012"
"0","0","20012114","0","2001204","12","2001203","20012"
