b065af52f6db3e6952ec06b0952de14ebb3d4d9566ab3360a5b5173a573f2e1a,49387fd2aed788971c9949f0aa216f0b2d211bc9472345241e92f0386765a9dc,886118258c69cddd5fe8a95122901c01e906d8afd3601d56fe6a7fde4782519f,0d76f04f96aa9d32b23a95f299b8b228af82a45b98576a3f1e36a56b7d6f59a2,709c120ef4b150926a861b011bdb48c2b5cbb7fb9279a17905c942ee51b9da16,6750acc3ae5fb470dc635d1f6162ed73b4a38f3c5fb83de77386cc56d5a5d09f,423cd61b4fb95e9baa7a9d1be51c78995119a81570b2a9e8c8d52f6b91488e66,13b703e55aec0ac1c99d1e810b95d4e3923d06e14be3567559c5a5f82b4a62c6,7487ffa0f327c4110705decdda050e53cf85f61ffd825831b94654f823047d1c,094129ffb1ccecf7513d90ffe0c68f407775903544b62224819b0657d41654f5,7c6b18edcfb2f526b9664f0f069813170fdecd5d5859d569070345b75d53ca85,31453d7d97457fe737b1ffe4c7b4dd323670be4231ceeb61daffd1fe64253769,640036b722122af3e186007fb4c01eea03ced01ccce6e33cd98fc0c095d6e2e5,ec82bad90b1090e6f86be2e6e7d1d2fd5eff4d05d5e63cb1dfe1029b1cbe2627,cc696b4aea59ed8bca8289e3941796b0e21d17658fc976ad8aa9d42449928ca7,12df7630c6e0cdc3ead396be477d12b54c6357ebd4ad573f679c19460159a5ef,d4ea7064602df5dc8a5ed9608207d6ada2853a4ca1174c9ac5ce0cdcf996a929,5ae2f1c14dbf1d9b36eebc7bf03d78c165365dc2656d050dace8219bb3603d86,cde4827c1c3fbc387c33c30806955b955f567cd110d8640ba634aa464a258bfa
"16","1","10","75","2","1","0","0","0","0","0","0","0","0","100101","65","0","0","0"
"68","2","30","125","3","3","0","0","0","0","0","0","0","0","100101","185","0","0","0"
"158","4","60","260","4","7","0","3","0","0","0","0","0","0","100101","420","0","0","0"
"293","7","100","420","5","12","0","7","0","0","0","0","0","0","100101","810","0","0","0"
"486","11","130","630","6","17","0","11","0","0","0","0","0","0","100101","1340","3","0","0"
"731","15","155","1235","7","26","0","17","0","0","0","0","0","0","100101","1660","6","0","0"
"1030","15","180","1795","8","35","0","24","0","0","9","0","10","0","100101","2290","9","0","0"
"1459","16","205","1795","9","46","0","27","0","0","23","5","40","0","100101","2540","9","0","0"
"1941","16","205","1795","10","51","0","35","0","0","37","10","100","0","100101","2740","9","0","10"
"2439","16","205","1795","11","55","0","44","0","0","37","15","158","0","100101","3100","9","3","20"
"2871","18","205","2045","12","66","0","46","0","0","37","15","198","0","100101","3470","9","36","20"
"3345","18","230","2045","13","79","0","54","0","0","37","15","251","0","100101","3720","9","56","20"
"3840","20","255","2045","14","97","0","68","0","0","37","15","328","0","100101","3880","9","56","20"
"4412","20","255","2045","15","111","0","82","0","0","37","15","448","0","100101","3880","9","56","20"
"5015","20","255","2045","16","124","0","94","0","0","37","15","586","0","100101","3880","9","59","20"
"5656","20","255","2045","17","142","0","103","0","0","37","15","711","0","100101","3930","9","62","20"
"6351","20","255","2045","18","157","0","119","0","0","37","15","856","0","100101","3980","9","62","20"
"7154","20","255","2045","19","173","0","135","0","0","37","15","984","0","100101","4075","9","62","20"
"8017","20","255","2045","20","203","0","147","0","0","37","15","1065","0","100101","4270","9","62","20"
"8971","20","255","2045","21","232","0","157","0","0","37","15","1160","0","100101","4580","9","62","20"
"10078","20","255","2045","22","259","0","176","0","0","37","15","1262","0","100101","4790","9","62","20"
"11352","20","255","2045","23","287","0","199","0","0","37","15","1343","0","100101","4880","9","62","20"
"12783","20","255","2045","24","308","0","221","0","0","37","15","1416","0","100101","4970","9","62","20"
"14334","20","255","2045","25","331","0","247","0","0","37","15","1471","0","100101","5230","9","62","20"
"15835","20","255","2045","26","359","0","280","0","0","37","15","1495","0","100101","6835","9","62","20"
"17449","20","255","2045","27","387","0","313","0","0","37","15","1513","0","100101","8440","9","62","20"
"19454","20","255","2045","28","400","0","326","0","0","37","15","1538","0","100101","9225","9","62","20"
"21599","20","255","2045","29","415","0","341","0","0","37","15","1571","0","100101","10010","9","62","20"
"23844","20","255","2045","30","440","0","366","0","0","37","15","1614","0","100101","10270","9","62","20"
"26318","20","255","2045","31","450","0","376","0","0","37","15","1657","0","100101","10795","9","62","20"
"28948","20","255","2045","32","450","0","376","0","0","37","15","1690","0","100101","11845","9","62","20"
"31669","20","255","2045","33","461","0","387","0","0","37","15","1729","0","100101","12370","9","62","20"
"34498","20","255","2045","34","483","0","409","0","0","37","15","1775","0","100101","12370","9","62","20"
"37455","20","255","2045","35","505","0","431","0","0","37","15","1821","0","100101","12370","9","62","20"
"0","0","0","75","2","1","0","2","0","0","0","0","0","23","100201","55","0","0","0"
"0","0","0","125","3","1","0","8","0","0","0","0","0","81","100201","150","0","0","0"
"0","0","5","175","4","4","0","17","0","0","0","0","0","172","100201","325","0","0","10"
"0","0","15","175","5","4","0","33","0","0","0","0","0","349","100201","505","0","0","10"
"0","0","15","175","6","12","0","52","0","0","0","0","0","522","100201","1035","0","0","25"
"0","0","85","175","7","14","0","66","0","0","0","0","0","790","100201","1395","0","0","30"
"0","0","85","175","8","19","0","88","0","0","4","0","0","1089","100201","1675","0","0","75"
"0","0","100","175","9","25","0","109","6","0","9","5","0","1389","100201","2130","0","0","110"
"0","0","135","395","10","28","0","126","30","0","14","10","0","1758","100201","2490","0","0","115"
"0","0","151","735","11","35","0","145","53","0","14","10","0","2159","100201","2910","0","0","129"
"0","0","177","955","12","56","0","171","63","0","17","12","0","2471","100201","3430","0","0","138"
"0","0","199","1175","13","94","0","209","63","0","20","14","0","2705","100201","3810","0","0","140"
"0","0","199","1295","14","133","0","251","71","0","20","16","0","2982","100201","3990","0","0","146"
"0","0","199","1395","15","168","0","293","81","0","20","18","0","3310","100201","4130","0","0","151"
"0","0","199","1495","16","208","0","336","81","0","20","18","0","3658","100201","4330","0","0","157"
"0","3","214","1495","17","250","0","384","81","0","20","18","0","4008","100201","4510","0","0","158"
"0","6","229","1495","18","295","0","441","81","0","20","18","0","4353","100201","4915","0","0","158"
"0","6","229","1590","19","349","0","506","81","0","20","18","0","4719","100201","5560","0","0","158"
"0","6","229","1685","20","406","0","568","93","0","20","18","0","5176","100201","6145","0","0","158"
"0","6","229","1685","21","472","0","646","93","0","20","18","0","5618","100201","6765","0","0","158"
"0","6","229","1685","22","541","0","725","93","0","20","18","0","6142","100201","8080","0","0","158"
"0","6","229","1685","23","619","0","810","93","0","20","18","0","6707","100201","9855","0","0","158"
"0","6","229","1685","24","704","0","901","93","0","20","18","0","7347","100201","11380","0","0","158"
"0","6","229","1685","25","784","0","987","103","0","20","18","0","8212","100201","12675","0","0","158"
"0","6","229","1685","26","853","0","1062","118","0","20","18","0","9328","100201","13965","0","0","158"
"0","6","229","1685","27","920","0","1132","128","0","20","18","0","10563","100201","15535","0","0","158"
"0","6","229","1685","28","990","0","1203","138","0","20","18","0","11885","100201","17300","0","0","158"
"0","6","229","1685","29","1066","0","1279","148","0","20","18","0","13290","100201","19295","0","0","158"
"0","6","229","1685","30","1147","0","1360","158","0","20","18","0","14765","100201","21525","0","0","158"
"0","6","229","1685","31","1230","0","1443","168","0","20","18","0","16312","100201","23915","0","0","158"
"0","6","229","1685","32","1315","0","1528","178","0","20","18","0","17930","100201","26460","0","0","158"
"0","6","229","1685","33","1402","0","1615","188","0","20","18","0","19645","100201","29250","0","0","158"
"0","6","229","1685","34","1491","0","1704","198","0","20","18","0","21457","100201","32450","0","0","158"
"0","6","229","1685","35","1581","0","1794","208","0","20","18","0","23342","100201","36060","0","0","158"
"22","0","0","75","2","2","0","0","0","0","0","0","0","0","100301","95","0","0","0"
"71","0","0","125","3","6","0","2","0","0","0","0","0","0","100301","310","0","0","0"
"176","0","10","155","4","11","0","4","0","0","0","0","0","0","100301","685","0","0","0"
"289","0","20","155","5","20","0","11","0","0","0","0","0","0","100301","1435","0","0","5"
"499","0","35","245","6","31","0","13","0","0","0","0","0","0","100301","2300","0","0","5"
"746","0","35","715","7","43","0","15","0","0","0","0","0","0","100301","3270","0","0","5"
"1040","0","50","715","8","57","0","23","0","0","0","0","0","0","100301","4025","3","0","5"
"1353","0","65","1115","9","71","0","31","0","0","9","0","20","0","100301","4630","7","0","5"
"1729","5","65","1115","10","80","0","40","0","0","18","0","50","0","100301","4990","12","0","30"
"2147","7","65","1115","11","88","0","49","0","0","18","0","88","0","100301","5410","17","13","40"
"2581","7","65","1115","12","98","0","56","0","0","21","0","130","0","100301","6180","17","29","40"
"3026","7","98","1115","13","112","0","66","0","0","24","0","163","0","100301","6670","17","42","40"
"3571","7","131","1115","14","123","0","76","0","0","24","0","214","0","100301","7050","17","42","40"
"4098","7","131","1115","15","142","0","91","0","0","24","0","280","0","100301","7420","17","42","40"
"4716","7","143","1115","16","156","0","99","0","0","24","0","370","0","100301","7560","17","45","40"
"5390","7","143","1115","17","170","0","105","0","0","24","0","467","0","100301","7750","17","48","40"
"6136","7","143","1115","18","179","0","114","0","0","24","0","591","0","100301","8015","17","48","40"
"6947","7","143","1115","19","191","0","126","0","0","24","0","730","0","100301","8340","17","48","40"
"7816","7","143","1115","20","213","0","138","0","0","24","0","849","0","100301","8665","17","48","40"
"8795","7","143","1115","21","233","0","149","0","0","24","0","980","0","100301","8950","17","48","40"
"9978","7","143","1115","22","249","0","162","0","0","24","0","1098","0","100301","9165","17","48","40"
"11268","7","143","1115","23","273","0","181","0","0","24","0","1169","0","100301","9510","17","48","40"
"12629","7","143","1115","24","296","0","203","0","0","24","0","1230","0","100301","10190","17","48","40"
"14227","7","143","1115","25","310","0","222","0","0","24","0","1293","0","100301","10710","17","48","40"
"16038","7","143","1115","26","316","0","231","0","0","24","0","1332","0","100301","11535","17","48","40"
"17934","7","143","1115","27","321","0","238","0","0","24","0","1356","0","100301","12780","17","48","40"
"19958","7","143","1115","28","326","0","245","0","0","24","0","1380","0","100301","14025","17","48","40"
"22063","7","143","1115","29","341","0","260","0","0","24","0","1405","0","100301","15210","17","48","40"
"24192","7","143","1115","30","371","0","290","0","0","24","0","1431","0","100301","16130","17","48","40"
"26550","7","143","1115","31","386","0","305","0","0","24","0","1457","0","100301","17315","17","48","40"
"29128","7","143","1115","32","386","0","305","0","0","24","0","1483","0","100301","18865","17","48","40"
"31789","7","143","1115","33","386","0","305","0","0","24","0","1508","0","100301","20515","17","48","40"
"34482","7","143","1115","34","401","0","320","0","0","24","0","1532","0","100301","22000","17","48","40"
"37354","7","143","1115","35","416","0","335","0","0","24","0","1556","0","100301","23485","17","48","40"
"10","1","10","100","2","2","0","0","0","0","0","0","0","0","100401","65","0","0","0"
"58","2","25","200","3","5","0","0","0","0","0","0","0","0","100401","185","0","0","0"
"135","4","50","360","4","10","0","4","0","0","0","0","0","0","100401","475","0","0","0"
"243","7","80","520","5","17","0","10","0","0","0","0","0","0","100401","985","0","0","0"
"429","11","95","820","6","25","0","14","0","0","0","0","0","0","100401","1515","3","0","0"
"674","15","120","1425","7","34","0","20","0","0","0","0","0","0","100401","1835","6","0","0"
"912","15","145","1985","8","48","0","32","0","0","9","0","10","0","100401","2735","6","0","0"
"1157","22","145","1985","9","67","0","48","0","0","23","5","30","10","100401","3480","6","0","0"
"1392","27","145","1985","10","87","0","68","0","0","28","10","60","20","100401","4330","6","0","15"
"1695","32","145","1985","11","105","0","88","0","0","28","10","86","20","100401","5030","6","3","35"
"2037","39","145","2085","12","126","0","106","0","0","28","10","108","20","100401","5430","6","6","55"
"2425","41","170","2285","13","155","0","125","0","0","28","10","151","20","100401","5630","6","6","55"
"2845","41","170","2285","14","189","0","144","0","0","28","10","215","20","100401","5830","6","6","57"
"3314","43","170","2285","15","212","0","167","0","0","28","12","289","20","100401","5830","6","9","57"
"3815","45","170","2385","16","232","0","190","0","0","28","12","378","20","100401","5830","6","17","57"
