1a88a082cba1bc0785c5a39febe9e6ee15dc2077c843e7067761959c56e9519c,85a400022cc48c9fe033e6d67e6f8798c96dd7af3ad4297e27f73c50487e9181,3dc693fe7771108765d8a5acf91a6ba39d5960817f655806ac8de0adf2974135,97fb1b65c6fd7841f74e9b48ace9a46edf173626a335627a19f904339d2c3a51,ba609c25d2cd0f440ea7d63975caa46c30d7a88540dd47cf52b6f608d37b7a55,93944fa74972e7e0712864e8ef281f027ac22c4f5830bf3d038889b9cb92bc58,688c4b1bc04a1c8593eac53e14378e0e18a9032166f39f3dd87500965a8ab501,a5d406f7b5d87cef7402f69638b97944892df7f30e1b321ed418601860b1da45,d57571e348400fa0084b770441bf744d01b437b49f659cbb3c3e8fc1e69ae59d,2c52b583a0938f5234cffd5fda3069dd986bd5972f088d9409553e65e2058c16,4020e2245df23243144c1a0188e16a09adbd9e31d535d74a32c939f2da9ed0f0,a804905e85309c537137ae9d6dcbef64a1023d12e6bdefbaed6360275fe9fe46,18d42a07a6b127bed0139694effe6a5edb1be570f646ae20c6fb3f2b3d7dc8b1,548d7ead195aca95447d63db75fbebcb3be71c3acf67878ef76cf15774bf1296,87f16e6801c5a3393dd90fd86ff8b4b6053d88c0baeacdd4149d472951ffc40b,b52b8801dd9f65496f8b31a439125f2ce712c48b0fee0f31d256da223817d68a
"1","2","1","2","3","980","215","-110","455","70","401","301","501","201","101","1008201"
"2","2","1","2","3","515","215","-110","230","70","402","302","502","202","102","1008202"
"3","1","1","2","3","515","215","-110","230","70","403","303","503","203","103","1008203"
"4","1","1","2","3","515","215","-110","230","70","404","304","504","204","104","1008204"
"5","2","1","2","3","787","233","-110","355","78","405","305","505","205","105","1008205"
"6","3","1","2","3","787","233","-110","355","78","406","306","506","206","106","1008206"
"7","3","1","2","3","777","233","-110","345","88","407","307","507","207","107","1008207"
"8","1","1","2","3","777","233","-110","345","88","408","308","508","208","108","1008208"
"9","1","1","2","3","777","233","-110","345","88","409","309","509","209","109","1008209"
"10","3","1","2","3","810","233","-110","355","88","410","310","510","210","110","1008210"
"11","2","1","2","3","777","233","-110","345","88","411","311","511","211","111","1008211"
"12","2","1","2","3","515","215","-110","230","70","412","312","512","212","112","1008212"
"13","1","1","2","3","810","233","-110","355","78","413","313","513","213","113","1008213"
"14","1","1","2","3","515","215","-110","230","70","414","314","514","214","114","1008214"
"15","3","1","2","3","515","215","-110","230","70","415","315","515","215","115","1008215"
"16","2","1","2","3","655","215","-110","275","70","416","316","516","216","116","1008216"
"17","3","1","2","3","515","215","-110","230","70","417","317","517","217","117","1008217"
"18","3","1","2","3","777","233","-110","345","88","418","318","518","218","118","1008218"
