bc922f4bd92cb36a7d916d596f1e5ad69ec8b3bd6987ba5a8aed752f182c8f5f,5f4194da264bbe0d481e7691ff0306eb40b588b34b4317e10548a1944daf80ab,4ed295b405cf3c9ffcb27ef3440624990d8ad2a46ae06d1294f942707306606d,883492d85fe0a01f267dd61c6976b634b2f93143cc4cc5424a2d252adce4eb5b,b9dfe2342fb9e8f2baf10bf8f53a92a5fa25035d76ef4b2226eea8859a2bf2e7,42fa7c72e2b4139163d886d947e5d3f4b24bf99b92e6d42f367a4be214e76975,ac5b051d03feeafef2669c7695c5282250ca9e8f1b54dbe2096aad096d4efd55,1c944eaa6282d7085313fb7aab8fa999e21d1b6de59cdde4eb1eeb69bd123f40,4883628b5258a79316c12772e32d0cfa9560f503ef9ddb3d997159aed582d892,288a863bfb8af0b098a77c9c75ac4e6fdd50835716762e22245e346f68963efc,99d99d5194e76757a2c00f7da6d266a290dfdcabc34b1bb45a0f96d8d46ebcc4,0a7d1cc039a742db84d6b5c8ab757dfa390126aafc726d5430bf64d24ed2b487,b7b607263491f2582f15f1ca29b7e5ee2183d0d54e5f5cf1ef32289a81c71c89,eec9de5f38a3c7a7b77aa3cc47da522478f80c85f82b73582dd15ec85be80aca,c489b42faf575bb40b1196cd69a5444a5f71bc2629eb791ac36910ddf7f166b7,be64d0271db3b9a01fdd47b4d1aba9423f05bba6c5b91a1c66dd5812b43b94d6
"0","0","25201","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","25202","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","25301","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","31001","0","0","0","0","0","0","202","0","0","0","0","0","0"
"0","12002002","31002","0","0","12015001","0","0","0","0","0","12006001","0","0","0","0"
"0","12002001","31003","0","0","0","0","0","0","0","0","12008001","0","0","0","0"
"0","0","31004","0","0","0","0","0","0","202","0","0","0","0","0","0"
"0","0","31005","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","31006","0","0","0","0","0","0","204","0","0","0","0","0","0"
"0","0","31007","0","0","0","0","0","0","203","0","0","0","0","0","0"
"0","12008002","31008","0","0","0","0","0","0","0","0","12013002","0","0","0","0"
"0","0","31009","0","0","0","0","0","0","203","0","0","0","0","0","0"
"0","0","31010","0","0","0","0","0","0","204","0","0","0","0","0","0"
"0","0","31011","0","0","0","0","0","0","202","0","0","0","0","0","0"
"0","0","31012","0","0","0","0","0","0","203","0","0","0","0","0","0"
"0","0","31015","0","0","0","0","0","0","204","0","0","0","0","0","0"
"0","0","31016","0","0","0","0","0","0","203","0","0","0","0","0","0"
"0","0","31017","0","0","0","0","0","0","203","0","0","0","0","0","0"
"0","0","31018","0","0","0","0","0","0","205","0","0","0","0","0","0"
