15c3534b766f9a4777b5cc4f497e2286af2de0fb966f901cc8190975a2940b21,5cadad2f201f426292217f82568c568d084ff84e5c02837903c8664b022fc4c4,5ce318569e814a5f267cb15b5f3ea87e0cb09d772520799daa0ff2c78855128e,0df3aef9786634c0637fb4ffe75cb9eebcab38cfc765bd3c05361812b55af102,7610dd6b3bd351013d4fe3a291c1e8122e7cd87ba59f116d7b5722719ca19ff1,3a1b5c484dde7cf7151ac9a2666d9b12b5583b427181e843da1a67851fddda2b,4d9bd31add83fc9de9e772cc2ed6969bb08fb2fb0067036809b8d1738655a5a9,2688a17f7334f8a2bcb99ff57fe75c46fc38012ea03d530cccec8ef99660bc63,6d1a9a3bc563e3dacef1aead078644caf9410b6f8686711f103699e426c1f7a0,f6d538bba62f8de20b2c1719a163e52d0436486fbf46e5610e703a148e9ede99,3985afeaf89c788982ebe034450f5e5384477dc9b97650f48b268afbae4c2b45
"101001","-150","1.5","101","1","nop_idle_joy1","115","-100","1","0","111831"
"101002","-150","1.5","101","1","nop_idle_normal_joy","114","100","1","1","120731"
"101003","-127","1.5","101","1","nop_idle_arm_crossed","111","-215","1","0","120831"
"101004","-127","1.5","101","1","nop_idle_normal","110","215","1","1","111931"
"101005","-150","1.5","101","1","nop_idle_thinking","113","-330","1","0","120931"
"101006","-150","1.5","101","1","nop_idle_normal","112","330","1","1","112031"
"102001","-150","1.5","102","1","nop_idle_joy1","115","-100","1","0","108731"
"102002","-150","1.5","102","1","nop_idle_joy_normal","114","100","1","1","108831"
"102003","-127","1.5","102","1","nop_idle_normal","111","-215","1","0","108931"
"103001","-135","1.5","103","1","nop_idle_joy1","113","-100","1","0","102011"
"103002","-150","1.5","103","1","nop_idle_normal","115","-215","1","0","100411"
"103003","-143","1.5","103","1","nop_idle_wish","114","100","1","1","103631"
"104001","-150","1.5","104","1","nop_idle_normal","115","-100","1","0","101231"
"104002","-150","1.5","104","1","nop_idle_normal","114","100","1","1","104011"
