778118de4d99a027cb891297221c91bb944f8d1959d30e0bf91265c64bd8598d,be0a83edcaffeddda713557331378fa9f5b688efb6a393aff5b6df84be20e1f1,497fc75047c82ddfac8f716e45e6314515b9da91d198179752a93be6d2701213,d854722957783cff4b09aadeb3b1cbf79fa2a4e3c4eadf2fec41f32d37b51a51,ee316bd1da47f2521e0ba8d9f814a0c65f2591c1722233b1d1734ddab56dad13,1be53dbb6644d5296905561a2f38151f42e6ae6bbd1d8473e75418834d0cc9bb,e8d86d885e35a6b5dd0fb83a085628372ac1c7dafa4d3916f9540a258eed1ea2,2e0f35a36baf7ba7cf5ff3645d40311ed327099797c135bfcb6c40ef3aad7760,068b1457f0b0e846bba2a846cc64090f078882a8795d90f7ea65a50273134998,54cd0fdb300bf89ebb44b5a23e1a5c3f2be8eb2c142bb081ee36c8574d3dad11,f4eca1ff71f1f182eb769a94d76e2aae6be65940f06bf0ebdfc9186bb4fe13ee,7129047db7220bad945ffba2ed3e7ece3ffa3e91f1977d81481fb9f7750d1069,748a46d0b08fde8ce8bcae9783824137db787e55e74ebacb3e5b8f440a1496f2,123aaffb34cf937678c10db22081fcc6a346711b5c6b2d4a8b3e4faa8d84ba60,f2d2fe03fda29de369b57156a6561a3068671b67c1090ec8900ca8247fce2d67,dca3698ead003dbf224959ffa0424d3c028b84763341ed0bce31c7fa58a092a2,5a0a039237d7707238d1e74830280dc5074c6cf4d570959aa5c42bcc31b23197,ccf45ca90e684c21276b090435bd0d744ffb3e623be55c3fbd2f19802f7eea3d,962a6390006fde2711558d780655d3cc8bd6f23aa1fd61972447c797174e9370
"65","0","0","0","0","75","0","0","1","0","2","10","0","0","0","1","0","100101","16"
"185","0","0","0","0","125","0","0","3","0","3","30","0","0","0","2","0","100101","68"
"420","0","0","0","0","260","0","0","7","0","4","60","0","3","0","4","0","100101","158"
"810","0","0","0","0","420","0","0","12","0","5","100","0","7","0","7","0","100101","293"
"1340","0","0","3","0","630","0","0","17","0","6","130","0","11","0","11","0","100101","486"
"1660","0","0","6","0","1235","0","0","26","0","7","155","0","17","0","15","0","100101","731"
"2290","0","0","9","0","1795","0","10","35","9","8","180","0","24","0","15","0","100101","1030"
"2540","0","0","9","0","1795","0","40","46","23","9","205","5","27","0","16","0","100101","1459"
"2740","0","0","9","0","1795","0","100","51","37","10","205","10","35","0","16","10","100101","1941"
"3100","0","0","9","0","1795","3","158","55","37","11","205","15","44","0","16","20","100101","2439"
"3470","0","0","9","0","2045","36","198","66","37","12","205","15","46","0","18","20","100101","2871"
"3720","0","0","9","0","2045","56","251","79","37","13","230","15","54","0","18","20","100101","3345"
"3880","0","0","9","0","2045","56","328","97","37","14","255","15","68","0","20","20","100101","3840"
"3880","0","0","9","0","2045","56","448","111","37","15","255","15","82","0","20","20","100101","4412"
"3880","0","0","9","0","2045","59","586","124","37","16","255","15","94","0","20","20","100101","5015"
"3930","0","0","9","0","2045","62","711","142","37","17","255","15","103","0","20","20","100101","5656"
"3980","0","0","9","0","2045","62","856","157","37","18","255","15","119","0","20","20","100101","6351"
"4075","0","0","9","0","2045","62","984","173","37","19","255","15","135","0","20","20","100101","7154"
"4270","0","0","9","0","2045","62","1065","203","37","20","255","15","147","0","20","20","100101","8017"
"4580","0","0","9","0","2045","62","1160","232","37","21","255","15","157","0","20","20","100101","8971"
"4790","0","0","9","0","2045","62","1262","259","37","22","255","15","176","0","20","20","100101","10078"
"4880","0","0","9","0","2045","62","1343","287","37","23","255","15","199","0","20","20","100101","11352"
"4970","0","0","9","0","2045","62","1416","308","37","24","255","15","221","0","20","20","100101","12783"
"5230","0","0","9","0","2045","62","1471","331","37","25","255","15","247","0","20","20","100101","14334"
"6835","0","0","9","0","2045","62","1495","359","37","26","255","15","280","0","20","20","100101","15835"
"8440","0","0","9","0","2045","62","1513","387","37","27","255","15","313","0","20","20","100101","17449"
"9225","0","0","9","0","2045","62","1538","400","37","28","255","15","326","0","20","20","100101","19454"
"10010","0","0","9","0","2045","62","1571","415","37","29","255","15","341","0","20","20","100101","21599"
"10270","0","0","9","0","2045","62","1614","440","37","30","255","15","366","0","20","20","100101","23844"
"10795","0","0","9","0","2045","62","1657","450","37","31","255","15","376","0","20","20","100101","26318"
"11845","0","0","9","0","2045","62","1690","450","37","32","255","15","376","0","20","20","100101","28948"
"12370","0","0","9","0","2045","62","1729","461","37","33","255","15","387","0","20","20","100101","31669"
"12370","0","0","9","0","2045","62","1775","483","37","34","255","15","409","0","20","20","100101","34498"
"12370","0","0","9","0","2045","62","1821","505","37","35","255","15","431","0","20","20","100101","37455"
"12370","0","0","9","0","2045","62","1867","528","37","36","255","15","454","0","20","20","100101","40512"
"12370","0","0","9","0","2045","62","1913","552","37","37","255","15","478","0","20","20","100101","43669"
"12370","0","0","9","0","2045","62","1959","576","37","38","255","15","502","0","20","20","100101","46929"
"55","0","0","0","23","75","0","0","1","0","2","0","0","2","0","0","0","100201","0"
"150","0","0","0","81","125","0","0","1","0","3","0","0","8","0","0","0","100201","0"
"325","0","0","0","172","175","0","0","4","0","4","5","0","17","0","0","10","100201","0"
"505","0","0","0","349","175","0","0","4","0","5","15","0","33","0","0","10","100201","0"
"1035","0","0","0","522","175","0","0","12","0","6","15","0","52","0","0","25","100201","0"
"1395","0","0","0","790","175","0","0","14","0","7","85","0","66","0","0","30","100201","0"
"1675","0","0","0","1089","175","0","0","19","4","8","85","0","88","0","0","75","100201","0"
"2130","6","0","0","1389","175","0","0","25","9","9","100","5","109","0","0","110","100201","0"
"2490","30","0","0","1758","395","0","0","28","14","10","135","10","126","0","0","115","100201","0"
"2910","53","0","0","2159","735","0","0","35","14","11","151","10","145","0","0","129","100201","0"
"3430","63","0","0","2471","955","0","0","56","17","12","177","12","171","0","0","138","100201","0"
"3810","63","0","0","2705","1175","0","0","94","20","13","199","14","209","0","0","140","100201","0"
"3990","71","0","0","2982","1295","0","0","133","20","14","199","16","251","0","0","146","100201","0"
"4130","81","0","0","3310","1395","0","0","168","20","15","199","18","293","0","0","151","100201","0"
"4330","81","0","0","3658","1495","0","0","208","20","16","199","18","336","0","0","157","100201","0"
"4510","81","0","0","4008","1495","0","0","250","20","17","214","18","384","0","3","158","100201","0"
"4915","81","0","0","4353","1495","0","0","295","20","18","229","18","441","0","6","158","100201","0"
"5560","81","0","0","4719","1590","0","0","349","20","19","229","18","506","0","6","158","100201","0"
"6145","93","0","0","5176","1685","0","0","406","20","20","229","18","568","0","6","158","100201","0"
"6765","93","0","0","5618","1685","0","0","472","20","21","229","18","646","0","6","158","100201","0"
"8080","93","0","0","6142","1685","0","0","541","20","22","229","18","725","0","6","158","100201","0"
"9855","93","0","0","6707","1685","0","0","619","20","23","229","18","810","0","6","158","100201","0"
"11380","93","0","0","7347","1685","0","0","704","20","24","229","18","901","0","6","158","100201","0"
"12675","103","0","0","8212","1685","0","0","784","20","25","229","18","987","0","6","158","100201","0"
"13965","118","0","0","9328","1685","0","0","853","20","26","229","18","1062","0","6","158","100201","0"
"15535","128","0","0","10563","1685","0","0","920","20","27","229","18","1132","0","6","158","100201","0"
"17300","138","0","0","11885","1685","0","0","990","20","28","229","18","1203","0","6","158","100201","0"
"19295","148","0","0","13290","1685","0","0","1066","20","29","229","18","1279","0","6","158","100201","0"
"21525","158","0","0","14765","1685","0","0","1147","20","30","229","18","1360","0","6","158","100201","0"
"23915","168","0","0","16312","1685","0","0","1230","20","31","229","18","1443","0","6","158","100201","0"
"26460","178","0","0","17930","1685","0","0","1315","20","32","229","18","1528","0","6","158","100201","0"
"29250","188","0","0","19645","1685","0","0","1402","20","33","229","18","1615","0","6","158","100201","0"
"32450","198","0","0","21457","1685","0","0","1491","20","34","229","18","1704","0","6","158","100201","0"
"36060","208","0","0","23342","1685","0","0","1581","20","35","229","18","1794","0","6","158","100201","0"
"40010","218","0","0","25290","1685","0","0","1672","20","36","229","18","1885","0","6","158","100201","0"
"44205","228","0","0","27300","1685","0","0","1765","20","37","229","18","1978","0","6","158","100201","0"
"48640","238","0","0","29381","1685","0","0","1859","20","38","229","18","2072","0","6","158","100201","0"
"95","0","0","0","0","75","0","0","2","0","2","0","0","0","0","0","0","100301","22"
"310","0","0","0","0","125","0","0","6","0","3","0","0","2","0","0","0","100301","71"
"685","0","0","0","0","155","0","0","11","0","4","10","0","4","0","0","0","100301","176"
"1435","0","0","0","0","155","0","0","20","0","5","20","0","11","0","0","5","100301","289"
"2300","0","0","0","0","245","0","0","31","0","6","35","0","13","0","0","5","100301","499"
"3270","0","0","0","0","715","0","0","43","0","7","35","0","15","0","0","5","100301","746"
"4025","0","0","3","0","715","0","0","57","0","8","50","0","23","0","0","5","100301","1040"
"4630","0","0","7","0","1115","0","20","71","9","9","65","0","31","0","0","5","100301","1353"
"4990","0","0","12","0","1115","0","50","80","18","10","65","0","40","0","5","30","100301","1729"
"5410","0","0","17","0","1115","13","88","88","18","11","65","0","49","0","7","40","100301","2147"
"6180","0","0","17","0","1115","29","130","98","21","12","65","0","56","0","7","40","100301","2581"
"6670","0","0","17","0","1115","42","163","112","24","13","98","0","66","0","7","40","100301","3026"
"7050","0","0","17","0","1115","42","214","123","24","14","131","0","76","0","7","40","100301","3571"
"7420","0","0","17","0","1115","42","280","142","24","15","131","0","91","0","7","40","100301","4098"
"7560","0","0","17","0","1115","45","370","156","24","16","143","0","99","0","7","40","100301","4716"
"7750","0","0","17","0","1115","48","467","170","24","17","143","0","105","0","7","40","100301","5390"
"8015","0","0","17","0","1115","48","591","179","24","18","143","0","114","0","7","40","100301","6136"
"8340","0","0","17","0","1115","48","730","191","24","19","143","0","126","0","7","40","100301","6947"
