c886598bd013d0ff8dfb818d092bc55bd933109463dd921cb7cdc94f2f4bdfa6,8ecc38a3c1b7dc97b787d62d13902b6121d67ab2df31c39786f72b4ea05b969e,f9c073d34f41ad0588033d4d2a85b787ac3dc3d857a4e166157395905bab16b3,043b0acfb609e5a2e846cd505f5857f72de5b1d6cb6540c75686d2ac156ce8b2,f2ed1cefc41f4658bafa50dc7b496ab04f90f5c8c137ca05c3fecd7642a9e42a,ffcd044e6b003de624e51f5e51c5654e5239969c1a645322cb209c1a46e401b2,5fe0dea8ac6f6c6adc9e53de4cc15a0380afad600b28842f9cfaf85447cc6a0d,d0656655aa319e43e841bb4251b34b0ee50ce7239f9541ea3d062e80452b5af2,04f5c6ebdd5308a2dfb768cc193a7baf6f3fdefcc6344083bc627cbc35fd12c1,99bd056c24ef329fa0686fc655cd72537deec024d7b8072345f0577b5c6c518e,b453b37697fe3fe86465723debee1f16d11954542965039d2baa24e1c68e4b45,ba3e7ec608a6f6ddeb043d13a4b409c6137970a608c59148c94bf238e1755db0
"24","0.05","28","32","0","0","0.025","0","297","0","1","0"
"23","0.05","27","31","0","0","0.025","0","288","0","2","0"
"22","0.05","26","30","0","0","0.025","0","279","0","3","0"
"21","0.05","25","29","0","0","0.025","0","270","0","4","0"
"20","0.05","24","28","0","0","0.025","0","261","0","5","0"
"19","0.05","23","27","0","0","0.025","0","252","0","6","0"
"18","0.05","22","26","0","0","0.025","0","243","0","7","0"
"17","0.05","21","25","0","0","0.025","0","234","0","8","0"
"16","0.05","20","24","0","0","0.025","0","225","0","9","0"
"15","0.05","19","23","0","0","0.025","0","216","0","10","0"
"14","0.05","18","22","0","0","0.025","0","207","0","11","0"
"13","0.05","17","21","0","0","0.025","0","198","0","12","0"
"12","0.05","16","20","0","0","0.025","0","189","0","13","0"
"11","0.05","15","19","0","0","0.025","0","180","0","14","0"
"10","0.05","14","18","0","0","0.025","0","171","0","15","0"
"9","0.05","13","17","0","0","0.025","0","161","0","16","0"
"8","0.05","12","16","0","0","0.025","0","152","0","17","0"
"7","0.05","11","15","0","0","0.025","0","143","0","18","0"
"6","0.05","10","14","0","0","0.025","0","134","0","19","0"
"5","0.05","9","13","0","0","0.025","0","125","0","20","0"
"4","0.05","8","12","0","0","0.025","0","116","0","21","0"
"3","0.05","7","11","0","0","0.025","0","107","0","22","0"
"2","0.05","6","10","0","0","0.025","0","101","0","23","0"
"0","0","0","0","0","0","0","0","1","0","24","0"
