1d3c602b9b75da25f65bb58d9164ded24ab5105c788563b0253aaa3a87368d38,adf06059350f9889ba7ad2083c163041e6586514934d1225503f38e22d81edf9,e7485f5cc8c8cf8cd0228888a49745ca9d6fe289916b04b617cdcd10d84bcb28,180e5fdf1bb816db9d123da6dad84fd3d688a148142fb4761761e3bafffdc19e,e7218258ac66feb372ba1e2019c11d866a4a84f8bf2053524cdd212f4258df97,8b93fd74ae7869f0e2c29b43e7f3c9c46b271c759e97517143b82be5a42907b7,b9f6b5ad9b2b2c44e65d9f352676d956da23f8dc1dd8f63ebaf8eda1eb0a3e2f
"71004025","討伐BOSS解放！\n還有{0}隻","10004","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","107601","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","1"
"71005025","討伐BOSS解放！\n還有{0}隻","10005","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","108001","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","2"
"71007031","討伐NORMAL BOSS解放！","10007","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108201","[3C404E]討伐NORMAL BOSS解放！","3"
"71009031","討伐NORMAL BOSS解放！","10009","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108501","[3C404E]討伐NORMAL BOSS解放！","4"
"71010031","討伐NORMAL BOSS解放！","10010","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108901","[3C404E]討伐NORMAL BOSS解放！","5"
"71011031","討伐NORMAL BOSS解放！","10011","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109001","[3C404E]討伐NORMAL BOSS解放！","6"
"71013031","討伐NORMAL BOSS解放！","10013","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109301","[3C404E]討伐NORMAL BOSS解放！","7"
"71017031","討伐NORMAL BOSS解放！","10017","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109801","[3C404E]討伐NORMAL BOSS解放！","8"
"71019031","討伐NORMAL BOSS解放！","10019","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110101","[3C404E]討伐NORMAL BOSS解放！","9"
"72004021","討伐NORMAL BOSS解放！","20004","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","107601","[3C404E]討伐NORMAL BOSS解放！","10"
"71021035","討伐NORMAL BOSS解放！","10021","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110501","[3C404E]討伐NORMAL BOSS解放！","11"
"72005021","討伐NORMAL BOSS解放！","20005","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108001","[3C404E]討伐NORMAL BOSS解放！","12"
"71025031","討伐NORMAL BOSS解放！","10025","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","111201","[3C404E]討伐NORMAL BOSS解放！","13"
"71026031","討伐NORMAL BOSS解放！","10026","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108201","[3C404E]討伐NORMAL BOSS解放！","15"
"71029031","討伐NORMAL BOSS解放！","10029","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","111601","[3C404E]討伐NORMAL BOSS解放！","16"
"71030031","討伐NORMAL BOSS解放！","10030","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108501","[3C404E]討伐NORMAL BOSS解放！","17"
"71031031","討伐NORMAL BOSS解放！","10031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","112101","[3C404E]討伐NORMAL BOSS解放！","18"
"71032031","討伐NORMAL BOSS解放！","10032","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108901","[3C404E]討伐NORMAL BOSS解放！","19"
"71033031","討伐NORMAL BOSS解放！","10033","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","112301","[3C404E]討伐NORMAL BOSS解放！","20"
"71035031","討伐NORMAL BOSS解放！","10035","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","112601","[3C404E]討伐NORMAL BOSS解放！","21"
"71034031","討伐NORMAL BOSS解放！","10034","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109001","[3C404E]討伐NORMAL BOSS解放！","22"
"71039031","討伐NORMAL BOSS解放！","10039","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109301","[3C404E]討伐NORMAL BOSS解放！","24"
"71042031","討伐NORMAL BOSS解放！","10042","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","113001","[3C404E]討伐NORMAL BOSS解放！","25"
"71043031","討伐NORMAL BOSS解放！","10043","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110101","[3C404E]討伐NORMAL BOSS解放！","26"
"71044031","討伐NORMAL BOSS解放！","10044","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","113201","[3C404E]討伐NORMAL BOSS解放！","27"
"71046031","討伐NORMAL BOSS解放！","10046","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","113501","[3C404E]討伐NORMAL BOSS解放！","28"
"71045035","討伐NORMAL BOSS解放！","10045","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110501","[3C404E]討伐NORMAL BOSS解放！","29"
"71049031","討伐NORMAL BOSS解放！","10049","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","111201","[3C404E]討伐NORMAL BOSS解放！","30"
"71050031","討伐NORMAL BOSS解放！","10050","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","114101","[3C404E]討伐NORMAL BOSS解放！","31"
"71053031","討伐NORMAL BOSS解放！","10053","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109801","[3C404E]討伐NORMAL BOSS解放！","32"
"71054033","討伐NORMAL BOSS解放！","10054","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","114601","[3C404E]討伐NORMAL BOSS解放！","33"
