112fa9995cc7bba9174b2bcdf03fd216a80d10c4602aa57c3648477f03af31d6,0d1b0a762f090e3b2277cfdbdc46bc3c46abcbd39400a72d69fcc8b7e9ad2efa,e352e5d90574ec047cac4be39e4f02b47a564eee8b8be98c751b0ac383c0a5cd,efcf8a7baaf417d167d749700bf8629a81200ed447991207f29c494562c58865,ae5c318f6ad3b2245aa913b067a834a58dec2fd50eaef66e1784f06b677fbdd5,7e53a2836dd8cff53340f80ec04026fe5035cd45550a0220bb254ae5508304fd,70e1add015456565e4a515e81456f9e89e2c66eba8b999207779ef65e194dabf,67731c137b2a84c64f5d669a6688e7414b3ed5dc900239d95732ec432b3b68ed,4a5c1906514384775796c64625c8cc277de728628db50ff521ef8f0e3e0a6eb2,a4a14b1d216e9f06fc5c77151e3f76af46f7b1f273e546f1b8e200aff7b39cf0,9013322b5e4a0fa61bfe60fa091bc64a303fd8166c667a110bf9f7c434465c93,7d9c6643e9415a26bae3e510d18172cd374d60c7f7ffcb895ff14db9852bcc14,3553d19dd209397fb2c457b89d56303a302755885a14f718a834e6bc7c8e570a
"0","3110001","0","1","狗","0","1","狼","豬","0","0","0","豹"
"0","3110002","0","1","二","0","1","一","三","0","0","0","四"
"0","3110003","0","0","鱘","0","1","鱷","鰆","0","1","0","鮑"
"0","3110004","0","1","要","0","1","花","亭","0","0","0","也"
"0","3110006","0","1","松","0","1","杉","椒","1","0","0","椰"
"0","3110007","0","1","禁食","0","1","快","牢固地","0","1","0","容易"
"0","3110009","0","1","收集","0","0","正確","改正","1","1","0","得體"
"0","3110010","0","1","不過","0","1","但是","然後","0","0","0","因此"
"0","3110011","0","1","步步身高","0","1","氣球往上身高","測量身高","0","0","0","身高長高"
"0","3110012","0","1","打擊","0","1","罷工","好球","0","1","0","衝鋒"
"0","3110013","0","1","畚","0","1","必","要","0","0","0","奘"
"0","3110015","0","1","五","0","1","六","一","0","0","0","二"
"0","3111001","0","1","突襲","0","1","公主","刀刃","0","0","0","皇后"
"0","3111002","0","1","全體","0","1","治癒","進攻","0","0","0","炸裂"
"0","3120001","0","1","G","0","0","F","H","1","0","0","J"
