975530a6edd48871221fc81c64c6f534524188e35f3b2ca9f3de6bd92878a474,ea2dcca8717eb48a1fb44dadfd41c029fa6558678272070a6b534b5f74b0b66f,46e8b10f45f70af84130e2ad1ded8cad5fb0cb318b998faaecfb52f8eeb7ac7b,1c1cee15cc9aca2a24205e1eba33f83dc1961ed1eb415300043d622e62324146,d389350643513e8057b3d97342544830192624d2260290ebc3e435ca218e6ebd,55bb19a288692dfb07d88398b4ad41d4ebd8c39b1f929f3bc9c931df343a4498,06641f6ac586f2a26a51317d12d88a82c7a8762429c65f927b7ce875a5c23aad,fd88258f9bf7fd10860c1af5fef552fea6f101dbacde69182973be6eb48e199d,39e0e33cb7ded9aa55f101887f5f24f29802a9a837f9c747db88e43998d35215,93469e49b2d8f7af79460860384025d55fb93a97ee44008be1994f1045fd896f,d8acbc14c871655f568d1960e52fbcc4de0b8affbb540f2744576b1a794cd980,3a70d237fdf30cfb3fb8dd80a63f21850f61e2572f987999d63cb79df8b56d01
"10146","5146061","大蜂蜜雲霄飛車1","20","8","91002","1","105901","105801","1","2024/10/01 16:00:00","106001"
"10146","5146062","大蜂蜜雲霄飛車2","20","8","91002","1","0","100901","1","2024/10/02 16:00:00","0"
"10146","5146063","大蜂蜜雲霄飛車3","20","8","91002","1","0","106601","1","2024/10/04 16:00:00","0"
"10146","5146064","漂浮之花摩天輪1","20","8","91002","1","131501","105801","2","2024/10/02 16:00:00","0"
"10146","5146065","漂浮之花摩天輪2","20","8","91002","1","131001","130901","2","2024/10/04 16:00:00","0"
"10146","5146066","漂浮之花摩天輪3","20","8","91002","1","0","104001","2","2024/10/03 16:00:00","0"
"10146","5146067","莓果糖咖啡杯1","20","8","91002","1","106601","106501","3","2024/10/01 16:00:00","0"
"10146","5146068","莓果糖咖啡杯2","20","8","91002","1","106001","105801","3","2024/10/03 16:00:00","0"
"10146","5146069","莓果糖咖啡杯3","20","8","91002","1","131401","131301","3","2024/10/02 16:00:00","0"
"10146","5146070","潛入3D世界1","20","8","91002","1","0","102101","4","2024/10/03 16:00:00","0"
"10146","5146071","潛入3D世界2","20","8","91002","1","0","130901","4","2024/10/01 16:00:00","0"
"10146","5146072","表演者介紹：植物羊","20","8","91002","2","0","0","0","2024/10/01 16:00:00","0"
"10146","5146073","表演者介紹：啾二＆啾三","20","8","91002","2","0","0","0","2024/10/01 16:00:00","0"
"10146","5146074","表演者介紹：玩具王","20","8","91002","2","0","0","0","2024/10/01 16:00:00","0"
"10146","5146075","表演者介紹：招財貓","20","8","91002","2","0","0","0","2024/10/01 16:00:00","0"
"10146","5146901","魔物遊行","1","15","11001313","3","0","0","0","2024/10/01 16:00:00","0"
