246983459ffdb92dd92321700cd8d9e678dcad06013611f48a17caaad72b0fb2,6a75b538b98a3973ca04c6414cbb70186f066ff1116987bc2b8b45c41932a431,a98ee98bfc1127a6ab0f9d70fe9905fba2296453d231c101104c033b932467d0,5a503f02d732046fcbe8e76339e7461ff718eba2bd5c246fcb405d3fbcb598c3
"100","8","1000","91002"
"500","2","2000","23003"
"5000","2","3000","25011"
"5000","2","4000","25012"
"5000","2","5000","25013"
"5000","2","6000","25014"
"5000","2","7000","25015"
"2500","2","8000","25021"
"100","8","9000","91002"
"1","2","10000","21953"
"50","2","12000","90005"
"500","2","14000","23003"
"5000","2","16000","25011"
"5000","2","18000","25012"
"5000","2","20000","25013"
"5000","2","23000","25014"
"5000","2","26000","25015"
"2500","2","29000","25021"
"100","8","32000","91002"
"1","2","35000","41000"
"50","2","39000","90005"
"500","2","43000","23003"
"5000","2","47000","25011"
"5000","2","51000","25012"
"5000","2","55000","25013"
"5000","2","60000","25014"
"5000","2","65000","25015"
"2500","2","70000","25021"
"100","8","75000","91002"
"1","2","80000","26203"
"50","2","90000","90005"
"500","2","100000","23003"
"5000","2","150000","25011"
"5000","2","200000","25012"
"5000","2","250000","25013"
"5000","2","300000","25014"
"5000","2","350000","25015"
"2500","2","400000","25021"
"100","8","450000","91002"
"1","2","500000","21953"
"50","2","550000","90005"
"500","2","600000","23003"
"5000","2","650000","25011"
"5000","2","700000","25012"
"5000","2","750000","25013"
"5000","2","800000","25014"
"5000","2","850000","25015"
"2500","2","900000","25021"
"100","8","950000","91002"
"1","2","1000000","25101"
"50","2","1050000","90005"
"500","2","1100000","23003"
"5000","2","1150000","25011"
"5000","2","1200000","25012"
"5000","2","1250000","25013"
"5000","2","1300000","25014"
"5000","2","1350000","25015"
"2500","2","1400000","25021"
"100","8","1450000","91002"
"1","2","1500000","26203"
"50","2","1550000","90005"
"500","2","1600000","23003"
"5000","2","1650000","25011"
"5000","2","1700000","25012"
"5000","2","1750000","25013"
"5000","2","1800000","25014"
"5000","2","1850000","25015"
"2500","2","1900000","25021"
"100","8","1950000","91002"
"1","2","2000000","41000"
"50","2","2050000","90005"
"500","2","2100000","23003"
"5000","2","2150000","25011"
"5000","2","2200000","25012"
"5000","2","2250000","25013"
"5000","2","2300000","25014"
"5000","2","2350000","25015"
"2500","2","2400000","25021"
"100","8","2450000","91002"
"1","2","2500000","26203"
"50","2","2550000","90005"
"500","2","2600000","23003"
"10000","2","2650000","25011"
"10000","2","2700000","25012"
"10000","2","2750000","25013"
"10000","2","2800000","25014"
"10000","2","2850000","25015"
"5000","2","2900000","25021"
"100","8","2950000","91002"
"1","2","3000000","21953"
"50","2","3050000","90005"
"500","2","3100000","23003"
"10000","2","3150000","25011"
"10000","2","3200000","25012"
"10000","2","3250000","25013"
"10000","2","3300000","25014"
"10000","2","3350000","25015"
"5000","2","3400000","25021"
"100","8","3450000","91002"
"1","2","3500000","26203"
"50","2","3550000","90005"
"500","2","3600000","23003"
"10000","2","3650000","25011"
"10000","2","3700000","25012"
"10000","2","3750000","25013"
"10000","2","3800000","25014"
"10000","2","3850000","25015"
"5000","2","3900000","25021"
"100","8","3950000","91002"
"1","2","4000000","41000"
"50","2","4050000","90005"
"500","2","4100000","23003"
"10000","2","4150000","25011"
"10000","2","4200000","25012"
"10000","2","4250000","25013"
"10000","2","4300000","25014"
"10000","2","4350000","25015"
"5000","2","4400000","25021"
"100","8","4450000","91002"
"1","2","4500000","26203"
"50","2","4550000","90005"
"500","2","4600000","23003"
"10000","2","4650000","25011"
"10000","2","4700000","25012"
"10000","2","4750000","25013"
"10000","2","4800000","25014"
"10000","2","4850000","25015"
"5000","2","4900000","25021"
"100","8","4950000","91002"
"1","2","5000000","25101"
