abd8f2a6874103bef4724f56b1e8ae2b12760f3d56f9f612224e1e50fb2f2e7c,e966609e384972b756736202f9a136edfeed02eed694ab9d6dd47f778c5f6331,0326981e966f4fce47d09639c241c108c70a0bcaa3d9862080e7d98c0b76fd65,df9c6de776b90d0d8d33a5f00917b96b2b7ff44a6c5fc88c7e0710115d824d1f,66fafa6a7fab075486394e2c35feff7a6d4a3a96931484a8ff84aff4a72a1714,f1f569a97ae7ee29482ddc8f94c005f60fb55c67c55f2499ee1318fea3973e14,f519c7fc64369b79f94b733827bf965a4c1419728f132594ae3f088ba6a59332,9bc344a05d14beb057e57b92ea9fb295d7e7d8760a21903197fc428cff4a522f,fa4078e29f9bf7a74277e68e9ba0a5b21b7adc05fbd78419c310bb55c197df9e,092316514bf6052ccce2c1370bcee949d6596e87ae16a46e20724a0fe6414fca,e6d48dbc768240746ebd1a57293e0b06cb747c0f46146fb3e2d4843b1183442b,5cd890f260e6ee0b73218a61c7833cd9f28a1547339f40cdc1bf7af4c05355ea,760503dbe56f3dfcf3261e19c5c03210a8479dd056496371d64636272c2296e0,386080070c206602ad0d34c73d08bd8a65c24ec30a299240e23665944722c986,d1a2902c82b347f05a34909e1648435e31497aeb8e84eadcfe7a6f739441a70e,4c23ba3e4e10f027979a942868ea3bc11a6b001215bc503a1d928a1b87d3ca5d
"102","101","10016","1","0","104","105","1","1","0","0","1","103","5","0","0"
"202","201","10021","2","0","204","205","1","2","1","0","2","203","2","0","0"
"302","301","10053","3","0","304","305","1","5","1","0","2","303","5","0","0"
"402","401","10044","4","0","404","405","1","4","1","0","2","403","8","0","0"
"502","501","10042","5","0","504","505","1","4","2","0","3","503","2","0","0"
"602","601","10024","6","0","604","605","1","2","3","0","3","603","5","0","0"
"702","701","10015","7","0","704","705","1","1","4","0","3","703","8","0","0"
"0","801","11012","8","0","0","0","1","101","5","0","4","0","2","0","0"
"902","901","10023","9","0","904","905","1","2","6","0","4","903","5","0","0"
"0","1001","11011","10","0","0","0","1","101","7","0","4","0","8","0","0"
"1102","1101","10052","11","0","1104","1105","1","5","8","0","5","1103","2","0","0"
"1202","1201","10045","12","0","1204","1205","1","4","9","0","5","1203","5","0","0"
"1302","1301","10021","13","0","1304","1305","1","2","10","0","5","1303","8","0","0"
"1402","1401","10013","14","0","1404","1405","1","1","11","0","6","1403","2","0","0"
"1502","1501","10054","15","0","1504","1505","1","5","12","0","6","1503","5","0","0"
"0","1601","11015","16","0","0","0","1","101","13","0","6","0","8","0","0"
"0","1701","11002","17","0","0","0","1","100","14","0","7","0","2","0","0"
"1802","1801","10043","18","0","1804","1805","1","4","15","0","7","1803","5","0","0"
"1902","1901","10034","19","0","1904","1905","1","3","16","0","7","1903","8","16","0"
"2002","2001","10041","20","0","2004","2005","1","4","17","0","8","2003","2","0","0"
"0","2101","11003","21","0","0","0","1","100","18","0","8","0","5","0","0"
"2202","2201","10025","22","0","2204","2205","1","2","19","0","8","2203","8","0","0"
"2302","2301","10011","23","0","2304","2305","1","1","20","0","9","2303","2","0","0"
"2402","2401","10022","24","0","2404","2405","1","2","21","0","9","2403","5","0","0"
"2502","2501","10045","25","0","2504","2505","1","4","22","0","9","2503","8","0","0"
"2602","2601","11006","26","0","0","0","1","100","23","0","10","2603","5","24","25"
"2702","2701","10031","27","0","2704","2705","1","3","26","0","11","2703","2","0","0"
"2802","2801","10044","28","0","2804","2805","1","4","26","0","11","2803","5","0","0"
"2902","2901","10075","29","0","2904","2905","1","7","26","0","11","2903","8","0","0"
"3002","3001","10032","30","0","3004","3005","1","3","27","0","12","3003","2","0","0"
"3102","3101","10013","31","0","3104","3105","1","1","28","0","12","3103","5","0","0"
"3202","3201","10044","32","0","3204","3205","1","4","29","0","12","3203","8","0","0"
"3302","3301","10041","33","0","3304","3305","1","4","30","0","13","3303","2","0","0"
"3402","3401","10022","34","0","3404","3405","1","2","31","0","13","3403","5","0","0"
"3502","3501","10053","35","0","3504","3505","1","5","32","0","13","3503","8","0","0"
"3602","3601","10024","36","0","3604","3605","1","2","33","0","14","3603","2","0","0"
"3702","3701","10045","37","0","3704","3705","1","4","34","0","14","3703","5","0","0"
"3802","3801","10012","38","0","3804","3805","1","1","35","0","14","3803","8","0","0"
"3902","3901","10043","39","0","3904","3905","1","4","36","0","15","3903","2","0","0"
"4002","4001","10035","40","0","4004","4005","1","3","37","0","15","4003","5","0","0"
"4102","4101","10072","41","0","4104","4105","1","7","38","0","15","4103","8","0","0"
"4202","4201","10021","42","0","4204","4205","1","2","39","0","16","4203","2","0","0"
"4302","4301","10034","43","0","4304","4305","1","3","40","0","16","4303","5","0","0"
"4402","4401","10015","44","0","4404","4405","1","1","41","0","16","4403","8","0","0"
"4502","4501","10022","45","0","4504","4505","1","2","42","0","17","4503","2","0","0"
"4602","4601","10023","46","0","4604","4605","1","2","43","0","17","4603","5","0","0"
"4702","4701","10074","47","0","4704","4705","1","7","44","0","17","4703","8","0","0"
"4802","4801","10031","48","0","4804","4805","1","3","45","0","18","4803","2","0","0"
"4902","4901","10052","49","0","4904","4905","1","5","46","0","18","4903","5","0","0"
"5002","5001","10025","50","0","5004","5005","1","2","47","0","18","5003","8","0","0"
"5102","5101","10041","51","0","5104","5105","1","4","48","0","19","5103","2","0","0"
"5202","5201","10033","52","0","5204","5205","1","3","49","0","19","5203","5","0","0"
"5302","5301","10074","53","0","5304","5305","1","7","50","0","19","5303","8","0","0"
"5402","5401","11016","54","0","0","0","1","101","51","0","20","5403","5","52","53"
"5502","5501","10041","55","0","5504","5505","1","4","54","0","21","5503","2","0","0"
"5602","5601","11002","56","0","0","0","1","100","54","0","21","0","5","0","0"
"5702","5701","10065","57","0","5704","5705","1","6","54","0","21","5703","8","0","0"
"5802","5801","10022","58","0","5804","5805","1","2","55","0","22","5803","2","0","0"
"5902","5901","10013","59","0","5904","5905","1","1","56","0","22","5903","5","0","0"
"6002","6001","11015","60","0","0","0","1","101","57","0","22","0","8","0","0"
"6102","6101","10021","61","0","6104","6105","1","2","58","0","23","6103","2","0","0"
"6202","6201","10032","62","0","6204","6205","1","3","59","0","23","6203","5","0","0"
"6302","6301","10023","63","0","6304","6305","1","2","60","0","23","6303","8","0","0"
"6402","6401","10024","64","0","6404","6405","1","2","61","0","24","6403","2","0","0"
"6502","6501","10071","65","0","6504","6505","1","7","62","0","24","6503","5","0","0"
"0","6601","11004","66","0","0","0","1","100","63","0","24","0","8","0","0"
"6702","6701","10055","67","0","6704","6705","1","5","64","0","25","6703","2","0","0"
"6802","6801","10051","68","0","6804","6805","1","5","65","0","25","6803","5","0","0"
"6902","6901","10042","69","0","6904","6905","1","4","66","0","25","6903","8","0","0"
"7002","7001","10064","70","0","7004","7005","1","6","67","0","26","7003","2","0","0"
"7102","7101","10061","71","0","7104","7105","1","6","68","0","26","7103","5","0","0"
"0","7201","11013","72","0","0","0","1","101","69","0","26","0","8","0","0"
"7302","7301","10033","73","0","7304","7305","1","3","70","0","27","7303","2","0","0"
"7402","7401","10014","74","0","7404","7405","1","1","71","0","27","7403","5","0","0"
"7502","7501","10052","75","0","7504","7505","1","5","72","0","27","7503","8","0","0"
"7602","7601","10044","76","0","7604","7605","1","4","73","0","28","7603","2","0","0"
"0","7701","11005","77","0","0","0","1","100","74","0","28","0","5","0","0"
"7802","7801","11011","78","0","0","0","1","101","75","0","28","0","8","0","0"
"7902","7901","10034","79","0","7904","7905","1","3","76","0","29","7903","2","0","0"
"8002","8001","10073","80","0","8004","8005","1","7","77","0","29","8003","5","0","0"
