26b02c2f8fc958097a054eb3cfb7631cc1141b956dafeaba5c18996d0b9a6f54,3bc612a958562edf95fb1cfdd81763844c6c6e98a0435103a5d11e47a5697ee6,2e5162e99b5d623f68bb2b0ab11dfeeeb16925429d35e771b675d592d2696ae1,5431f19ac80551676468666fcfbffe7de31b45f8d20936d19b2fd673a36f19d8,0068d51f192754f6113aeee47f61543c06c7899e3dbed99ed96cc42f3341fa7d,4309a3b62aa9863173f46edc8fa2eed113f43f85f7519f0321ca470748f192cc,619d49912c1c2c4e4965fc822c65455f875db9ef988ba2856529444bd5d52cea,ea404bac81cae22d2233a57cf0603cce0d79762a82ce9b96773558e18f3ede0a,29fb432f4b0c86b79ed3fbb4d21af7628694800b534cb908f93f40c0b82f193c,0a7ee22f4733b5b3a18ba253ffab36221ec1fac659ae740035c4f9e3173710b4,02edfd93bce6dcb23b8d441b0812914d4aafb38e891adf09faa3afda66883a00,fa0f7849910fe57763b982543439c20aceddfa40b0494262d473ba9545b5976e
"0","5201322","5","610201102","0","10201201","1","0","5201321","5.5","70","1"
"3","5201323","5","610201103","15","10201201","2","600","0","1.5","0","3"
"0","0","5","610201104","0","10201201","3","0","0","1.5","0","1"
"0","0","5","610201105","0","10201501","1","0","0","5.5","70","1"
"3","0","5","610201106","15","10201501","2","600","0","1.5","0","3"
"0","0","5","610201107","0","10201501","3","0","0","1.5","0","1"
"3","5201332","5","610201152","0","10201251","1","600","5201331","5.5","0","2"
"0","5201333","5","610201153","0","10201251","2","0","0","1.5","65","1"
"0","0","5","610201154","0","10201251","3","0","0","1.5","0","1"
"3","0","5","610201155","0","10201551","1","600","0","5.5","0","2"
"0","0","5","610201156","0","10201551","2","0","0","1.5","65","1"
"0","0","5","610201157","0","10201551","3","0","0","1.5","0","1"
"3","5202322","5","610202102","0","10202201","1","600","5202321","5.5","0","2"
"0","5202323","5","610202103","0","10202201","2","0","0","1.5","70","1"
"0","0","5","610202104","0","10202201","3","0","0","1.5","0","1"
"3","0","5","610202105","0","10202501","1","600","0","5.5","0","2"
"0","0","5","610202106","0","10202501","2","0","0","1.5","70","1"
"0","0","5","610202107","0","10202501","3","0","0","1.5","0","1"
"3","5203322","5","610203102","0","10203201","1","600","5203321","5.5","0","2"
"0","5203323","5","610203103","0","10203201","2","0","0","1.5","66","1"
"0","0","5","610203104","0","10203201","3","0","0","1.5","0","1"
"3","0","5","610203105","0","10203501","1","600","0","5.5","0","2"
"0","0","5","610203106","0","10203501","2","0","0","1.5","66","1"
"0","0","5","610203107","0","10203501","3","0","0","1.5","0","1"
"3","5204322","5","610204102","0","10204201","1","600","5204321","5.5","0","2"
"0","5204323","5","610204103","0","10204201","2","0","0","1.5","60","1"
"0","0","5","610204104","0","10204201","3","0","0","1.5","0","1"
"3","0","5","610204105","0","10204501","1","600","0","5.5","0","2"
"0","0","5","610204106","0","10204501","2","0","0","1.5","80","1"
"0","0","5","610204107","0","10204501","3","0","0","1.5","0","1"
"3","5205322","5","610205102","0","10205201","1","600","5205321","5.5","0","2"
"0","5205323","5","610205103","0","10205201","2","0","0","1.5","65","1"
"0","0","5","610205104","0","10205201","3","0","0","1.5","0","1"
"3","0","5","610205105","0","10205501","1","600","0","5.5","0","2"
"0","0","5","610205106","0","10205501","2","0","0","1.5","66","1"
