34b8d35356dccc80b41cb725659a047b4466ed4be2540f159e032bbf3170d095,c4829c90d7c27ff58e6aa18a4383d14fe195249670306dfa9b174ec336e7c6fc,45bf500591f3e490b6de1e1a2a418d8c576b0bac6b239afc03551aade7ba2ddc,b955032a799b611c930673a9ec85515286d0f74d20c8deef85effa9b43b5c7ab,363af0659f68634fa3bbf47d0d5171b34491fdad2428e2728fac9d41fcebcfff,81e22b7d861e9efff50d6c00e8eb9b197b46295fbec3a0a4929fd49f72068369
"0","10009106","1","1","1","10009101"
"0","10009112","1","1","2","10009101"
"0","10010110","1","1","3","10010101"
"0","1001901","2","1","4","10019101"
"0","10021112","1","1","5","10021101"
"0","10025109","1","1","6","10025101"
"500810","5025001","3","2","7","10025"
"0","20009106","1","1","8","20009101"
"0","20009112","1","1","9","20009101"
"0","20010110","1","1","10","20010101"
"501001","5042001","3","2","12","10042"
"0","2001501","2","1","13","20015101"
"501031","5044001","3","2","14","10044"
"0","20016112","1","1","15","20016101"
"501103","5046002","3","2","16","10046"
"0","10049109","1","1","17","10049101"
"0","10066112","1","1","19","10066101"
"501291","5066005","3","2","20","10066"
"501001","5042001","3","2","21","10069"
"501031","5044001","3","2","22","10071"
"501341","5068001","3","2","23","10068"
"501353","5070004","3","2","24","10070"
"500016","5070005","3","2","25","10070"
"501364","5072004","3","2","26","10072"
"501365","5072006","3","2","27","10072"
"501103","5046002","3","2","28","10073"
"501383","5074001","3","2","29","10074"
"0","10076112","1","1","30","10076101"
"505036","5076005","3","2","31","10076"
"501451","5078004","3","2","32","10078"
"501463","5080005","3","2","33","10080"
"0","10082105","1","1","34","10082101"
"0","10082108","1","1","35","10082102"
"0","10082111","1","1","36","10082103"
"501160","5082002","3","2","37","10082"
"501031","5082004","3","2","38","10082"
"501483","5082005","3","2","39","10082"
"500368","5084001","3","2","40","10084"
"510306","5084002","3","2","41","10084"
"500039","5084003","3","2","42","10084"
"500368","5085002","3","2","43","10085"
"510203","5085003","3","2","44","10085"
"500272","5085004","3","2","45","10085"
"501501","5085005","3","2","46","10085"
"501810","5088005","3","2","47","10088"
"501001","5042001","3","2","50","20025"
"501541","5090002","3","2","51","10090"
"501031","5044001","3","2","55","20026"
"0","10093112","1","1","56","10093101"
"501291","5066005","3","2","57","10093"
"501103","5046002","3","2","58","20027"
"501031","5092001","3","2","59","10092"
"501551","5092004","3","2","60","10092"
"501593","5094001","3","2","61","10094"
"501341","5068001","3","2","62","10095"
"500810","5025001","3","2","67","20018"
"501613","5096002","3","2","68","10096"
"501353","5070004","3","2","73","10097"
"500016","5070005","3","2","74","10097"
"501031","5098000","3","2","75","10098"
"0","10098104","1","1","76","10098101"
"0","10098111","1","1","77","10098102"
"501364","5072004","3","2","78","10099"
"501365","5072006","3","2","79","10099"
"500837","5100003","3","2","80","10100"
"501383","5074001","3","2","82","10101"
"501383","5074001","3","2","83","10101"
"501873","5102002","3","2","84","10102"
"0","10103112","1","1","85","10103101"
"505036","5076005","3","2","86","10103"
"501911","5108002","3","2","88","10108"
"500133","5104003","3","2","89","10104"
"501451","5078004","3","2","90","10105"
"501931","5110005","3","2","93","10110"
"500013","5111005","3","2","94","10111"
"501463","5080005","3","2","95","10107"
