2c5efcef54f48ddf63be32653928c330f52e7d27c322139d0b83a6d94f18598c,f4da3bfc256b7fd68ee5f210f0c392b195732a5dba42dc058275fc96bc274a4f,c3426454fa392f7f98395a5d26bfd47dc16805cfa1774c98eee1a97c166ab675,8ff691af0aaa72475cff10e48b5da8219d927cb37d6a3fb8e3b2b828ba4ee7a6,3b0eb39f417793295cd4739b30dce18e34139a3607d5a9e82980394033896413,15a0d9f30b58716a0365f848582bedf911de727990e530b82f5d13f84d0d522f,7f62200ac1dd7d881da63a7eb16aea7bd5708fe7f340e021fdeb9cd3c9ae1643,57bd6292bc2aced9eaa6c8bfe42498b7e17c7541302a196675f767ba6f11cc5b,6f975e68ca8489c290bab580ab414dbe42a5fa51982934ed7642a06b881f6ccb,ae4266fb906aa0f7be240db9a9299d87a19dbd26c839489860b3aad1998ccb02,ed369f9dabd400fb0d2a2470d6ce53eaac1fa8e42ffdb7e30556d5d1a1ddf9dc,a2d5df00d974d5b2a9e7aaee74d00403c38ca2408c5ff9be9a55b2bda153edf8,03316b903ff2f3bdfc03acb0ced0525894a252202523393037d0cf0fc987ca69,785229ffb141844821b246161d1ee76db02fbe14edcbfb4f8c0a861d179b6f62,9c0bce6827ebe0b95b8ed0795323f13017c61ae5626c633605f1a862f51d5c92
"2","10011","1","1001","0","以剩餘30秒以上的時間通關VERY HARD難度的哥布林王者","0","100001","8","50","10","0","91002","81","90005"
"2","10012","1","1001","0","以剩餘30秒以上的時間通關VERY HARD難度的三重岩","0","100002","8","50","10","0","91002","82","90005"
"2","10013","1","1001","0","以剩餘30秒以上的時間通關VERY HARD難度的擲岩猴仙","0","100003","8","50","10","0","91002","83","90005"
"2","10014","1","1001","0","以剩餘30秒以上的時間通關VERY HARD難度的歪音之精靈","0","100004","8","50","10","0","91002","84","90005"
"2","10015","1","1001","0","以剩餘30秒以上的時間通關VERY HARD難度的色慾之龍","0","100005","8","50","10","0","91002","85","90005"
"2","10016","1","1001","0","在VERY HARD難度下，於第2隊伍內通關色慾之龍","0","100006","4","20","1000","0","140001","85","90008"
"2","10017","1","1001","0","在VERY HARD難度下，於第1隊伍內通關色慾之龍","0","100007","4","20","1000","0","140001","85","90008"
"2","10021","1","1002","0","以剩餘30秒以上的時間通關VERY HARD難度的哥布林王者","0","100001","8","50","10","0","91002","81","90005"
"2","10022","1","1002","0","以剩餘30秒以上的時間通關VERY HARD難度的三重岩","0","100002","8","50","10","0","91002","82","90005"
"2","10023","1","1002","0","以剩餘30秒以上的時間通關VERY HARD難度的擲岩猴仙","0","100003","8","50","10","0","91002","83","90005"
"2","10024","1","1002","0","以剩餘30秒以上的時間通關VERY HARD難度的歪音之精靈","0","100004","8","50","10","0","91002","84","90005"
"2","10025","1","1002","0","以剩餘30秒以上的時間通關VERY HARD難度的色慾之龍","0","100005","8","50","10","0","91002","85","90005"
"2","10026","1","1002","0","在VERY HARD難度下，於第2隊伍內通關色慾之龍","0","100006","4","20","1000","0","140001","85","90008"
"2","10027","1","1002","0","在VERY HARD難度下，於第1隊伍內通關色慾之龍","0","100007","4","20","1000","0","140001","85","90008"
"2","10028","1","1002","0","僅編入風屬性或水屬性的角色，在VERY HARD難度下於第1隊伍內通關色慾之龍","0","100208","4","20","1000","0","140001","85","90008"
"2","10031","1","1003","0","以剩餘30秒以上的時間通關VERY HARD難度的哥布林王者","0","100001","8","50","10","0","91002","81","90005"
"2","10032","1","1003","0","以剩餘30秒以上的時間通關VERY HARD難度的三重岩","0","100002","8","50","10","0","91002","82","90005"
"2","10033","1","1003","0","以剩餘30秒以上的時間通關VERY HARD難度的擲岩猴仙","0","100003","8","50","10","0","91002","83","90005"
"2","10034","1","1003","0","以剩餘30秒以上的時間通關VERY HARD難度的歪音之精靈","0","100004","8","50","10","0","91002","84","90005"
"2","10035","1","1003","0","以剩餘30秒以上的時間通關VERY HARD難度的色慾之龍","0","100005","8","50","10","0","91002","85","90005"
"2","10036","1","1003","0","在VERY HARD難度下，於第2隊伍內通關色慾之龍","0","100006","4","20","1000","0","140001","85","90008"
"2","10037","1","1003","0","在VERY HARD難度下，於第1隊伍內通關色慾之龍","0","100007","4","20","1000","0","140001","85","90008"
"2","10038","1","1003","0","僅編入光屬性或闇屬性的角色，在VERY HARD難度下於第1隊伍內通關色慾之龍","0","100308","4","20","1000","0","140001","85","90008"
