6ca64a29c97445ef68d79221610fc324f5dc21ecf646b83c42e50c6b117c3b63,e84e4861a9a5630855f099a4600787147b07c3a877e2f26aa871bf1193ecb00e,1ccc82ea6e3db6afdaddee340e576839bacda4fb89cabcab5bba3821c12bdaf5,a0e0dd91e53a0c36ac2c5df970048ce29da6398dec8bf4b30efc01da3baafd0e,83cb1a2f6db25cb1c24ffe83f45677e38da08d338bdce77a8050759abe8e1867,fe1b48d80de92bea67d78b209f8d04da768c553322f0add80f120f58a8e94ef8,de02f4310d2b6f3137048696bcb3ce2f1b538754eff7c742f462ef4496e39e96,928b2ba1aa4765dc2a29907da36f2e8505f0500a683d1cb504643da0098db8f4,b0db5746d40f7e3d563ff48b94838d19ec37a871a121c14dd5f1f210389691fe,649e60048870f080b987562f1ced0b8c783aa42e4f2b9f769c50679d37033946,402d6afb1a4e72765734d2971999adb89727441c0101da8ff446ba4963cb3aa1,b941009fabafcd04c2268b1a58e3f762ebaafc91bc102d4a769f8e9aab6a557b,8a7870c8f519139cf0f83a098adb03869f947efa3a20306a7a058473bd287aaa,83b2e84cbf40db6eb261136fe7a208b36b7bc022cb2e955c88a5a702e64d0362,36ae98e1ec546775d75c32ed9f527bf68ad760e690f1a71183cad6587bde4ea7,ba513cd8c6df4a42a8de3e33f4c73c20e28e47cb5277b22daa27099474b86ac7,c21af134b05aa36414381d682314b45e59449f422ebd0d0798c81cedd9a18ed5,f77dd811ca91eb122639a4e9ab2a78d03a5879a18ac23ee6f20d6dab8d557b5d,83601ab9f9aa6a4226486411b824be0c9058650d998cacffebcfc3cee7756818,5f55217d8d72c7f24628a549be79bc54f90f6059a2d120fcce3192946ccd82c1
"94002","12","1","10000","0","0","0","0","讓信賴度達到100吧","0","0","0","1","10153","0","0","0","100","0","0"
"94002","12","1","25000","0","0","0","0","讓信賴度達到200吧","0","0","0","2","10153","0","0","0","200","0","0"
"91002","8","1","50","0","0","0","0","讓信賴度達到500吧","0","0","0","3","10153","0","0","0","500","0","0"
"94002","12","1","50000","0","0","0","0","讓信賴度達到800吧","0","0","0","4","10153","0","0","0","800","0","0"
"91002","8","1","100","0","0","0","0","讓信賴度達到MAX吧","0","0","0","5","10153","0","0","0","1000","0","0"
"94002","12","2","10000","0","0","0","0","讓信賴度達到100吧","0","0","0","6","10153","0","0","0","100","0","0"
"94002","12","2","25000","0","0","0","0","讓信賴度達到200吧","0","0","0","7","10153","0","0","0","200","0","0"
"91002","8","2","50","0","0","0","0","讓信賴度達到500吧","0","0","0","8","10153","0","0","0","500","0","0"
"94002","12","2","50000","0","0","0","0","讓信賴度達到800吧","0","0","0","9","10153","0","0","0","800","0","0"
"91002","8","2","100","0","0","0","0","讓信賴度達到MAX吧","0","0","0","10","10153","0","0","0","1000","0","0"
"94002","12","3","10000","0","0","0","0","讓信賴度達到100吧","0","0","0","11","10153","0","0","0","100","0","0"
"94002","12","3","25000","0","0","0","0","讓信賴度達到200吧","0","0","0","12","10153","0","0","0","200","0","0"
"91002","8","3","50","0","0","0","0","讓信賴度達到500吧","0","0","0","13","10153","0","0","0","500","0","0"
"94002","12","3","50000","0","0","0","0","讓信賴度達到800吧","0","0","0","14","10153","0","0","0","800","0","0"
"91002","8","3","100","0","0","0","0","讓信賴度達到MAX吧","0","0","0","15","10153","0","0","0","1000","0","0"
"94002","12","1","15000","0","0","0","0","讓信賴度達到100吧","0","0","0","1001901","20015","0","0","0","100","0","0"
