ef064164fe1312de600435916dbc8e0debea9f50efd359cd4ad04b70a2d858a9,752e39bb66e7fb7122d7982f1c891f2cc085c9f4545747f2e068bdf014553064,c4e1b7b37cfbfc72a322735d05a11200623d47c845e1a3f6c745dc5b40d830be,c8dbabe82d93558b66f648b91f68a6ac028596e01b47bd611f701be5f6d4e077,e7224338a24985d7be07bfa624b046271f4993c3bf6ec26107eb7c31b3249fbb
"0","0","1","1001","1"
"0","0","1","1002","2"
"0","0","1","1003","3"
"0","0","1","1004","4"
"0","0","2","2001","1"
"0","0","2","2002","2"
"0","0","2","2003","3"
"0","0","2","2004","4"
"1","0","2","2101","1"
"1","0","2","2102","2"
"1","0","2","2103","3"
"1","0","2","2104","4"
"2","10001","2","2111","11"
"2","10001","2","2112","12"
"2","10001","2","2113","13"
"0","0","3","3001","1"
"0","0","3","3002","2"
"0","0","3","3003","3"
"0","0","3","3004","4"
"0","0","4","4001","1"
"0","0","4","4002","2"
"0","0","4","4003","3"
"0","0","4","4004","4"
"0","0","4","4005","100"
"1","0","5","5010","10101"
"2","1","5","5020","10201"
"2","2","5","5021","10202"
"3","0","5","5030","10301"
"3","1","5","5031","10301"
"4","0","5","5040","10302"
"5","0","5","5050","10303"
"6","0","5","5060","10304"
"1","0","6","6001","90001"
"2","0","6","6002","90001"
"2","1","6","6003","90001"
"3","0","6","6006","90001"
"3","1","6","6007","91101"
"3","2","6","6008","91201"
"3","3","6","6009","91301"
"4","0","6","6010","90001"
"4","1","6","6011","91101"
"4","2","6","6012","91201"
"4","3","6","6013","91301"
"5","0","6","6014","90001"
"5","1","6","6015","91101"
"5","2","6","6016","91201"
"5","3","6","6017","91301"
"6","0","6","6018","90001"
"6","1","6","6019","91101"
"6","2","6","6020","91201"
"6","3","6","6021","91301"
"7","0","6","6022","92001"
"7","1","6","6023","92101"
"7","2","6","6024","92201"
"7","3","6","6025","92301"
"7","4","6","6026","92401"
"0","0","7","7000","90002"
"0","1","7","7001","90002"
"0","2","7","7002","90003"
"2","1","7","7003","90002"
"2","2","7","7004","90003"
"3","1","7","7005","91102"
"3","2","7","7006","91103"
"4","1","7","7007","91102"
"4","2","7","7008","91103"
"5","1","7","7009","91102"
"5","2","7","7010","91103"
"6","1","7","7011","91102"
"6","2","7","7012","91103"
"7","1","7","7013","92102"
"7","2","7","7014","92103"
"0","0","9","9001","20101"
"0","0","10","10001","20201"
"1","0","10","10002","20202"
"8","0","101","10180","10501"
"1","0","100","100001","1"
"2","0","100","100002","1"
"3","0","100","100003","2"
"4","0","100","100004","2"
"5","0","100","100005","2"
"6","0","100","100006","2"
"7","0","100","100007","3"
"98001","0","101","980001","10301"
"98001","2","101","980002","10402"
"98011","1","101","980011","10401"
"98012","2","101","980012","10402"
