1b77f4440d385cb1004f8b9a118fe7b6b08ab4c3995b4fcf38411b89b25dde48,63ebc3bb7f4da6231a6c6cbdfd365c775e2e72f78c2d1635f9c6ddd926223fba,da04415fcce7960fac982d56ed42126706f4488f86e73053282a62981a710bbc,29b25ae19fe7334fd9ac3e7ae6e97da1485c87c44f7b90d198576606756b0a33,7204d176faa751ebf320cfd6e8473d0dad46ac567c7a78c4774498925da40a4c,8aeb7cd1b13478ad99158ea18d7a0a2fd55bcd9970aaeba84e3d8a8db743b661,324e242344da9032f19b792249e611523bb21d8570aab1719b02b099273d05b7,0800330d0ef8b859a4e23213c0b0f3e2ea32ebac5b7d8e14b78cbe46c00e025c,01a254a8a7fc4a982a7c141ffeb645303fe64a3af9577426b7707c5260b9e747,dda77245e61991e8a9fe340d3e43956972e74cd916ed3f0f0726688e5083adad,9bff153fc3e37a7c87852cf000a52abef2d619e53582b6ad8989dee287bec5e8,ee5ca1ee6ea8c3bc69d4c6fe4184561577060618d74dcf0469bc60e609f391a2,714e946447062cc73d8f98872b0c309b1b8119c0820aaf241435550f8cf82a5b,3d5041dca9082203a3db53647244556b6a745ee552bf5d08e0aef2b1510e9715,4f508fd478e426740322b6a5e2a1224da8d885edff7f3801525952db280e6f92,fb57bbb5b97d3433d8e278b2df9381906ea806480e3ae123be8c1dbaa3f056fe,3d2235a207454658925a1d57a43178ca3021fb4779c6da6a5bcbd6be772df4da,8353221f48465a7e7cc067755116484228efb6681b173db191ca25b95273c712,b606b7cc2ab1ba2a35b219510e6df2dd26e10705d11d31694dd6225fe58722bf,bae9e7e37dabcd6f93ed88c7cc20a78cbdbadb89d2e79b874f9c84492fafaa7a,1d0a11798eaff7fe56367bf8cf3ecf8230decbdd95668c4a2b75b05df2a44eff,457c7139facc4aabcb9ebcdb8cdef52750b851be4bfdf6e7a5fcb74df2650891,048d9ac1aadb7a7db588bd05adbbe935bf6a4fd22f87671b2a76a990c01c243c,f9dca16caad3a28e781c9cd74ff96c44adb12e514f9ba63ec465952ba8455f18,2a31ab1c154ed1433d83ee64cd34ed0f6602c9377929b9ac78346c5ddbc82d89
"18","0","0","100101","0","0","0","0","0","100000","50","0","160","0","0","0","1","0","5","0","0","0","32001","1","1"
"11","0","0","100101","0","0","0","0","0","100000","50","0","80","0","0","0","2","0","3","0","0","0","31001","1","1"
"15","0","0","100101","0","0","0","0","0","100000","10","0","100","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","100101","0","0","0","0","0","200000","15","0","200","0","0","0","3","10","0","0","0","0","25001","2","0"
"15","0","0","100101","0","0","0","0","0","400000","20","0","300","0","0","0","3","20","0","0","0","0","25001","3","0"
"15","0","0","100101","0","0","0","0","0","500000","25","0","400","0","0","0","3","30","0","0","0","0","25001","4","0"
"15","0","0","100101","0","0","0","0","0","600000","30","0","500","0","0","0","3","40","2","2","0","0","25001","5","1"
"18","0","0","100201","10","0","0","0","100","100000","50","0","0","0","0","0","1","0","0","0","0","0","32002","1","1"
"11","0","0","100201","10","0","0","0","60","100000","50","0","0","0","0","0","2","0","0","0","0","0","31002","1","1"
"15","0","0","100201","0","0","0","0","20","100000","10","0","0","2","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","100201","0","0","0","0","40","200000","15","0","0","4","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","0","100201","0","0","0","0","60","400000","20","0","0","6","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","0","100201","0","0","0","0","80","500000","25","0","0","8","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","0","100201","10","0","0","0","100","600000","30","0","0","10","0","0","3","0","0","0","0","0","25001","5","1"
"18","0","0","100301","0","0","0","0","0","100000","50","0","160","0","0","0","1","0","5","0","0","0","32003","1","1"
"11","0","0","100301","0","0","0","0","0","100000","50","0","80","0","0","0","2","0","3","0","0","0","31003","1","1"
"15","0","0","100301","0","0","0","0","0","100000","10","0","100","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","100301","0","0","0","0","0","200000","15","0","200","0","0","0","3","10","0","0","0","0","25001","2","0"
"15","0","0","100301","0","0","0","0","0","400000","20","0","300","0","0","0","3","20","0","0","0","0","25001","3","0"
"15","0","0","100301","0","0","0","0","0","500000","25","0","400","0","0","0","3","30","0","0","0","0","25001","4","0"
"15","0","0","100301","0","0","0","0","0","600000","30","0","500","0","0","0","3","40","2","2","0","0","25001","5","1"
"18","0","14","100401","0","0","0","0","0","100000","50","0","60","0","0","0","1","0","3","0","0","0","32004","1","1"
"11","0","7","100401","0","0","0","0","0","100000","50","0","30","0","0","0","2","0","2","0","0","0","31004","1","1"
"15","0","3","100401","0","0","0","0","0","100000","10","0","50","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","6","100401","0","0","0","0","0","200000","15","0","150","0","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","9","100401","0","0","0","0","0","400000","20","0","225","0","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","12","100401","0","0","0","0","0","500000","25","0","270","0","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","15","100401","0","0","0","0","0","600000","30","0","320","0","0","0","3","0","5","0","10","0","25001","5","1"
"18","1500","0","100501","0","0","0","0","0","100000","50","0","0","0","0","0","1","0","3","0","0","0","32005","1","1"
"11","1000","0","100501","0","0","0","0","0","100000","50","0","0","0","0","0","2","0","2","0","0","0","31005","1","1"
"15","0","2","100501","0","0","0","0","0","100000","10","0","40","2","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","4","100501","0","0","0","0","0","200000","15","0","80","4","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","6","100501","0","0","0","0","0","400000","20","0","120","6","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","8","100501","0","0","0","0","0","500000","25","0","160","8","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","10","100501","0","0","0","0","0","600000","30","0","200","10","0","0","3","0","5","0","0","0","25001","5","1"
"18","0","0","100601","0","10","0","0","160","100000","50","0","0","0","0","0","1","0","3","0","0","0","32006","1","1"
"11","0","0","100601","0","5","0","0","80","100000","50","0","0","0","0","0","2","0","2","0","0","0","31006","1","1"
"15","0","0","100601","0","0","0","0","90","100000","10","0","0","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","100601","0","5","0","0","180","200000","15","0","0","0","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","0","100601","0","10","0","0","270","400000","20","0","0","0","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","0","100601","0","15","0","0","360","500000","25","0","0","0","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","0","100601","0","20","0","0","450","600000","30","0","0","0","0","0","3","0","5","0","0","0","25001","5","1"
"18","1500","10","100701","0","0","0","0","0","100000","50","0","0","0","0","0","1","0","0","0","4","0","32007","1","1"
"11","1000","15","100701","0","0","0","0","0","100000","50","0","0","0","0","0","2","0","0","0","5","0","31007","1","1"
"15","0","6","100701","0","0","0","0","0","100000","10","0","0","0","0","0","3","0","0","0","2","0","25001","1","0"
"15","0","12","100701","0","0","0","0","0","200000","15","0","0","0","0","0","3","0","0","0","4","0","25001","2","0"
"15","0","18","100701","0","0","0","0","0","400000","20","0","0","0","0","0","3","0","0","0","6","0","25001","3","0"
"15","0","24","100701","0","0","0","0","0","500000","25","0","0","0","0","0","3","0","0","0","8","0","25001","4","0"
"15","0","30","100701","0","0","0","0","0","600000","30","0","0","0","0","0","3","0","0","0","10","0","25001","5","1"
"18","0","0","100801","0","0","0","0","240","100000","50","0","0","0","0","0","1","0","5","0","0","0","32008","1","1"
"11","0","0","100801","0","0","0","0","120","100000","50","0","0","0","0","0","2","0","3","0","0","0","31008","1","1"
"15","0","0","100801","0","5","0","0","130","100000","10","0","0","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","100801","0","10","0","0","260","200000","15","0","0","0","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","0","100801","0","15","0","0","390","400000","20","0","0","0","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","0","100801","0","20","0","0","520","500000","25","0","0","0","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","0","100801","0","25","0","0","650","600000","30","0","0","0","0","1","3","0","2","0","0","0","25001","5","1"
"18","0","0","100901","0","10","0","0","360","100000","50","0","0","0","0","0","1","0","5","0","0","0","32009","1","1"
"11","0","0","100901","0","10","0","0","180","100000","50","0","0","0","0","0","2","0","3","0","0","0","31009","1","1"
"15","0","0","100901","0","10","0","0","180","100000","10","0","0","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","100901","0","20","0","0","360","200000","15","0","0","0","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","0","100901","0","20","0","0","540","400000","20","0","0","0","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","0","100901","0","30","0","0","720","500000","25","0","0","0","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","0","100901","0","50","0","0","900","600000","30","0","0","0","0","0","3","0","2","0","0","0","25001","5","1"
"18","0","0","101001","10","0","0","0","100","100000","50","0","0","0","0","0","1","0","0","0","0","0","32010","1","1"
"11","0","0","101001","10","0","0","0","60","100000","50","0","0","0","0","0","2","0","0","0","0","0","31010","1","1"
"15","0","2","101001","0","0","0","0","20","100000","10","0","0","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","4","101001","0","0","0","0","40","200000","15","0","0","0","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","6","101001","0","0","0","0","60","400000","20","0","0","0","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","8","101001","0","0","0","0","80","500000","25","0","0","0","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","10","101001","10","0","0","0","100","600000","30","0","0","0","0","0","3","0","0","0","0","0","25001","5","1"
"18","0","0","101101","0","0","0","0","0","100000","50","0","160","0","0","0","1","0","5","0","0","0","32011","1","1"
"11","0","0","101101","0","0","0","0","0","100000","50","0","80","0","0","0","2","0","3","0","0","0","31011","1","1"
"15","0","0","101101","0","0","0","0","0","100000","10","0","100","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","101101","0","0","0","0","0","200000","15","0","200","0","0","0","3","10","0","0","0","0","25001","2","0"
"15","0","0","101101","0","0","0","0","0","400000","20","0","300","0","0","0","3","20","0","0","0","0","25001","3","0"
"15","0","0","101101","0","0","0","0","0","500000","25","0","400","0","0","0","3","30","0","0","0","0","25001","4","0"
"15","0","0","101101","0","0","0","0","0","600000","30","0","500","0","0","0","3","40","2","2","0","0","25001","5","1"
"18","0","0","101201","0","10","0","0","160","100000","50","0","0","0","0","0","1","0","3","0","0","0","32012","1","1"
"11","0","0","101201","0","5","0","0","80","100000","50","0","0","0","0","0","2","0","2","0","0","0","31012","1","1"
"15","0","0","101201","0","5","0","0","100","100000","10","0","0","0","0","0","3","0","0","0","0","0","25001","1","0"
"15","0","0","101201","0","10","0","0","200","200000","15","0","0","0","0","0","3","0","0","0","0","0","25001","2","0"
"15","0","0","101201","0","15","0","0","300","400000","20","0","0","0","0","0","3","0","0","0","0","0","25001","3","0"
"15","0","0","101201","0","20","0","0","400","500000","25","0","0","0","0","0","3","0","0","0","0","0","25001","4","0"
"15","0","0","101201","0","25","0","0","500","600000","30","0","0","0","0","0","3","0","0","2","0","0","25001","5","1"
"18","0","0","101301","0","10","0","0","160","100000","50","0","0","0","0","0","1","0","3","0","0","0","32013","1","1"
"11","0","0","101301","0","5","0","0","80","100000","50","0","0","0","0","0","2","0","2","0","0","0","31013","1","1"
"15","0","0","101301","0","5","0","0","85","100000","10","0","0","0","0","0","3","0","0","0","0","0","25001","1","0"
