428d1baf2c11478ccaf8ca42b80b254550f0153353c74bfb97935e685f0f0775,2da97340ed1b1af527d7abfb3d9daf8b9dc8a6772f8bbc0ef046f74f925d62ba,94b0c6cc6c2bcce69959540dad13b6845748af5cebb8e94fcb8ad2bc90b9241d,832376dd777257b2ce289f22e5834d5a82f237a4cdc2b8637a421ce770c99d58,ec4c26319ef91e4cfd69698391699283cd32b7d9ff6fd2122abc434ce3aad0d1,11c25413dcac9cba2fa48719557b83333e29d76c6ffdd8d008c8994ca029c1d4,648ffbaf3b65b44d133b3216d7c518938b6365a0b6ba758133ff7143182fd7a2,ebbc4979f173d48fe3968782253270561ac5743c2d65da5bafeca61314a5a467,fa84cbe7f9535fa57ee5483030a42df97416187f5de07055f73d0449ee76bc36,7737e48a4704d51ec94be003b34a0b18ab6f7459a8bf6d40e33980b5242b7a88,b1c13dd0a2e9d140e89426948d0c40aa5943b8303e957e6c855284c7fabf6ec3,dc14f5f637cf3b9607a1628d6e0c8eddcd1972fb388424d37315b29082e2cf93
"0","0","1120001","0","4","0","0","1","0","3","1","12"
"0","0","1120002","vo_nyx_0101","2","0","0","0","vo_nyx","0","2","12"
"0","2.698","1120003","0","1","1","278","0","0","0","3","12"
"0","0","1120004","0","4","0","0","3.334","0","1","4","12"
"0","0","1120005","vo_nyx_0102","2","0","0","0","vo_nyx","0","5","12"
"278","1.055","1120006","0","1","1","382","0","0","0","6","12"
"0","0","1120007","0","4","0","0","1.055","0","1","7","12"
"0","0.732","1120008","0","1","2","78","0","0","0","8","12"
"0","0","1120009","0","4","0","0","1.05","0","1","9","12"
"78","2.42","1120010","0","1","2","365","0","0","0","10","12"
"0","0","1120011","0","4","0","0","3.5","0","1","11","12"
"0","0","1120012","0","4","0","0","2","0","3","12","12"
"0","0","1120013","vo_nyx_0103","2","0","0","0","vo_nyx","0","13","12"
"0","0.815","1120014","0","1","3","79","0","0","0","14","12"
"0","0","1120015","0","4","0","0","1.157","0","1","15","12"
"79","2.763","1120016","0","1","3","372","0","0","0","16","12"
"0","0","1120017","0","4","0","0","2.763","0","1","17","12"
"0","2.388","1120018","0","1","4","250","0","0","0","18","12"
"0","0","1120019","0","4","0","0","3.338","0","1","19","12"
"0","0","1120020","vo_nyx_0104","2","0","0","0","vo_nyx","0","20","12"
"0","0.778","1120021","0","1","5","108","0","0","0","21","12"
"0","0","1120022","0","4","0","0","1.214","0","1","22","12"
"108","3.167","1120023","0","1","5","375","0","0","0","23","12"
"0","0","1120024","0","4","0","0","3.61","0","1","24","12"
"0","2.618","1120025","0","1","6","279","0","0","0","25","12"
"0","0","1120026","0","4","0","0","3.198","0","1","26","12"
"0","0","1120027","vo_nyx_0105","2","0","0","0","vo_nyx","0","27","12"
"279","1.4","1120028","0","1","6","392","0","0","0","28","12"
"0","0","1120029","0","4","0","0","1.448","0","1","29","12"
"0","2.927","1120030","0","1","7","309","0","0","0","30","12"
"0","0","1120031","0","4","0","0","3.811","0","1","31","12"
"0","0","1120032","0","4","0","0","3","0","3","32","12"
"0","0","1120033","vo_nyx_0106","2","0","0","0","vo_nyx","0","33","12"
"309","0.506","1120034","0","1","7","360","0","0","0","34","12"
"0","0","1120035","0","4","0","0","1.175","0","1","35","12"
"0","0","1120036","0","4","0","0","3","0","3","36","12"
"0","0","1120037","vo_nyx_0107","2","0","0","0","vo_nyx","0","37","12"
"0","1.439","1120038","0","1","8","233","0","0","0","38","12"
"0","0","1120039","0","4","0","0","1.439","0","1","39","12"
"233","1.462","1120040","0","1","8","345","0","0","0","40","12"
"0","0","1120041","0","4","0","0","2.178","0","1","41","12"
"0","0","1120042","vo_nyx_0108","2","0","0","0","vo_nyx","0","42","12"
"0","3.765","1120043","0","1","9","400","0","0","0","43","12"
"0","0","1120044","0","4","0","0","4.495","0","1","44","12"
"0","0","1120045","vo_nyx_0109","2","0","0","0","vo_nyx","0","45","12"
"0","1.137","1120046","0","1","10","109","0","0","0","46","12"
"0","0","1120047","0","4","0","0","1.484","0","1","47","12"
"109","2.686","1120048","0","1","10","395","0","0","0","48","12"
"0","0","1120049","0","4","0","0","2.686","0","1","49","12"
"0","0.736","1120050","0","1","11","127","0","0","0","50","12"
"0","0","1120051","0","4","0","0","1.06","0","1","51","12"
"0","0","1120052","vo_nyx_0110","2","0","0","0","vo_nyx","0","52","12"
"127","0.353","1120053","0","1","11","133","0","0","0","53","12"
"0","0","1120054","0","4","0","0","1.137","0","1","54","12"
"0","0","1120055","vo_nyx_0111","2","0","0","0","vo_nyx","0","55","12"
"0","2.51","1120056","0","1","12","406","0","0","0","56","12"
"0","0","1120057","0","4","0","0","3.164","0","1","57","12"
"0","0","1120058","vo_nyx_0112","2","0","0","0","vo_nyx","0","58","12"
"0","1.532","1120059","0","1","13","155","0","0","0","59","12"
"0","0","1120060","0","4","0","0","1.62","0","1","60","12"
"155","1.367","1120061","0","1","13","374","0","0","0","61","12"
"0","0","1120062","0","4","0","0","2.245","0","1","62","12"
"0","0","1120063","vo_nyx_0113","2","0","0","0","vo_nyx","0","63","12"
"0","1.116","1120064","0","1","14","124","0","0","0","64","12"
"0","0","1120065","0","4","0","0","1.735","0","1","65","12"
"124","1.048","1120066","0","1","14","238","0","0","0","66","12"
"0","0","1120067","0","4","0","0","2.848","0","1","67","12"
"0","0","1130001","0","4","0","0","1","0","3","1","13"
"0","0","1130002","vo_nyx_0201","2","0","0","0","vo_nyx","0","2","13"
"0","0.382","1130003","0","1","1","36","0","0","0","3","13"
"0","0","1130004","0","4","0","0","0.672","0","1","4","13"
"36","0.65","1130005","0","1","1","67","0","0","0","5","13"
"0","0","1130006","0","4","0","0","1.115","0","1","6","13"
"67","2.158","1130007","0","1","1","192","0","0","0","7","13"
"0","0","1130008","0","4","0","0","2.541","0","1","8","13"
"192","0.914","1130009","0","1","1","365","0","0","0","9","13"
"0","0","1130010","0","4","0","0","0.914","0","1","10","13"
"0","1.72","1130011","0","1","2","220","0","0","0","11","13"
"0","0","1130012","0","4","0","0","1.5","0","1","12","13"
