dc4a37016d43d55570014bc6acc44d8658480c0e09375935f5d7f2c2b38c4e03,72f7d8a1a433cd7a98e88bd49d68e74e3fecb1b7b3786b78462f04edf140bea9,46ac5f75c899ced1d3ce84ca37c14bde9dedb89dc2515a72f83df1c16446a753,f0021078d296ffbfd0aecaaa2e4b9db88aacba9c390a4d282b482148b7a77822,9c0dbeaed0ec94bdfa1fcb7ee5ba962c8cf3cde9d763b89aba44c23ab86b50e9,5c695d4e395745daea53aeadb1fa0b408aa2da20d06631cc78eba9f118d4e1f6,c3855c85e7fd0628d19c0dfa6c54bc9705bc6ed9f0e5a7d4d68d04819cdb4205,25a29b315aa069f05c905c7d2b2f26a221f404cfe68bdbac528f476a8391ee19,798fd7c4b49fc6e1cb86dc4c04801c26a848966fae44eb69307b482fc7453745,bb9447cf45522a954b0d41749ff57e252514b1a6585c1b5cda38a81472ff48cb,509100027322b2f758f2d163211355bf052dfa0d865513b682f7a4c26ddf6009,aa2d6d1497803e80f0f96d2ffe0377b0ba4988438951cd18b08e0cbf36560983
"1","0","1","0","100580101","1005801","0","0","0.8","4","0","0"
"0","0","2","vo_ske","100580102","1005801","vo_ske_0101","0","0","2","0","0"
"0","0","3","0","100580103","1005801","0","0.705","0","1","1","94"
"1","0","4","0","100580104","1005801","0","0","1.549","4","0","0"
"0","94","5","0","100580105","1005801","0","1.807","0","1","1","362"
"1","0","6","0","100580106","1005801","0","0","3.027","4","0","0"
"0","0","7","0","100580107","1005801","0","1.141","0","1","2","263"
"1","0","8","0","100580108","1005801","0","0","1.9","4","0","0"
"0","263","9","0","100580109","1005801","0","1.78","0","1","2","400"
"1","0","10","0","100580110","1005801","0","0","4.544","4","0","0"
"0","0","11","vo_ske","100580111","1005801","vo_ske_0102","0","0","2","0","0"
"0","0","12","0","100580112","1005801","0","1.322","0","1","3","195"
"1","0","13","0","100580113","1005801","0","0","2.917","4","0","0"
"0","0","14","vo_ske","100580114","1005801","vo_ske_0103","0","0","2","0","0"
"0","0","15","0","100580115","1005801","0","1.932","0","1","4","228"
"1","0","16","0","100580116","1005801","0","0","2.582","4","0","0"
"0","228","17","0","100580117","1005801","0","0.996","0","1","4","367"
"1","0","18","0","100580118","1005801","0","0","3.856","4","0","0"
"0","0","19","vo_ske","100580119","1005801","vo_ske_0104","0","0","2","0","0"
"0","0","20","0","100580120","1005801","0","0.67","0","1","5","90"
"1","0","21","0","100580121","1005801","0","0","1.785","4","0","0"
"0","90","22","0","100580122","1005801","0","2.253","0","1","5","364"
"1","0","23","0","100580123","1005801","0","0","2.253","4","0","0"
"0","0","24","0","100580124","1005801","0","0.962","0","1","6","0"
"1","0","25","0","100580125","1005801","0","0","2.244","4","0","0"
"0","0","26","0","100580126","1005801","0","1.707","0","1","6","334"
"1","0","27","0","100580127","1005801","0","0","4.225","4","0","0"
"0","0","28","vo_ske","100580128","1005801","vo_ske_0105","0","0","2","0","0"
"0","0","29","0","100580129","1005801","0","1.256","0","1","7","227"
"1","0","30","0","100580130","1005801","0","0","3.119","4","0","0"
"0","0","31","vo_ske","100580131","1005801","vo_ske_0106","0","0","2","0","0"
"0","0","32","0","100580132","1005801","0","0.702","0","1","8","73"
"1","0","33","0","100580133","1005801","0","0","1.386","4","0","0"
"0","73","34","0","100580134","1005801","0","1.352","0","1","8","318"
"1","0","35","0","100580135","1005801","0","0","2.053","4","0","0"
"0","318","36","0","100580136","1005801","0","0.733","0","1","8","383"
"1","0","37","0","100580137","1005801","0","0","1.868","4","0","0"
"0","0","38","0","100580138","1005801","0","1.764","0","1","9","340"
"1","0","39","0","100580139","1005801","0","0","2.905","4","0","0"
"0","340","40","0","100580140","1005801","0","0.969","0","1","9","340"
"1","0","41","0","100580141","1005801","0","0","0.969","4","0","0"
"0","0","42","0","100580142","1005801","0","0.808","0","1","10","0"
"1","0","43","0","100580143","1005801","0","0","2.8","4","0","0"
"0","0","44","vo_ske","100580144","1005801","vo_ske_0107","0","0","2","0","0"
"0","0","45","0","100580145","1005801","0","0.25","0","1","10","52"
"1","0","46","0","100580146","1005801","0","0","0.25","4","0","0"
"0","52","47","0","100580147","1005801","0","1.817","0","1","10","328"
"1","0","48","0","100580148","1005801","0","0","3.312","4","0","0"
"0","328","49","0","100580149","1005801","0","0.666","0","1","10","389"
"1","0","50","0","100580150","1005801","0","0","1.17","4","0","0"
"0","0","51","0","100580151","1005801","0","1.616","0","1","11","0"
"1","0","52","0","100580152","1005801","0","0","4.15","4","0","0"
"0","0","53","vo_ske","100580153","1005801","vo_ske_0108","0","0","2","0","0"
"0","0","54","0","100580154","1005801","0","1.198","0","1","11","142"
"1","0","55","0","100580155","1005801","0","0","2.442","4","0","0"
"0","142","56","0","100580156","1005801","0","1.934","0","1","11","267"
"1","0","57","0","100580157","1005801","0","0","4.434","4","0","0"
"1","0","1","0","100580201","1005802","0","0","0.8","4","0","0"
"0","0","2","vo_ske","100580202","1005802","vo_ske_0201","0","0","2","0","0"
"0","0","3","0","100580203","1005802","0","1.122","0","1","1","202"
"1","0","4","0","100580204","1005802","0","0","1.689","4","0","0"
"0","202","5","0","100580205","1005802","0","1.13","0","1","1","370"
"1","0","6","0","100580206","1005802","0","0","2.883","4","0","0"
"0","0","7","vo_ske","100580207","1005802","vo_ske_0202","0","0","2","0","0"
"0","0","8","0","100580208","1005802","0","1.057","0","1","2","249"
"1","0","9","0","100580209","1005802","0","0","1.962","4","0","0"
"0","249","10","0","100580210","1005802","0","1.166","0","1","2","367"
"1","0","11","0","100580211","1005802","0","0","1.747","4","0","0"
"0","0","12","0","100580212","1005802","0","1.216","0","1","3","78"
"1","0","13","0","100580213","1005802","0","0","1.216","4","0","0"
"0","78","14","0","100580214","1005802","0","1.868","0","1","3","389"
"1","0","15","0","100580215","1005802","0","0","3.78","4","0","0"
"0","0","16","vo_ske","100580216","1005802","vo_ske_0203","0","0","2","0","0"
"0","0","17","0","100580217","1005802","0","0.655","0","1","4","252"
"1","0","18","0","100580218","1005802","0","0","1.632","4","0","0"
"0","252","19","0","100580219","1005802","0","1.586","0","1","4","366"
"1","0","20","0","100580220","1005802","0","0","2.357","4","0","0"
"0","366","21","0","100580221","1005802","0","0.386","0","1","4","366"
"1","0","22","0","100580222","1005802","0","0","0.386","4","0","0"
"0","0","23","0","100580223","1005802","0","0.872","0","1","5","0"
"1","0","24","0","100580224","1005802","0","0","3.189","4","0","0"
"0","0","25","vo_ske","100580225","1005802","vo_ske_0204","0","0","2","0","0"
"0","0","26","0","100580226","1005802","0","1.065","0","1","5","137"
"1","0","27","0","100580227","1005802","0","0","1.882","4","0","0"
"0","137","28","0","100580228","1005802","0","0.888","0","1","5","400"
"1","0","29","0","100580229","1005802","0","0","0.888","4","0","0"
"0","0","30","0","100580230","1005802","0","0.607","0","1","6","0"
"1","0","31","0","100580231","1005802","0","0","1.21","4","0","0"
"0","0","32","0","100580232","1005802","0","0.933","0","1","6","53"
"1","0","33","0","100580233","1005802","0","0","2.332","4","0","0"
"0","53","34","0","100580234","1005802","0","1.649","0","1","6","360"
"1","0","35","0","100580235","1005802","0","0","4.223","4","0","0"
"0","0","36","vo_ske","100580236","1005802","vo_ske_0205","0","0","2","0","0"
"0","0","37","0","100580237","1005802","0","0.349","0","1","7","81"
"1","0","38","0","100580238","1005802","0","0","1.46","4","0","0"
"0","81","39","0","100580239","1005802","0","1.532","0","1","7","350"
"1","0","40","0","100580240","1005802","0","0","2.11","4","0","0"
"0","350","41","0","100580241","1005802","0","0.341","0","1","7","350"
"1","0","42","0","100580242","1005802","0","0","0.341","4","0","0"
"0","0","43","0","100580243","1005802","0","1.202","0","1","8","0"
"1","0","44","0","100580244","1005802","0","0","3.101","4","0","0"
