fe303ecd0460f0b7fc0c5974f692bf16a21e507a73032dbc5a199e6b0a4e53d7,c672a6c65ef1db5061c59e0709e36beb86e9c7ce9323908690bf4da8fea6118c,b0e17e7f313a95c5ab89cf425a30a4d302adf9b953a109fc11b0923ad7ece931,cb419d172fc909c4d53e599874f23d557eb8261bda90e11530c49a11b0974a59,6eafc4299ef9c5a216e22035a7acbef0d7149213ffa4f8d76f432d624ca150d7,f64e129c81efed9765f5f96f6c3724458e07b02c60841b9ffd58ac47819d9047,479fab730c94263eb0a6050fc39c9d6f1b05673c98a8b03bd107a8c67383adb8,38ffd8de15ed8032e4ecb24749ebe9850f71129dd67fcc15ac36bf822c15345d,842bc2936cd462906d92de5feb44f5bb418ad7aedbb73369a773e2ccba2d8841,a8b20e5d797f46b610414bf08d498637d18a9c4e668a4c10f76ee4a9a08b4b3d,ffc25f908a23d463d2d0d0e94fcc7a32d91df5a93e240fbb0e39d41880ce3bdf,cd9b1eb44430c9b6fafaccb7cac8fff596261388c250365b0867a4aa4231a793,c841f0d5164feabc23452b6b83efde7bb0a909ae554e716240b51a457ee611fa,a10695a5c4ee7069aa473551f1815248a0572acd6664933628dcb29ac0a94654,8148d3b5720ce4778a1ec005eae98b593dc6ce5ba0e474b4baa0aeec97aed625,ed46cc2ccad51a060e0bf4919e8e95b59162db472d86ed9811ce28486b4ec3cd,6f7ddf6fc9f9de8f8dc95318841375ea6023cf18ab435a218927674c78e3ea93,d3ebb9d935c65f73733adf4cf291daa6e69d3244b769dc5b4fe1c738bd280ff6
"0","累積獲得分數2000點","94002","0","0","0","20000","0","1","0","2000","0","0","0","0","0","12","0"
"0","累積獲得分數4000點","94002","0","0","0","30000","0","2","0","4000","0","0","0","0","0","12","0"
"0","累積獲得分數8000點","91002","0","0","0","25","0","3","0","8000","0","0","0","0","0","8","0"
"0","累積獲得分數10000點","94002","0","0","0","40000","0","4","0","10000","0","0","0","0","0","12","0"
"0","累積獲得分數12000點","94002","0","0","0","50000","0","5","0","12000","0","0","0","0","0","12","0"
"0","累積獲得分數14000點","23001","0","0","0","20","0","6","0","14000","0","0","0","0","0","2","0"
"0","累積獲得分數18000點","91002","0","0","0","50","0","7","0","18000","0","0","0","0","0","8","0"
"0","累積獲得分數21000點","94002","0","0","0","70000","0","8","0","21000","0","0","0","0","0","12","0"
"0","累積獲得分數24000點","94002","0","0","0","80000","0","9","0","24000","0","0","0","0","0","12","0"
"0","累積獲得分數27000點","91002","0","0","0","75","0","10","0","27000","0","0","0","0","0","8","0"
"0","累積獲得分數35000點","23001","0","0","0","50","0","11","0","35000","0","0","0","0","0","2","0"
"0","累積獲得分數40000點","91002","0","0","0","100","0","12","0","40000","0","0","0","0","0","8","0"
"0","累積獲得分數45000點","94002","0","0","0","100000","0","13","0","45000","0","0","0","0","0","12","0"
"0","累積獲得分數50000點","11001086","0","0","0","1","0","14","0","50000","0","0","0","0","0","15","0"
