ffea139c3f5b34c90615f14efd494df3772031ebefd8607ecb5896645f60e983,fc0b64433299463808e97eabc4c2e0b80d4794687e6925bccb1eb3ed840f45dc,3ca9acd5be0e8f0ec79c9bd1dd72c468c9af8bae87fdf7a55c69e09e70c0cf96,0e7a6408c09af3937b23e558ec82799c48e2822b262369cabddbd861af938832,81a168caa817913169028cc42a63c7dab0e66a93e8e81408b6811692dfa31d9c
"red","#D23232","90009","101","單手劍"
"red","#D23232","90009","102","雙手劍"
"red","#D23232","90009","103","短劍"
"red","#D23232","90009","104","槍"
"red","#D23232","90009","105","斧"
"red","#D23232","90009","106","弓"
"red","#D23232","90009","107","拳"
"red","#D23232","90009","108","盾"
"red","#D23232","90009","109","杖"
"red","#D23232","90009","110","書本"
"blue","#476FD8","90010","201","衣服"
"blue","#476FD8","90010","202","鎧甲"
"blue","#476FD8","90010","203","白長袍"
"blue","#476FD8","90010","204","黑長袍"
"yellow","#E5681E","90011","301","戒指"
"yellow","#E5681E","90011","302","手鐲"
"yellow","#E5681E","90011","303","項鍊"
"yellow","#E5681E","90011","304","寶珠"
"yellow","#E5681E","90011","305","耳環"
