b798da8356cf7c967b24df75d41b2b023f55cb1bf9908160fda8cefdba5e7f04,a84d9ffa30be2d3c365a11479afe6148fe1f1ae90467fdc0fc72f9dc04941b49,113bc82f14b7463cb2c31a711bd6558abebeb71465ff3323fb63d5254c274e49,73739dd1c0e0b49a455f963824e37ae25bca8a6f5302e932fcd318c01ab6a816,a0bcf5de9539884c07bdbebced2c0c9102bce47936dd1ea9eda4f977584cb33d,2a1c2a741fe8aadb24d8b654fa375aa62d0396b997f28879862b94f7e7fa3d9f,91734ebc5a9d6278ad5354c0b8d798f8d1463318bcd59c69d48bfe5014a09d91,ef11bfb2bf59e3de75593f47ef4cdd8c99cd43fe6e6fccfcc19129e53cc6fae2,b3abeb4ac8603b75bcbfcb9507ae496e085774120f65744347ab4bef8a6a6a9f,1224a349e93df9cd343bfc4d4df500ae799495ffdb605841c4eecd48c0bd0a1e,530b6f8d484c2ae59c6d3c1ec2a2e862aee84f93b8be418e1f32dc247a6469a1,5300411790721b5f983d4fabe3e6233e4631911a8a87e97d0ccc721a2e46e6aa,2286601ea6f0d41fcd8f73d93fcd916b5bca885851cfcae623df7ccc4dfab653,25c0ec076bb0b5d8b508f23901f69449108300f6b2503360b1bafc6cd77f1d7d,5e6a3a756ca94d5bccc8883255859026041088ebfe6c3093a5184fe6adeb332c
"10118","8","5118061","在藍天下的謁見","40","7","2","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","0","91002","跳蚤市場會場","1","2834","0","與貪吃佩可的相遇"
"10118","8","5118062","未來的騎空團\n吉祥物？","40","7","2","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","0","91002","跳蚤市場會場","1","2835","0","與真步的相遇"
"10118","8","5118063","來自大小姐的\n緊急委託","40","7","2","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","0","91002","蘭德索爾市中心","1","2837","0","與秋乃的相遇"
"10118","8","5118064","金黃色的煩惱","40","18","2","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","0","91002","跳蚤市場會場","1","4108402","0","與純的相遇"
"10118","8","5118065","白熱化！格鬥大會！","40","18","2","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","0","91002","跳蚤市場會場","1","4107402","0","與香織的相遇"
"10118","8","5118066","祭典太鼓是大江戶之花","40","16","2","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","0","91002","大江戶町","1","9000227","1","與妮諾的相遇"
"10118","8","5118067","受歡迎的人\n總是姍姍來遲","40","19","3","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","0","91002","跳蚤市場會場","1","2101181","0","與鈴奈的相遇"
"10118","8","5118068","當巫女遇上魔法少女","40","18","3","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","0","91002","蘭德索爾市中心","1","4109402","0","與七七香的相遇"
"10118","8","5118069","老鼠耳朵再次消失","40","18","3","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","0","91002","跳蚤市場會場","1","4305402","0","與凱留＆可可蘿的相遇"
"10118","8","5118070","為這次的相遇乾杯！","40","18","3","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","0","91002","蘭德索爾市中心","1","4101402","0","與優花梨的相遇"
"10118","8","5118071","陰陽合奏","40","18","3","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","0","91002","蘭德索爾市中心","1","4106402","0","與碧的相遇"
"10118","8","5118072","試手氣十戰決勝負！","40","7","3","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","0","91002","跳蚤市場會場","1","2836","1","與忍的相遇"
"10118","0","5118600","她們的嶄新日常","0","0","1","0","10145115","0","0","0","0","0","序幕"
