f3658180bb03b80dd59942dce268315b68a069a34304a89c65305e6adf5954ad,8665f9e1b2b33e472cc0d25d0c492cf238082a8ada75d7b97815b5ddae08e18d,c507d9a4bc501b067185817f410f861142de51d6c0d1265c01d3abbef5c59721,3c4b590903226f2932d877e3eeef5973b4ae079c1c3ec8f02f38d6b6fed59990,5f57b8722870972790a579827c9091715ac0489fa0ad419d162dff38b3e51e7c,171460c23e2626b3e8c8bef4400c19ae2e2858631cc1953770a0ea7f0ea05f5d,ef567769c2d9fd174150458b6a436eb6f8d10143660e38e1ae494b3c9b51ae9d
"1","10001","2","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","vo_minigame_1004","vo_minigame_1004_top_1_000","1000101"
"1","10002","2","接龍之戰，我要找哥哥幫忙。","vo_minigame_1004","vo_minigame_1004_top_1_003","1000201"
"2","10003","1","打手就是不管別人怎樣找碴都來者不拒！看我的！","vo_minigame_1004","vo_minigame_1004_top_1_004","1000301"
"2","10004","1","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","vo_minigame_1004","vo_minigame_1004_top_1_005","1000401"
"2","10005","1","管它是接龍還是什麼，就給他們回馬槍吧！","vo_minigame_1004","vo_minigame_1004_top_1_006","1000501"
"3","10006","2","咕麼……（我、肚子餓了）","vo_minigame_1004","vo_minigame_1004_top_1_007","1000601"
"3","10007","2","咕麼麼麼麼（接龍真有趣）","vo_minigame_1004","vo_minigame_1004_top_1_008","1000701"
"3","10008","2","咕麼麼麼麼！（祈梨 是好人）","vo_minigame_1004","vo_minigame_1004_top_1_009","1000801"
"1","10009","2","就算對手是嘉夜夜，我也不會手下留情。","vo_minigame_1004","vo_minigame_1004_top_2_010","1000901"
"2","10009","1","好極了！要比的話就要認真的比哦。","vo_minigame_1004","vo_minigame_1004_top_2_011","1000902"
"1","10010","2","嘉夜夜，要道歉就趁現在。","vo_minigame_1004","vo_minigame_1004_top_2_012","1001001"
"2","10010","1","祈梨才是，妳要偷哭的話就趁現在吧？","vo_minigame_1004","vo_minigame_1004_top_2_013","1001002"
"1","10011","2","嘉夜夜，今後可是知性的時代哦？","vo_minigame_1004","vo_minigame_1004_top_2_014","1001101"
"2","10011","1","慢著！不要把我說得像笨蛋一樣！！","vo_minigame_1004","vo_minigame_1004_top_2_015","1001102"
"1","10012","1","來，讓妳見識一下我們的力量！","vo_minigame_1004","vo_minigame_1004_top_2_016","1001201"
"3","10012","2","咕麼！（交給我！）","vo_minigame_1004","vo_minigame_1004_top_2_017","1001202"
"1","10013","1","乖乖，很好，做得好的話，就給你巧克力！","vo_minigame_1004","vo_minigame_1004_top_2_018","1001301"
"3","10013","2","咕麼！（我 喜歡巧克力）","vo_minigame_1004","vo_minigame_1004_top_2_019","1001302"
"2","10014","1","喏，祈梨……妳是不是已經迷失當時的目的了？","vo_minigame_1004","vo_minigame_1004_top_2_023","1001401"
"1","10014","2","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","vo_minigame_1004","vo_minigame_1004_top_2_024","1001402"
"2","10015","1","就算對手是祈梨，我也不會把勝利讓給妳的！","vo_minigame_1004","vo_minigame_1004_top_2_025","1001501"
"1","10015","2","正合我意，我可不會手下留情哦！","vo_minigame_1004","vo_minigame_1004_top_2_026","1001502"
"2","10016","1","嘿，妳還滿行的嘛！","vo_minigame_1004","vo_minigame_1004_top_2_027","1001601"
"1","10016","2","嘉夜夜也比我想像的還厲害呢！","vo_minigame_1004","vo_minigame_1004_top_2_028","1001602"
"2","10017","1","喂～似龍生物？","vo_minigame_1004","vo_minigame_1004_top_2_029","1001701"
"3","10017","2","咕麼！？（噫！）","vo_minigame_1004","vo_minigame_1004_top_2_030","1001702"
"2","10018","1","哎呀，那時真是不好意思啊哈哈哈！","vo_minigame_1004","vo_minigame_1004_top_2_031","1001801"
"3","10018","2","咕麼麼麼……（嘉夜夜 好可怕）","vo_minigame_1004","vo_minigame_1004_top_2_032","1001802"
"2","10019","1","你啊……還真是一臉呆樣呢。","vo_minigame_1004","vo_minigame_1004_top_2_033","1001901"
"3","10019","2","咕麼……（妳還 敢說我）","vo_minigame_1004","vo_minigame_1004_top_2_034","1001902"
"3","10020","2","咕麼……（肚子餓了 想要巧克力）","vo_minigame_1004","vo_minigame_1004_top_2_044","1002001"
"2","10020","1","怎麼了？睏了嗎？","vo_minigame_1004","vo_minigame_1004_top_2_045","1002002"
"3","10021","2","咕麼麼（這傢伙……好危險）","vo_minigame_1004","vo_minigame_1004_top_2_046","1002101"
"2","10021","1","嗯？　怎麼了？想當我的小弟嗎？","vo_minigame_1004","vo_minigame_1004_top_2_047","1002102"
"3","10022","2","咕麼……（嘉夜夜是 肌肉笨蛋）","vo_minigame_1004","vo_minigame_1004_top_2_048","1002201"
