cc31c8879816231da2a5b2724c2b47c01ba0b3ecab0bb92d273d4f60eba7320b,2ddebeb433969e76e955048d064c8edab2d7d4053b9bc26dc5194087a7ccf59f,90e13a6881e94587d6be9d373f553507cb8e9172a766b5f33349fe1679d783e0,c282337cce4a2d63a0b98e5ebca8071845c4b3ba1be6fa018e5a5aa6b2dd6a22,68f48daa4c902cb5fe17496dd37602f65b01e779b374e0de70af5c6995aa9e4b
"5","61001001","2","60002","10001001"
"5","61001002","2","60002","10001002"
"30","71001001","8","91002","10001003"
"1","71001001","2","22002","10001004"
"30","71001002","8","91002","10001005"
"1","71001002","2","22002","10001006"
"30","71001003","8","91002","10001007"
"1","71001003","2","22002","10001008"
"30","71001004","8","91002","10001009"
"1","71001004","2","22002","10001010"
"30","71001005","8","91002","10001011"
"1","71001005","2","22002","10001012"
"30","71001006","8","91002","10001013"
"1","71001006","2","22002","10001014"
"30","71001007","8","91002","10001015"
"1","71001007","2","22002","10001016"
"30","71001008","8","91002","10001017"
"1","71001008","2","22002","10001018"
"30","71001009","8","91002","10001019"
"1","71001009","2","22002","10001020"
"30","71001010","8","91002","10001021"
"1","71001010","2","22002","10001022"
"30","71001011","8","91002","10001023"
"1","71001011","2","22002","10001024"
"30","71001012","8","91002","10001025"
"1","71001012","2","22002","10001026"
"30","71001013","8","91002","10001027"
"1","71001013","2","22002","10001028"
"30","71001014","8","91002","10001029"
"1","71001014","2","22002","10001030"
"30","71001015","8","91002","10001031"
"1","71001015","2","22002","10001032"
"60","71001016","8","91002","10001033"
"2","71001016","2","22002","10001034"
"60","71001017","8","91002","10001035"
"2","71001017","2","22002","10001036"
"60","71001018","8","91002","10001037"
"2","71001018","2","22002","10001038"
"60","71001019","8","91002","10001039"
"2","71001019","2","22002","10001040"
"60","71001020","8","91002","10001041"
"2","71001020","2","22002","10001042"
"50000","71001021","12","94002","10001043"
"100000","71001022","12","94002","10001044"
"150000","71001023","12","94002","10001045"
"200000","71001024","12","94002","10001046"
"2","71001025","2","31038","10001047"
"2","71001026","2","31012","10001048"
"3","71001027","2","31038","10001049"
"3","71001028","2","31012","10001050"
"5","71001029","2","31038","10001051"
"5","71001030","2","31012","10001052"
"5","61002001","2","60012","10002001"
"5","61002002","2","60012","10002002"
"30","71002001","8","91002","10002003"
"1","71002001","2","22002","10002004"
"30","71002002","8","91002","10002005"
