94572c7bae72b8f6f3a86f6ed0b468a81422360c2576bfcc2e277f3eaaf0209a,0dfec93c693f2390bc7285a070af2ddf768bd7ff210ab69e01954a57ec5b63da,94f96eaf484272d1f24bc3a75645212ef4cf13a197e3a187e5073654dbc8c05a,aa45812b73b7397cd74e84915db87327a9479f49feea24fa3151517eecf8e9e3,4b7f8c975c977de5ac6dc9df7e9ce76cf56c8e1fe6d5b82b39574b7b3222ae8e,7cfd2fb2f611986da0a9aa70f8a72c89a7cbaebdce708d2bf9c04f08a5950939,4738d8fe34b38cb1608a73fcbb70070e068857c2d8a6d8b94808ca3d186c389d,9671e85436f2ca63cb4a260c48e6e202a26c8ccf0da4a8a58248e2813754c7ce,b65cd3d1f35497a6eb3b2862a584bbe672e7a3f5c0e9b8851047aa81369aa490,622d371903ad8b9c466149efcbdfb1e483db4e502421c83622e0180dd62f95b1,6c67b58103da10711f0cf62eca5bccbca8fe3a75c58132809fb8b14df7fe6bca
"1","283001001","8","91002","10","2","25021","8","2","25013","31"
"2","283001002","8","91002","10","2","25021","8","2","25013","31"
"3","283001003","8","91002","10","2","25021","8","2","25013","32"
"4","283001004","8","91002","10","2","25021","8","2","25013","32"
"5","283001005","8","91002","10","2","25021","8","2","25013","33"
"6","283001006","8","91002","10","2","25021","9","2","25013","33"
"7","283001007","8","91002","10","2","25021","9","2","25013","34"
"8","283001008","8","91002","10","2","25021","9","2","25013","35"
"9","283001009","8","91002","10","2","25021","9","2","25013","35"
"10","283001010","8","91002","30","2","25021","10","2","25013","37"
"11","283001011","8","91002","10","2","25021","10","2","25013","41"
"12","283001012","8","91002","10","2","25021","11","2","25013","43"
"13","283001013","8","91002","10","2","25021","11","2","25013","46"
"14","283001014","8","91002","10","2","25021","12","2","25013","48"
"15","283001015","8","91002","10","2","25021","12","2","25013","50"
"16","283001016","8","91002","10","2","25021","13","2","25013","53"
"17","283001017","8","91002","10","2","25021","14","2","25013","55"
"18","283001018","8","91002","10","2","25021","14","2","25013","58"
"19","283001019","8","91002","10","2","25021","15","2","25013","60"
"20","283001020","8","91002","30","2","25021","15","2","25013","62"
"21","283001021","8","91002","10","2","25021","16","2","25013","68"
"22","283001022","8","91002","10","2","25021","16","2","25013","70"
"23","283001023","8","91002","10","2","25021","16","2","25013","72"
"24","283001024","8","91002","10","2","25021","17","2","25013","75"
"25","283001025","8","91002","10","2","25021","18","2","25013","77"
"26","283001026","8","91002","10","2","25021","18","2","25013","79"
"27","283001027","8","91002","10","2","25021","19","2","25013","82"
"28","283001028","8","91002","10","2","25021","19","2","25013","84"
"29","283001029","8","91002","10","2","25021","19","2","25013","86"
"30","283001030","8","91002","30","2","25021","20","2","25013","89"
