08db6c822fe24b8ec94a4d586352b21ab2525073d999b3611a1e6a453effb900,52cfb4c4cb276fac7d5947da61d82b762d61a07825533bc3afd65e733fa6ee8a,2c5277f8989d0e6bbb56f71b198824475a579fc249da6dc5ddabbdf5a60a8e50,71c262ea2acbe37160eab6072cee310cdf9b914b55e4c0c8f1d9b25744ea8684,dc240a98074a6f591b7eb3660de5e3037bfb190f0696aa9c70b3e6930acfde76,aaf6f89c09e237b128a709c3996addd2d2df2682a4fbd3c1eabbe1ab8c097bdc,1ae1767d3100f0733f38d25467b3d49cce2d5011e41de1f8bbeb1b9cd453c7d4
"18001001","180010111","1","1","180010112","59","180010113"
"18001001","180010211","2","60","180010212","99","180010213"
"18001001","180010311","3","100","180010312","119","180010313"
"18001001","180010411","4","120","180010412","139","180010413"
"18001001","180010511","5","140","180010512","149","180010513"
"18001001","180010611","6","150","180010612","159","180010613"
"18001001","180010711","7","160","180010712","169","180010713"
"18001001","180010811","8","170","180010812","-1","180010813"
"18001002","180010121","9","1","180010122","59","180010123"
"18001002","180010221","10","60","180010222","99","180010223"
"18001002","180010321","11","100","180010322","119","180010323"
"18001002","180010421","12","120","180010422","139","180010423"
"18001002","180010521","13","140","180010522","149","180010523"
"18001002","180010621","14","150","180010622","159","180010623"
"18001002","180010721","15","160","180010722","169","180010723"
"18001002","180010821","16","170","180010822","-1","180010823"
"18001003","180010131","17","1","180010132","59","180010133"
"18001003","180010231","18","60","180010232","99","180010233"
"18001003","180010331","19","100","180010332","119","180010333"
"18001003","180010431","20","120","180010432","139","180010433"
"18001003","180010531","21","140","180010532","149","180010533"
"18001003","180010631","22","150","180010632","159","180010633"
"18001003","180010731","23","160","180010732","169","180010733"
"18001003","180010831","24","170","180010832","-1","180010833"
"18001004","180010141","25","1","180010142","59","180010143"
"18001004","180010241","26","60","180010242","99","180010243"
"18001004","180010341","27","100","180010342","119","180010343"
"18001004","180010441","28","120","180010442","139","180010443"
"18001004","180010541","29","140","180010542","149","180010543"
"18001004","180010641","30","150","180010642","159","180010643"
"18001004","180010741","31","160","180010742","169","180010743"
"18001004","180010841","32","170","180010842","179","180010843"
"18001004","180010941","33","180","180010942","189","180010943"
"18001004","180011041","34","190","180011042","199","180011043"
"18001004","180011141","35","200","180011142","-1","180011143"
"18001005","180010151","36","1","180010152","59","180010153"
"18001005","180010251","37","60","180010252","99","180010253"
"18001005","180010351","38","100","180010352","119","180010353"
"18001005","180010451","39","120","180010452","139","180010453"
"18001005","180010551","40","140","180010552","149","180010553"
"18001005","180010651","41","150","180010652","159","180010653"
"18001005","180010751","42","160","180010752","169","180010753"
"18001005","180010851","43","170","180010852","179","180010853"
"18001005","180010951","44","180","180010952","189","180010953"
"18001005","180011051","45","190","180011052","199","180011053"
"18001005","180011151","46","200","180011152","209","180011153"
"18001005","180011251","47","210","180011252","219","180011253"
"18001005","180011351","48","220","180011352","229","180011353"
"18001005","180011451","49","230","180011452","239","180011453"
"18001005","180011551","50","240","180011552","-1","180011553"
"18001006","180010161","51","1","180010162","59","180010163"
"18001006","180010261","52","60","180010262","99","180010263"
"18001006","180010361","53","100","180010362","119","180010363"
"18001006","180010461","54","120","180010462","139","180010463"
"18001006","180010561","55","140","180010562","149","180010563"
"18001006","180010661","56","150","180010662","159","180010663"
"18001006","180010761","57","160","180010762","169","180010763"
"18001006","180010861","58","170","180010862","179","180010863"
"18001006","180010961","59","180","180010962","189","180010963"
"18001006","180011061","60","190","180011062","199","180011063"
"18001006","180011161","61","200","180011162","209","180011163"
"18001006","180011261","62","210","180011262","219","180011263"
"18001006","180011361","63","220","180011362","229","180011363"
"18001006","180011461","64","230","180011462","239","180011463"
"18001006","180011561","65","240","180011562","249","180011563"
"18001006","180011661","66","250","180011662","259","180011663"
"18001006","180011761","67","260","180011762","-1","180011763"
"18001007","180010171","68","1","180010172","59","180010173"
"18001007","180010271","69","60","180010272","99","180010273"
"18001007","180010371","70","100","180010372","119","180010373"
"18001007","180010471","71","120","180010472","139","180010473"
"18001007","180010571","72","140","180010572","149","180010573"
"18001007","180010671","73","150","180010672","159","180010673"
"18001007","180010771","74","160","180010772","169","180010773"
"18001007","180010871","75","170","180010872","179","180010873"
"18001007","180010971","76","180","180010972","189","180010973"
"18001007","180011071","77","190","180011072","199","180011073"
"18001007","180011171","78","200","180011172","209","180011173"
"18001007","180011271","79","210","180011272","219","180011273"
"18001007","180011371","80","220","180011372","229","180011373"
"18001007","180011471","81","230","180011472","239","180011473"
"18001007","180011571","82","240","180011572","249","180011573"
"18001007","180011671","83","250","180011672","259","180011673"
"18001007","180011771","84","260","180011772","269","180011773"
"18001007","180011871","85","270","180011872","279","180011873"
"18001007","180011971","86","280","180011972","-1","180011973"
"18001008","180010181","87","1","180010182","59","180010183"
"18001008","180010281","88","60","180010282","99","180010283"
"18001008","180010381","89","100","180010382","119","180010383"
"18001008","180010481","90","120","180010482","139","180010483"
"18001008","180010581","91","140","180010582","149","180010583"
"18001008","180010681","92","150","180010682","159","180010683"
"18001008","180010781","93","160","180010782","169","180010783"
"18001008","180010881","94","170","180010882","179","180010883"
"18001008","180010981","95","180","180010982","189","180010983"
"18001008","180011081","96","190","180011082","199","180011083"
"18001008","180011181","97","200","180011182","209","180011183"
"18001008","180011281","98","210","180011282","219","180011283"
"18001008","180011381","99","220","180011382","229","180011383"
"18001008","180011481","100","230","180011482","239","180011483"
"18001008","180011581","101","240","180011582","249","180011583"
"18001008","180011681","102","250","180011682","259","180011683"
"18001008","180011781","103","260","180011782","269","180011783"
"18001008","180011881","104","270","180011882","279","180011883"
"18001008","180011981","105","280","180011982","289","180011983"
"18001008","180012081","106","290","180012082","-1","180012083"
"19001001","190010111","1001","1","190010112","59","190010113"
"19001001","190010211","1002","60","190010212","99","190010213"
"19001001","190010311","1003","100","190010312","119","190010313"
"19001001","190010411","1004","120","190010412","139","190010413"
"19001001","190010511","1005","140","190010512","149","190010513"
"19001001","190010611","1006","150","190010612","159","190010613"
"19001001","190010711","1007","160","190010712","169","190010713"
"19001001","190010811","1008","170","190010812","-1","190010813"
"19001002","190010121","1009","1","190010122","59","190010123"
"19001002","190010221","1010","60","190010222","99","190010223"
"19001002","190010321","1011","100","190010322","119","190010323"
"19001002","190010421","1012","120","190010422","139","190010423"
"19001002","190010521","1013","140","190010522","149","190010523"
"19001002","190010621","1014","150","190010622","159","190010623"
"19001002","190010721","1015","160","190010722","169","190010723"
"19001002","190010821","1016","170","190010822","-1","190010823"
