e78d782026c73a3e1fb70e3ce1cba10a78547cceaeff8b3917577c1195d93c3c,8d00b2c8dcfaa5673cea11734990be0fe7899531bfeb1054cf2a278b48443de0,7b1f13676821e74bdd81c6e0f7b883a5a104549d35cdf5dddf94833a79fefccd,c0df1cae7363a9ba928c8d741c246753fb91c86bf80a3ee9acac7fca6f6aa355,7e0d4beb56731205d5a80566e019aae3b2b2eb7e73a6c7b0b5e32c5b1ab6100f,2343d8f56a593b9ef1030fd8cf666bccc8ecb0486e87e66dd1bef7adf61527a2,14faae0e85274f27fc33e7a8b036b64c9df60492487af83918ec05e60f1821aa,95a21358155e36920f5c755d229b03c776a71ac0464a90da427a4cbdb055e5be,df821b338adc277477d4ca46083399b1ab5b7ae2a7b973e768244778d88c818b,06e517dd9aba5f200a40600a626545790913692be8173ea3125b6a6e9f7c4c34,85a269b2dbf8bf933df98dcc4954ce5717567522e55ba8d84b601c04d5c37c22,5b2410d6dc0c03373686ca56b63f571e0308e97261eb9718ca01d6f627176a26,552cea1fd49e015647c10f0aa0047769a8397431e4a1b9c95e764c24b283582a,21a9d312d3180603845a66e7d24de3424c945952576db3e40f30ae3c40e58198,47b3e061cb3ecd698b069ad2fc50435922ce8f8a7ab90505e3543f74cf8496af,04332d5452bfda15d822cc1bcdb8ee605bfaf2ef643c8d14e6d3190c09496690,49e6b3a634a6e352b6463cff9ad87890b4928e65e160d25158d6e9ca760f4941,22899be9ab7cada33635c7d6dedb7c5e16aae52003f9d4192dc78825cdc46360,398beae5ef7216c783ca77a60a921a2888891a31fc54aed774806a53301dce5e,a6144c760b639d5bc125ae2d265e10064fc6148fc3e233f589871d6dd5336290,691f71195f5620489bf8f207c47c51f7150ecf250d5bb162ba837969ba914f4d,050289b93fc3beb87eb99ca6f2721e98feb250475c77e9fe55ae05242dfda9a9,f60e4b3c282e5b9922e8b180ef6b8cd677d2d0154cb27e4ef9b6d83fa85ddce8,83c80abb0269d79e3bf70f8dd5c131966310c120ac495ceff315edcf39eba3d1,b7fdbced97978747c7dbb0d48b54b91b97ba83b9b56defa00a6cde8ca771a61e,7c22829914052ea55dfa7a6f1cd51a7b3377fcdb79916e8523fb62808db3819f,9f0e49bcc2eca34bb183fe52590c25fe005990693b157f90b00e81574087a595,aceb0efaf87c566ef5ac58766357860496270cb04b193f05d50dbb0ea2703d52,cc9d0d1b819e64caecc64e5f308f3214fee0a94866c13d50575f601582f2c44c,c9611418b5adc074442913b5d6c485ccf872158e6aa11b2b694dfc9ebe83d52c,f8c05497c71fa28aa41f79de44214e6a5da53293e0dccdc6e12c4476784966de,21b1233ea05810e7cf8c1b837abbef33cfa5c5d148cf3f01a4c287a60e0c58b9,e7c89e06df7d2e7564350881597ab9a6c980e3b53616f5f46462da80a5fa513d,efd0f332da641b488736f4d7d83201d8acf776ba7598a37752d7a8d1ade478ab
"0","0","1272","1253","1076","1118","1804","1058","0","1120","0","1279","1058","0","1075","0","1805","1155","1210","0","美食殿堂","1060","1211","為了能夠進入特別的餐廳用餐，貪吃佩可組成了這個公會。主要的目的是邊走邊吃。","0","0","1119","0","0","1059","1806","1078","1","0"
"0","0","1287","1289","1089","1803","1140","1001","0","1802","0","1357","1001","0","1088","0","1156","1224","1226","0","破曉之星","1003","1288","公會長是日和，並以助人為中心活動著的公會。但真正的目的是，實現夢見相同夢境的３人所許下的「到達索爾之塔頂端」心願","0","0","1801","0","0","1002","1225","1087","2","0"
"0","0","0","0","1129","1337","1200","1068","0","1193","0","0","1068","0","1091","0","1811","0","0","0","拉比林斯","1011","0","由謎樣人物・拉比林斯達所一手建立，探究世界謎團的公會。經營著可麗餅店，對外偽裝成平凡的公會。也就是俗稱的祕密結社。","0","0","1212","0","0","1049","0","1171","3","0"
"0","0","0","0","1116","1322","1173","1029","0","1172","0","0","1029","0","1084","0","1248","1344","0","0","慈樂之音","1054","0","由單人偶像的望所組成，以歌舞（來與日常中產生的悲傷心情）戰鬥的偶像公會。以Live的演出為主要活動內容。","0","0","1174","0","0","1042","1348","1139","4","0"
"0","0","0","0","1112","1307","1229","1020","0","1808","0","0","1020","0","1111","0","1227","0","0","0","小小甜心","1036","0","由感情良好的３人組所創立，實際上是非公認的公會。演著公會戲碼，實際目的只是想到處玩。","0","0","1228","0","0","1004","0","1113","5","0"
"0","0","0","0","1134","1284","1221","1015","0","1167","0","0","1015","0","1107","0","1246","1346","0","0","森林守衛","1040","0","由精靈族來管理、守護森林，歷史悠久的公會。管理著只有精靈之森才採得到藥草，並守衛著森林。","0","0","1807","0","0","1012","0","1135","6","0"
"0","0","1271","1262","1007","1199","1137","1044","0","1082","0","0","1044","0","1031","0","1138","1209","1241","0","惡魔偽王國軍","1006","1240","伊莉亞與魔族少女們所組成的公會。其名與伊莉亞當年所統領、和眾神為敵並且展開戰鬥的魔族最強軍團的名字相同。","0","0","1117","0","0","1022","1220","1081","7","0"
"0","0","0","0","1115","1239","1236","1047","0","1141","0","0","1047","0","1005","0","1238","1242","0","0","王宮騎士團（NIGHTMARE）","1037","0","身為蘭德索爾的國軍，其活動目的為保護「王宮」及皇族，以及完成所接受到的聖令。另一身為守護街上治安的警察組織的身分也十分強悍。","0","0","1143","0","0","1071","1339","1136","8","0"
"0","0","0","1335","1077","1213","1121","1028","0","1085","0","0","1028","0","1021","0","1145","1809","1275","0","咲戀育幼院","1023","1308","雖然是孤兒院，但買賣的範圍也做得相當廣。身為王宮護衛時的每一天，自覺找不出其價值的咲戀，為了想幫助他人，於是帶著這樣的心情組成了公會。","0","0","1103","0","0","1025","1232","1086","9","0"
"0","0","0","1310","1105","1160","1157","1010","0","1106","0","0","1010","0","1017","0","1159","1177","1285","0","哞哞自衛隊","1014","1298","保護同為【動物苑】的夥伴免於魔物們的威脅的武鬥派公會。同時也從事著「闇影」異變的調查及解決。與【王宮騎士團】的關係水火不容。","0","0","1122","0","0","1043","1231","1104","10","0"
