2bdb65d2196896a867737587d892bc3ad774a0db54129df9b927c700e6060203,5aa3fac5e7a15ec021d12dbe697ebe72a93c69338f0a25faa053f1d9cad60501,1c9090c89bbb8368a4f25d64a5e5b1054ddf61c802c1411dd1ff57e67606898c,f8d87c6a942f4f71d612b3b1bb8a831a6ce3eb9155845ec0011996151536cdb6,fc1fb77c3cb263d38676a1d3c8d9f503b0156dabce7f2b67208b2fd92d7ecfbc,17c72694f44ca3a0c88ed7c083fc54a84cfeb52de3a02096598ec8f47693f3b4,9e3694aaab0c4cabea82e9ece6855e68000514ab13ba7b10f154a6db9438ff2d,9ba09e679877d1f403a3be2bdfc01310dd77ce10e2e9744b1741a091831d86cd,ff5694dd2d221ee23076e9cd83991f6be90ea5367eaba70696284eb597a425c4,491a6359acd032581b1e0ae90e07dbcc2e372838bffa80f745e4b24b7d9d81c6,0dc6eaad2ce0d070a31e667060ef0a403e861e63845c12112c213d06e2c168b8
"101","se_fpc_water_random","se_10053800","","","23","","11010001","","",""
"101","<unit_id>","1","0","cmn_swm_tread","1","23","11010002","-180","1.75","-850"
"101","1","1","0","cmn_swm_tread_pink","5","22","11010003","-180","1.75","-850"
"101","3","3","","","31","-850","11010004","1","1","-180"
"101","0","0","","","91","","11010005","","",""
"101","850","<unit_id>","","","2","-180","11010006","","","10"
"101","850","1","","","2","-180","11010007","","","10"
"101","850","3","","","33","-180","11010008","","","10"
"102","se_fpc_water_random","se_10053800","","","23","","11020001","","",""
"102","<unit_id>","1","0","cmn_swm_tread","1","23","11020002","-180","1.75","-850"
"102","1","1","0","cmn_swm_tread_blue","5","22","11020003","-180","1.75","-850"
"102","3","3","","","31","-850","11020004","1","1","-180"
"102","0","0","","","91","","11020005","","",""
"102","850","<unit_id>","","","2","-180","11020006","","","10"
"102","850","1","","","2","-180","11020007","","","10"
"102","850","3","","","33","-180","11020008","","","10"
"103","se_fpc_water_random","se_10053800","","","23","","11030001","","",""
"103","<unit_id>","1","0","cmn_swm_tread","1","23","11030002","-180","1.75","-850"
"103","1","1","0","cmn_swm_tread","5","22","11030003","-180","1.75","-850"
"103","3","3","","","31","-850","11030004","1","1","-180"
"103","0","0","","","91","","11030005","","",""
"103","850","<unit_id>","","","2","-180","11030006","","","10"
"103","850","1","","","2","-180","11030007","","","10"
"103","850","3","","","33","-180","11030008","","","10"
