ed4ba528761a76919007b73f1f580d8dfd97ee01e8215924d544c9edebd83bc7,5d7bda09adb5166432a5cf83470b7653058e90e5628a8f480d0ddd89e0158c32,96e17626d078ca4d6930ee082e1957e3d80f7d6d7b35730e65aaa1a9f3da04dd,36b270b552fe23b824d90873276078c766a06a758ea0fb71df699c38e8db10d4,2881b67b03a1eadfe1a06a136b68c754037f692c0a65dfedb33b0f71b14dfdee
"111011101","1","0","3","1"
"111021101","1","0","3","1"
"133011101","1","0","3","1"
"133011201","1","0","5","1"
"133020101","1","0","3","1"
"133020201","1","1","3","1"
"133030101","1","0","3","1"
"133030201","2","0","3","1"
"133030301","3","0","3","1"
"133030401","1","1","3","1"
"133030501","2","1","3","1"
"133030601","3","1","3","1"
"133040101","1","0","3","1"
"133040201","1","1","3","1"
"133040301","1","2","3","1"
"133040401","1","3","3","1"
"133051101","1","0","3","1"
"133051201","1","0","5","1"
"134010101","1","0","3","2"
"134010201","3","0","3","2"
"134021101","1","0","3","1"
"134021201","1","0","5","1"
"140010101","1","0","4","2"
"140010201","1","1","1","2"
"140010301","1","0","1","2"
"140020101","3","0","1","1"
