41bb558d6b23c09697d61b1341b13b63ce7f54202c1cec670f1cf1ab80d2b636,558e49239de4a81db4603082887add69735e737a782f8ae9bb4e888388786467,b89479d41045fb29682d4ed470037b3120ff8976e13943883026c1e2c54a4cda,91aba0e2a161e19cc9b735b481a325931f4da7281ce99ed5bb4b9799e6e4eb33,68799f373e7fe42948a91a336e5b1ab2c7844b36c1d69b75f9892fdec4fe1b59,68469cc240b970e4a9ad6c7fe94f89a4c6cd5f88273df43fe31320bca8793662,2d1155fdeca4fc1f484d0862d9f121e82a10116a8715c4cc46785a804a86b703,8fa5c7f97f2e4fb441329b71940dc7bb6b68c5fef58fb3dc8f0f72ec06f103ef,de7d806b5420cba305c830ea9e821c5d292da7988526c5c3daacde1850eefff9,07071e72c99a4ccbd7bfc47a9470af4be69f3ddf911a25f00f8a511f083d157f,c9b189583f6545eca83eaad2fc2212ffcd380bbee501bc1787cf526293984146,7fa56852bd70bbddbbeb42217d4f7e82e676878e5ed6852836673c64128d3b5a,c98ccb9603d41e2f4d3ff831ca6405652756238daef964b372edd91513ac3fe0,4ac678e5d5d2693e52c05f1d637e5fae14eb6d63450cac3ef2a2fa07b38ad0de,368361268c6e953f34e7ad733d44bd65f539ad7da5665f6488160333d1c61e95,e21ad4b10155acbd6dcfb000ba353932f8320312960f84ef0ef6deaa1f658e4e,6ee589719d59c44d4c59381f28c574fc0babe81e6549ec7e853b8db12458ecbe,9de50e8bc22d019c1912e20d8581f1ac6ec0eb094eb8cbf2dbde8058c7288765,502bccc8b8c753490440fe9f89212b4c26f4fd5eb68f44f295b32fb195888f5e
"123001","90","1","103401","100701","0","1","-100","100003","6","100701","105501","112201","6","100111","6","6","6","1001"
"123001","90","2","103401","103401","0","1","-100","100003","6","106601","100901","105101","6","100112","6","6","6","1001"
"101801","90","3","113401","110301","0","1","-100","100003","6","112701","110301","106901","6","100113","6","6","6","1001"
"100201","90","1","103401","100201","0","2","-100","100003","4","102901","117301","123001","4","100121","5","4","4","1001"
"104001","90","2","117301","104001","0","2","-100","100003","4","104801","105101","110301","4","100122","4","4","4","1001"
"111001","90","3","118001","101401","0","2","-100","100003","4","101401","118501","100801","4","100123","4","5","4","1001"
"100801","90","1","117301","112201","0","3","-100","100003","1","100701","112201","123001","2","100131","3","2","1","1001"
"112201","90","2","106601","105501","0","3","-100","100003","1","100501","103401","105501","2","100132","1","1","2","1001"
"124501","90","3","104801","124501","0","3","-100","100003","1","105401","113401","110301","1","100133","2","2","3","1001"
"111401","90","1","103401","111401","0","1","-100","100003","6","106601","117301","105001","6","100211","6","6","6","1002"
"100801","90","2","105401","113401","0","1","-100","100003","6","105201","113401","123001","6","100212","6","6","6","1002"
"107701","90","3","103401","105501","0","1","-100","100003","6","100501","105501","123001","6","100213","6","6","6","1002"
"119001","90","1","103401","122801","0","2","-100","100003","4","122801","124101","100901","4","100221","4","5","4","1002"
"123001","90","2","100501","100501","0","2","-100","100003","4","105201","103401","121101","4","100222","4","4","5","1002"
"118501","90","3","103401","118501","0","2","-100","100003","4","100701","105501","123001","4","100223","5","4","5","1002"
"123001","90","1","108901","108901","0","3","-100","100003","1","105201","103401","102601","2","100231","1","1","3","1002"
