251567732e2be9bc3e2a46f71f7122927bac41c28fc92689d75550f065677400,e16f4308f14b187867f206a6bb9a1581173d7e8f8f9bf4f74cc5d9bb084a6e03,6a448503190d6c5b0396c3f43a05f8193f9fe8bc537d0ce3e9fec2a7b1f15ecd,44939694afa4b064828b9795739da9215dff170b1bc1715f54c50e8fb870cc73,e5f68707e5c11c1ae6ff74d8a63e2770345f4ab89fd99e45661d445691462b4b,5383776eaf620889b1d1167377a3a00cd5eac44ff1f50b14513ed5896496cbcd,5915dab1da7ae22e878e24f40dc6b9723f065172f9a3d8ab9fcef55c0f1ad497,73225752c0e4c79a905fe6d74b0b4fbd03861c46394f21b3dab7807a778e3c79,f985a1e99e75fa0afb637b264105eea72eeb70ae7f66e86ab4e7f6c46cc89b06,91d4bc5951daa67cd75f9d298ca067f793e3dd29805059d8168616d2894769f3,6066ae0c996e4b375a1cfc0d79e1b893749cf0cca966deadb82fb84018f811b4
"svd_idle_normal","113511","5","2","100","-750","1007001001","0","1007001","-300","2.08"
"svd_idle_normal","113411","5","1","100","750","1007001002","1","1007001","-300","2.08"
"svd_white_loop","333","5","3","0","0","1007001003","0","1007001","0","1"
"","1","6","333","1","1","1007001004","0","1007001","0","0"
"","2","7","113511","0","0","1007001005","","1007001","",""
"","-750","2","113511","-300","0.5","1007001006","","1007001","0",""
"","1","6","113411","1","1","1007001007","0","1007001","0","0"
"","11","31","1","-140","-40","1007001008","","1007001","0.8","0"
"","2","34","11","0","0","1007001009","","1007001","",""
"","6","7","113411","0","0","1007001010","","1007001","",""
"","750","2","113411","-300","0.5","1007001011","","1007001","0",""
"","14","31","4","-250","-40","1007001012","","1007001","1","0"
"","15","31","5","250","-40","1007001013","","1007001","1","0"
"","","93","1","","","1007001014","","1007001","",""
"","1","6","333","1","1","1007001015","0","1007001","0.4","0.8"
"","svd_idle_see_pre","3","113511","0","svd_idle_see","1007001016","0","1007001","1","0.2"
"","640","2","113411","-300","1.1","1007001017","","1007001","0",""
"","-600","2","113511","-300","1.1","1007001018","","1007001","0",""
"","","93","1","","","1007001019","","1007001","",""
"","1","32","11","","","1007001020","","1007001","",""
"","","91","0","","","1007001021","","1007001","",""
"","240","94","113511","260","0","1007001022","","1007001","80",""
"","0","32","11","","","1007001023","","1007001","",""
"","svd_run","3","113511","1","","1007001024","","1007001","","0.2"
"","0","7","113511","1.2","0","1007001025","","1007001","",""
"","-250","2","113511","-300","1.2","1007001026","","1007001","0",""
"","svd_run","3","113411","1","","1007001027","","1007001","","0.2"
"","0","7","113411","1.2","0","1007001028","","1007001","",""
"","250","2","113411","-300","1.2","1007001029","","1007001","0",""
