15f255bbb091568ffa1dd35430568ba1ff498aa697743bbd95151f2c679bfdb8,3d8179c19cf0121b5bdeb16eefad9837e63ae67ad2904a5e4dee199462b59499,fa6f6e3e6e5edd11307fb3fdbbb67099d0b892a0e62472fb2a06deff7946a6c1,2cd652c6a1c6b5288bc3e156010cf797efabf78b6509b9ec241353b272489f2f,50069accf16a83b36b9cbcde343020c0f7a4c7d133d278fba8d31f7489606ea7
"1","200","30","1","8500"
"2","5","30","1","1500"
"3","220","60","2","8500"
"4","5","60","2","1500"
"5","200","60","3","8500"
"6","200","15","3","1500"
"7","200","60","4","8500"
"8","200","10","4","1500"
"9","150","40","5","8500"
"10","5","40","5","1500"
"11","150","60","6","8500"
"12","200","10","6","1500"
"13","150","40","7","8500"
"14","5","40","7","1500"
"15","150","50","8","8500"
"16","200","15","8","1500"
"17","150","45","9","8500"
"18","200","10","9","1500"
"19","145","40","10","8500"
"20","5","10","10","1500"
"21","300","40","11","8500"
"22","5","10","11","1500"
"23","200","65","12","8500"
"24","200","10","12","1500"
"25","150","40","13","8500"
"26","5","10","13","1500"
"27","100","40","14","8500"
"28","5","10","14","1500"
"29","200","50","15","8500"
"30","5","10","15","1500"
"31","250","60","16","8500"
"32","200","30","16","1500"
"33","120","45","17","8500"
"34","300","90","17","1500"
"35","120","90","18","8500"
"36","200","30","18","1500"
"37","190","50","19","8500"
"38","350","60","19","1500"
"39","95","90","20","8500"
"40","95","90","20","1500"
"41","200","20","21","8500"
"42","5","5","21","1500"
"43","450","30","22","8500"
"44","5","5","22","1500"
"45","200","20","23","8500"
"46","5","5","23","1500"
"47","130","30","1001","8500"
"48","5","5","1001","1500"
"49","140","30","1002","8500"
"50","5","5","1002","1500"
"51","150","40","1003","8500"
"52","5","5","1003","1500"
"53","155","45","1004","8500"
"54","200","5","1004","1500"
"55","155","60","1005","8500"
"56","200","10","1005","1500"
"57","150","60","1006","8500"
"58","200","15","1006","1500"
"59","150","60","1007","8500"
"60","200","15","1007","1500"
"61","160","50","1008","8500"
"62","200","15","1008","1500"
"63","140","70","1009","8500"
"64","200","30","1009","1500"
"65","180","35","1010","8500"
"66","200","120","1010","1500"
"67","140","65","1011","8500"
"68","200","30","1011","1500"
"69","200","35","1012","8500"
"70","5","5","1012","1500"
"71","150","70","1013","8500"
"72","200","15","1013","1500"
"73","150","60","1014","8500"
"74","200","15","1014","1500"
"75","150","60","1015","8500"
"76","200","15","1015","1500"
"77","150","60","1016","8500"
"78","200","15","1016","1500"
"79","150","60","1017","8500"
"80","200","15","1017","1500"
"81","120","50","1018","8500"
"82","200","60","1018","1500"
"83","102","67","1019","8500"
"84","200","60","1019","1500"
"85","120","35","1020","8500"
"86","250","60","1020","1500"
"87","200","30","10001","7000"
"88","5","30","10001","3000"
"89","220","60","10002","7000"
"90","5","60","10002","3000"
"91","200","60","10003","7000"
"92","200","15","10003","3000"
"93","200","60","10004","7000"
"94","200","10","10004","3000"
"95","150","40","10005","7000"
"96","5","40","10005","3000"
"97","150","60","10006","7000"
"98","200","10","10006","3000"
"99","150","40","10007","7000"
"100","5","40","10007","3000"
"101","150","50","10008","7000"
"102","200","15","10008","3000"
"103","150","45","10009","7000"
"104","200","10","10009","3000"
"105","145","40","10010","7000"
"106","5","10","10010","3000"
"107","300","40","10011","7000"
"108","5","10","10011","3000"
"109","200","65","10012","7000"
"110","200","10","10012","3000"
"111","150","40","10013","7000"
"112","5","10","10013","3000"
"113","100","40","10014","7000"
"114","5","10","10014","3000"
"115","200","50","10015","7000"
"116","5","10","10015","3000"
"117","250","60","10016","7000"
"118","200","30","10016","3000"
"119","120","45","10017","7000"
"120","300","90","10017","3000"
"121","120","90","10018","7000"
"122","200","30","10018","3000"
"123","190","50","10019","7000"
"124","350","60","10019","3000"
"125","95","90","10020","7000"
"126","95","90","10020","3000"
"127","200","60","10021","7000"
"128","200","60","10021","3000"
"129","200","60","10022","7000"
"130","200","60","10022","3000"
"131","200","60","10023","7000"
"132","200","60","10023","3000"
"133","130","30","11001","7000"
"134","5","5","11001","3000"
"135","140","30","11002","7000"
"136","5","5","11002","3000"
"137","150","40","11003","7000"
"138","5","5","11003","3000"
"139","155","45","11004","7000"
"140","200","5","11004","3000"
"141","155","60","11005","7000"
"142","200","10","11005","3000"
"143","150","60","11006","7000"
"144","200","15","11006","3000"
"145","150","60","11007","7000"
"146","200","15","11007","3000"
"147","160","50","11008","7000"
"148","200","15","11008","3000"
"149","140","70","11009","7000"
"150","200","30","11009","3000"
"151","180","35","11010","7000"
"152","200","120","11010","3000"
"153","140","65","11011","7000"
"154","200","30","11011","3000"
"155","200","35","11012","7000"
"156","5","5","11012","3000"
"157","150","70","11013","7000"
"158","200","15","11013","3000"
"159","150","60","11014","7000"
"160","200","15","11014","3000"
"161","150","60","11015","7000"
"162","200","15","11015","3000"
"163","150","60","11016","7000"
"164","200","15","11016","3000"
"165","150","60","11017","7000"
"166","200","15","11017","3000"
"167","120","50","11018","7000"
"168","200","60","11018","3000"
"169","102","67","11019","7000"
"170","200","60","11019","3000"
"171","120","35","11020","7000"
"172","250","60","11020","3000"
"173","200","30","20001","5000"
"174","5","30","20001","5000"
"175","220","60","20002","5000"
"176","5","60","20002","5000"
"177","200","60","20003","5000"
"178","200","15","20003","5000"
"179","200","60","20004","5000"
"180","200","10","20004","5000"
"181","150","40","20005","5000"
"182","5","40","20005","5000"
"183","150","60","20006","5000"
"184","200","10","20006","5000"
"185","150","40","20007","5000"
"186","5","40","20007","5000"
"187","150","50","20008","5000"
"188","200","15","20008","5000"
"189","150","45","20009","5000"
"190","200","10","20009","5000"
"191","145","40","20010","5000"
"192","5","10","20010","5000"
"193","300","40","20011","5000"
"194","5","10","20011","5000"
"195","200","65","20012","5000"
"196","200","10","20012","5000"
"197","150","40","20013","5000"
"198","5","10","20013","5000"
"199","100","40","20014","5000"
"200","5","10","20014","5000"
"201","200","50","20015","5000"
"202","5","10","20015","5000"
"203","250","60","20016","5000"
"204","200","30","20016","5000"
"205","120","45","20017","5000"
"206","300","90","20017","5000"
"207","120","90","20018","5000"
"208","200","30","20018","5000"
"209","190","50","20019","5000"
"210","350","60","20019","5000"
"211","95","90","20020","5000"
"212","95","90","20020","5000"
"213","200","60","20021","5000"
"214","200","60","20021","5000"
"215","200","60","20022","5000"
"216","200","60","20022","5000"
"217","200","60","20023","5000"
"218","200","60","20023","5000"
"219","130","30","21001","5000"
"220","5","5","21001","5000"
"221","140","30","21002","5000"
"222","5","5","21002","5000"
"223","150","40","21003","5000"
"224","5","5","21003","5000"
"225","155","45","21004","5000"
"226","200","5","21004","5000"
"227","155","60","21005","5000"
"228","200","10","21005","5000"
"229","150","60","21006","5000"
"230","200","15","21006","5000"
"231","150","60","21007","5000"
"232","200","15","21007","5000"
"233","160","50","21008","5000"
"234","200","15","21008","5000"
"235","140","70","21009","5000"
"236","200","30","21009","5000"
"237","180","35","21010","5000"
"238","200","120","21010","5000"
"239","140","65","21011","5000"
"240","200","30","21011","5000"
"241","200","35","21012","5000"
"242","5","5","21012","5000"
"243","150","70","21013","5000"
"244","200","15","21013","5000"
"245","150","60","21014","5000"
"246","200","15","21014","5000"
"247","150","60","21015","5000"
"248","200","15","21015","5000"
"249","150","60","21016","5000"
"250","200","15","21016","5000"
"251","150","60","21017","5000"
"252","200","15","21017","5000"
"253","120","50","21018","5000"
"254","200","60","21018","5000"
"255","102","67","21019","5000"
"256","200","60","21019","5000"
"257","120","35","21020","5000"
"258","250","60","21020","5000"
