fc7822d1a3a2e2dd836c2fc5fae22868b844c80ff2c43bf1f522080ea41d8aa7,ecd499e0f59b22c1dce43fc2985577fb387805e51e591d0e51e8430ec7ae5013,0032066c4c53a5f2f33e2de3a5268aaf891b7c6610e6e5d4ef8f8d3b18c4c3d0,1bdfb4ae67a4aeddd03013450bcbb3efa408cfa1ed12b3b4feb27bed69df0a6f
"1","緩速","1","8"
"2","加速","2","8"
"3","麻痺","3","8"
"4","凍結","4","8"
"5","束縛","5","8"
"6","睡眠","6","8"
"7","暈眩","7","8"
"8","石化","8","8"
"9","拘留","9","8"
"0","拘留(傷害)","10","9"
"1","毒","11","9"
"2","火傷","12","9"
"3","詛咒","13","9"
"0","魅惑","14","11"
"-1","黑暗","15","12"
"-1","沉默","16","13"
"-1","即死","17","30"
"-1","擊退","18","3"
"1","混亂","19","11"
"4","猛毒","20","9"
"-1","千里眼","21","56"
"-1","妨礙恢復","22","59"
"-1","恐慌","23","61"
"-1","給予刻印","24","60"
"-1","畏懼","25","62"
"-1","馴鹿化","26","69"
"10","暈眩","27","8"
"5","詛咒","28","9"
"-1","HP變化","29","70"
"11","時間停止","30","8"
"-1","HP回復量減少","31","76"
"-1","虛弱個體受到的傷害上升","32","78"
"1","行動時毒傷","33","79"
"14","暈眩（另計）","34","8"
"7","毒（另計）","35","9"
"8","詛咒（另計）","36","9"
"2","混亂（另計）","37","11"
"13","結晶化","38","8"
"1","緩速(可加成)","39","83"
"2","加速(可加成)","40","83"
"3","消除增益","41","49"
"10","消除護盾","42","49"
"9","黑炎","43","9"
"2","加速領域","44","99"
"1","緩速領域","45","99"
"20","消除增益（指定）","46","49"
"5","擊打烙印（攻擊命中）","47","101"
"10","行動時界雷傷害","48","79"
"9","延長狀態異常時間","49","112"
"1","執著狀態","50","116"
"15","阿剌克涅拘束","51","117"
"3","操絲","52","11"
