edd8a4d9304c18beb168b4b3dcf2f45f53fe05fe1ed115cc94030cbb6c90c8cc,6945b8b190f6de1b9d6449ae18a8c856b92e03802949ce74f21c202aaf982a5a,3b57ab445cc9b75e7be4bb521e8ec56d6e3d1f01945ad9ec5694fdc8b96151cb,9c77ab5eea2552e6d6eda3ea08264020fe3d2656dd207f5317a01bf6a643cda5
"2019/08/15 04:59:00","10000","2019/08/01 05:00:00","1st Anniversary 特別登入獎勵"
"2020/02/07 04:59:59","10002","2020/01/21 05:00:00","1.5Year Anniversary 特別登入獎勵"
"2020/07/08 04:59:59","10003","2020/06/22 05:00:00","2nd Anniversary 特別登入獎勵"
"2021/02/26 04:59:59","10004","2021/02/09 05:00:00","2.5 Year Anniversary 特別登入獎勵"
"2021/08/15 04:59:59","10005","2021/08/01 05:00:00","3rd Anniversary 特別登入獎勵"
"2022/02/18 04:59:59","10006","2022/02/01 05:00:00","3.5 Year Anniversary 特別登入獎勵"
"2022/08/15 04:59:59","10007","2022/08/01 05:00:00","4th Anniversary 特別登入獎勵"
"2023/02/06 04:59:59","10008","2023/01/20 05:00:00","4.5 Year Anniversary 特別登入獎勵"
"2023/08/15 04:59:59","10009","2023/08/01 05:00:00","5th Anniversary 特別登入獎勵"
"2024/02/24 04:59:59","10010","2024/02/07 05:00:00","5.5 Year Anniversary 特別登入獎勵"
"2024/08/16 04:59:59","10011","2024/08/01 05:00:00","6th Anniversary 特別登入獎勵"
"2025/02/18 04:59:59","10012","2025/02/01 05:00:00","6.5 Year Anniversary 特別登入獎勵"
