573f2156eeeacafb3a673b6290ecb3fcb670ab3bb320217dca4573a4b4d3573b,fef2a83cf59940d4ee9fa4c24f09b873b24c3ea153c112705641f49bffd7218a,13f945b983c2245d212c404b64422492f3d8ae2cec275bf2e0980244fae15865,983515c377feca7a1e87b7c122bc320c1916ae09372d9f97f3b4da120ec3b72a,73c15349ca46f965500d79cb6637a24278116dde1a63291d3fd7157715362d1e,cca7fff9e605a68fcb2c01e93e82992938f3707e63516f2a45339ab67eb367f9
"101011","4","1","60000001","6","10011001"
"101071","4","1","60000002","6","10011001"
"101101","4","1","60000003","6","10011001"
"101131","4","1","60000004","7","10011001"
"101161","4","1","60000005","6","10011001"
"101191","4","1","60000006","6","10011001"
"101251","4","1","60000007","7","10011001"
"101281","4","1","60000008","7","10011001"
"101371","4","1","60000009","7","10011001"
"101401","4","1","60000010","7","10011001"
"101431","4","1","60000011","7","10011001"
"101521","4","1","60000012","7","10011001"
"101551","4","1","60000013","7","10011001"
"101581","4","1","60000014","7","10011001"
"101611","4","1","60000015","7","10011001"
"102011","4","1","60000016","2","10011002"
"102013","4","1","60000017","2","10011002"
"102014","4","1","60000018","2","10011002"
"102041","4","1","60000019","2","10011002"
"102071","4","1","60000020","2","10011002"
"102101","4","1","60000021","2","10011002"
"102131","4","1","60000022","2","10011002"
"102162","4","1","60000023","2","10011002"
"102163","4","1","60000024","2","10011002"
"102191","4","1","60000025","2","10011002"
"102192","4","1","60000026","2","10011002"
"102221","4","1","60000027","2","10011002"
"102222","4","1","60000028","2","10011002"
"102251","4","1","60000029","2","10011002"
"102252","4","1","60000030","3","10011002"
"102281","4","1","60000031","3","10011002"
"102461","4","1","60000032","3","10011002"
"102551","4","1","60000033","3","10011002"
"102552","4","1","60000034","3","10011002"
"102581","4","1","60000035","3","10011002"
"102582","4","1","60000036","3","10011002"
"102611","4","1","60000037","3","10011002"
"102612","4","1","60000038","3","10011002"
"122282","4","1","60000039","3","10011002"
"122311","4","1","60000040","3","10011002"
"122312","4","1","60000041","3","10011002"
"122341","4","1","60000042","3","10011002"
"122342","4","1","60000043","3","10011002"
"122371","4","1","60000044","3","10011002"
"122372","4","1","60000045","3","10011002"
"122401","4","1","60000046","3","10011002"
"122431","4","1","60000047","3","10011002"
"122432","4","1","60000048","3","10011002"
"122491","4","1","60000049","3","10011002"
"122493","4","1","60000050","3","10011002"
"122521","4","1","60000051","3","10011002"
"122613","4","1","60000052","3","10011002"
"122614","4","1","60000053","3","10011002"
"113011","4","1","60000054","2","10011003"
"113012","4","1","60000055","2","10011003"
"113013","4","1","60000056","2","10011003"
"113071","4","1","60000057","2","10011003"
"113101","4","1","60000058","2","10011003"
"113131","4","1","60000059","2","10011003"
"113162","4","1","60000060","2","10011003"
"113191","4","1","60000061","2","10011003"
"113221","4","1","60000062","2","10011003"
"113222","4","1","60000063","2","10011003"
"113252","4","1","60000064","2","10011003"
"113283","4","1","60000065","3","10011003"
"113342","4","1","60000066","3","10011003"
"113372","4","1","60000067","3","10011003"
"113401","4","1","60000068","3","10011003"
"113431","4","1","60000069","3","10011003"
"113521","4","1","60000070","3","10011003"
"113522","4","1","60000071","3","10011003"
"113551","4","1","60000072","3","10011003"
"113552","4","1","60000073","3","10011003"
"113553","4","1","60000074","3","10011003"
