8ef4114fda508fd5440b9ee422e78de505f3dff5a158d41274963906a505867e,179d42373dcf126c690a2b39d7b16170d5bcdbe91aab75a20dff9a2a52fea644,9934017387c51123b8950dc6959fdc8ea372744b53b7500fa129048176474053,6669683a4627f2f32c80b2a9b17146787171258dbca02d565ef22b75582c69aa,dc363c225b8bb725362a5afafb4df595a137d6d822c8a3176dc3d70213845741,3973b52f75534e635e8d92560ad0020a08ddccd9b614ef1e5083411b940b190a,6dd4f77ad46955983bd9743b4088380c8932a100856bfdd527d56b8bbe2cacd0,e0b9736cb42a567c264e163108c7eab9cdfe8ffca3e31203408174d2be50b76d,7885899aaccb623d6c7a8b0a2f42864e30e29f28106d1f3f51fc174e251b2051
"7008","32000101","所有玩家合力打倒100,000次蠻賊三姊妹","32000101","1010","100000","1","1002","1"
"7008","32000102","所有玩家合力打倒150,000次蠻賊三姊妹","32000102","1010","150000","2","1002","1"
"7008","32000103","所有玩家合力打倒200,000次蠻賊三姊妹","32000103","1010","200000","3","1002","1"
"7008","32000104","所有玩家合力打倒100,000次芙蕾雅","32000104","1010","100000","4","1003","1"
"7008","32000105","所有玩家合力打倒150,000次芙蕾雅","32000105","1010","150000","5","1003","1"
"7008","32000106","所有玩家合力打倒200,000次芙蕾雅","32000106","1010","200000","6","1003","1"
"7008","32000107","所有玩家合力打倒200,000次阿剌克涅","32000107","1010","200000","7","1004","0"
"7008","32000108","所有玩家合力打倒300,000次阿剌克涅","32000108","1010","300000","8","1004","0"
"7008","32000109","所有玩家合力打倒400,000次阿剌克涅","32000109","1010","400000","9","1004","0"
"7007","32000110","挑戰1次成群的寶石蜘蛛","32000110","1009","1","10","1001","1"
"7007","32000111","打倒1次蠻賊三姊妹","32000111","1009","1","11","1002","1"
"7007","32000112","打倒1次芙蕾雅","32000112","1009","1","12","1003","1"
"7007","32000113","打倒1次阿剌克涅","32000113","1009","1","13","1004","0"
