962efc0c6909c5884d918d8191568b70542526e62f684cff7a4d95abe318dd8c,182c4c7bd6a5ea420aa3ad37232bea929b535e94f62a295d7f9cd94bfb3374bf,b6c1189d4f1229b8f47e9b5d8d2a30a319d0d561b3a33ff766031f6ea75f66d2,a74c88d412046016d4aa426757e80a5b547e3b4316ca08b3d85a4db40547f27d,9c3ab16df7a1bd95ea8ad19a46349066854d1a6cc72d6b38cf2439030196d6d6,6197d73e48c5efb283a803302a52bbd8541bca4405cc3ec35581974ce1346e9a,fa31626b699ce1f9d1a81dc85ff0664550f53732fcc95a42b923a3a34f25c0e1,7b18f699991e2c68fe19af693ed5c8c1b6712acd63075bf2546dad3998e5da3b,b10b260f337f85893ca9fdeef61a49455c366fa2056a1bdd31d4b603ac568464,e8f97a7941720e71369bc6876333faaae6a75f5fb92edac992c5859b4aea364c,319d9aa2e6076585e125d8bbf9cca378051bc62da1c6fa9a9a881e1fb9660898,4f05798d8fb8537f86de767590cf862c92330f701167ba0e7fd757c11d9bc727,82842308103ddbaaea9a892e8de900430a71d0747dfa33c26db33d7bdaaa06ad
"0","8","這樣子就好！","11120101","1201","0","0","1","vo_minigame_1012_correct_107","0","8","0","1"
"0","8","嗯，OK！","11120102","1201","0","0","1","vo_minigame_1012_correct_108","0","8","0","1"
"0","1","狀況不錯喔！","11120103","1201","0","0","1","vo_minigame_1012_correct_109","0","1","0","1"
"0","1","慢慢來沒關係！","11120201","1202","-1","13333","1","vo_minigame_1012_correct_115","0","1","0","1"
"0","9","答對就可以了！","11120202","1202","-1","13333","1","vo_minigame_1012_correct_117","0","9","0","1"
"0","1","好厲害喔！","11120301","1203","0","0","1","vo_minigame_1012_correct_118","0","1","0","1"
"0","5","你知道這個啊！？","11120302","1203","0","0","1","vo_minigame_1012_correct_119","0.01","5","8","1"
"0","1","看來沒問題吧！","11120401","1204","0","0","1","vo_minigame_1012_correct_125","0","1","0","1"
"0","7","複習得很完美呢！","11120501","1205","0","0","1","vo_minigame_1012_correct_123","0.01","7","4","1"
"0","8","連續答對了！","11120601","1206","-1","3","1","vo_minigame_1012_correct_128","0","8","0","1"
"0","2","挽回劣勢！","11120701","1207","-1","3","1","vo_minigame_1012_correct_131","0","2","0","1"
"0","2","重整心情！","11130101","1301","0","0","1","vo_minigame_1012_incorrect_107","0","2","0","1"
"0","9","也會有這種事啊！","11130102","1301","0","0","1","vo_minigame_1012_incorrect_108","0","9","0","1"
"0","4","那樣子不行喔！","11130103","1301","0","0","1","vo_minigame_1012_incorrect_109","0","4","0","1"
"0","4","時間到了！","11130201","1302","-1","20000","1","vo_minigame_1012_incorrect_116","0","4","0","1"
"0","5","不是，你回答啊！","11130202","1302","-1","20000","1","vo_minigame_1012_incorrect_117","0","5","0","1"
"0","3","好難啊……","11130301","1303","0","0","1","vo_minigame_1012_incorrect_118","0.01","3","6","1"
