007c8d0a953cf2ded05cb24a3c0285b859ad7adbc2c845f225e773d78d44a9d2,cc4806d0644c2d026a67eff0db8bf31fb1a60cfefe48d23303a71a20b0e44adc,6096778aa774cd342a09f813de0df26ea16cd629086ce8e1e03b016fffd13c06,c87065e533ce44a2fcdea35dbe993b1eb8b99b71f0e88004033466c722a68f1c,f3934d9db7a2f0025e23919563a1214a5116a76adea05886533f730497826a64,f0b89ecb8a3bb220dc0b4f8001a38cfdd49aad54ab89c41cb06b4e140745ab45,c8d2b448e041eac052a1fd4e8745a488cc58765ace73bb4df40794510eebfc5f,d0e7c30585e4faf199d68bfa45f30a588625f5cb44b66f4c134edbf5962ecb7a,c1b94bc2132ce5c57eb2b9d080f1f6bcb4dbd4e87666f525476020a9511cb930,d31a6c163b7ad9794c573cd706b44cdda5705fd23d935c5b2c17fdf0dd7ad1c4,67b6cbf379d3917063db12b0ea841c585db180a0af15351fe5e326cebe623690
"1","1","10101","0","0","empty","5","1","0","53","1101010001"
"101000","2","10101","0","0","empty","5","1","0","56","1101010002"
"101000","3","10101","0","0","empty","5","1","0","70","1101010003"
"101000","0","10101","1","","","31","0","0","0","1101010004"
"101001","1","10101","1","","","31","0","0","0","1101010005"
"101002","2","10101","1","","","31","0","0","0","1101010006"
"101003","3","10101","1","","","31","0","0","0","1101010007"
"101004","4","10101","1","","","31","0","0","0","1101010008"
"1","10","10101","1","","","31","0","0","0","1101010009"
"3","30","10101","1","","","31","0","0","0","1101010010"
"0","0","10101","","","","91","","","","1101010011"
"0","1","10101","","","","32","","","","1101010012"
"10","1","10101","","","","32","","","","1101010013"
"2","getDish_1_in","10101","","","","3","0","","0","1101010014"
"0.2","0","10101","","","","93","","","","1101010015"
"1","getDish","10101","","","","3","0","","0","1101010016"
"2","getDish_1_B","10101","","","","3","0","","0","1101010017"
"3","getDish_1_F","10101","","","","3","0","","0","1101010018"
"1","1","10101","","","","32","","","","1101010019"
"3","1","10101","","","","32","","","","1101010020"
"7.2","0","10101","","","","93","","","","1101010021"
"1101010023","1","10101","","","","101","","","","1101010022"
"2","1","10101","","","","35","","","","1101010023"
"2","1","10101","","","","32","","","","1101010024"
"4","1","10101","","","","35","","","","1101010025"
"4","1","10101","","","","32","","","","1101010026"
"3","0","10101","","","","32","","","","1101010027"
"2.3","0","10101","","","","93","","","","1101010028"
"30","1","10101","","","","35","","","","1101010029"
"30","1","10101","","","","32","","","","1101010030"
"0.2","0","10101","","","","93","","","","1101010031"
"1","1","10101","0","0","","6","0","1","1","1101010032"
"2","1","10101","0","0","","6","0","1","1","1101010033"
"3","1","10101","0","0","","6","0","1","1","1101010034"
"0","0","10101","","","","32","","","","1101010035"
"1","0","10101","","","","32","","","","1101010036"
"2","0","10101","","","","32","","","","1101010037"
"3","0","10101","","","","32","","","","1101010038"
"4","0","10101","","","","32","","","","1101010039"
"10","0","10101","","","","32","","","","1101010040"
"0.3","0","10101","","","","93","","","","1101010041"
"1","1","10101","0","0","","111","0.1","1","1","1101010042"
"2","1","10201","-325","0","empty","5","0.9","-205","50","1102010001"
"102000","2","10201","-325","0","empty","5","0.9","-205","58","1102010002"
"100","100","10201","-263","0","idle_single","5","0.6","1500","54","1102010003"
"102000","0","10201","1","","","31","0","0","0","1102010004"
"102001","1","10201","1","","","31","0","-263","1500","1102010005"
"102002","2","10201","1","","","31","0","0","0","1102010006"
"102003","3","10201","1","","","31","0","-136","-132","1102010007"
"102004","4","10201","1","","","31","0","0","0","1102010008"
"1","10","10201","1","","","31","0","0","0","1102010009"
"2","20","10201","1","","","31","0","0","0","1102010010"
"3","30","10201","1","","","31","0","0","0","1102010011"
"0","0","10201","","","","91","","","","1102010012"
"0","1","10201","","","","32","","","","1102010013"
"10","1","10201","","","","32","","","","1102010014"
"se_caravan","se_caravan_dice_get_intro","10201","","","","23","","","0","1102010015"
"1","getDice_idle","10201","","","","3","0","","1","1102010016"
"100","run_getDice","10201","1","0","","3","0","eat_loop","0","1102010017"
"1","1","10201","","","","32","","","","1102010018"
"100","344","10201","11","","","2","","2","-263","1102010019"
"1","344","10201","11","","","33","","2","-263","1102010020"
"2","1","10201","","","","32","","","","1102010021"
"1.7","0","10201","","","","93","","","","1102010022"
"1","getDice_curious","10201","","0","","3","0.2","","1","1102010023"
"vo_caravan","vo_caravan_event_002_000","10201","","","","21","","0","0","1102010024"
"1.5","0","10201","","","","93","","","","1102010025"
"se_caravan","se_caravan_dice_get_outro_1","10201","","","","23","","","0","1102010026"
"vo_caravan","vo_caravan_event_002_001","10201","","","","21","","0.1","0","1102010027"
"100","spit_in","10201","","","","3","0.1","","0","1102010028"
"2","getDice_1","10201","","","","3","0","","0","1102010029"
"1","getDice_panic_1","10201","","","","3","0.1","","0","1102010030"
"0.5","0","10201","","","","93","","","","1102010031"
"100","spit_out","10201","1","0","","3","0","idle_single","0","1102010032"
"1.4","0","10201","","","","93","","","","1102010033"
"100","joy_single","10201","1","0","","3","0.2","idle_single","0","1102010034"
"0.1","0","10201","","","","93","","","","1102010035"
"3","1","10201","","","","32","","","","1102010036"
"0.5","0","10201","","","","93","","","","1102010037"
"vo_caravan","vo_caravan_event_002_002","10201","","","","21","","0","0","1102010038"
"1.3","0","10201","","","","93","","","","1102010039"
"1102010041","0","10201","","","","101","","","","1102010040"
"4","1","10201","","","","35","","","","1102010041"
"4","1","10201","","","","32","","","","1102010042"
"20","1","10201","","","","32","","","","1102010043"
"1","0","10201","","","","32","","","","1102010044"
"0.4","0","10201","","","","93","","","","1102010045"
"","","10201","","","","92","","","","1102010046"
"30","1","10201","","","","35","","","","1102010047"
"30","1","10201","","","","32","","","","1102010048"
"0.2","0","10201","","","","93","","","","1102010049"
"1","1","10201","0","0","","6","0","1","1","1102010050"
"2","1","10201","0","0","","6","0","1","1","1102010051"
"100","1","10201","0","0","","6","0","1","1","1102010052"
"0","0","10201","","","","32","","","","1102010053"
"2","0","10201","","","","32","","","","1102010054"
"3","0","10201","","","","32","","","","1102010055"
"4","0","10201","","","","32","","","","1102010056"
"10","0","10201","","","","32","","","","1102010057"
"0.3","0","10201","","","","93","","","","1102010058"
"2","1","10202","-325","0","empty","5","0.9","-205","50","1102020001"
"102000","2","10202","-325","0","empty","5","0.9","-205","58","1102020002"
"100","100","10202","-263","0","idle_single","5","0.6","1500","54","1102020003"
"102000","0","10202","1","","","31","0","0","0","1102020004"
"102001","1","10202","1","","","31","0","-263","1500","1102020005"
"102002","2","10202","1","","","31","0","0","0","1102020006"
"102003","3","10202","1","","","31","0","-136","-132","1102020007"
"102005","4","10202","1","","","31","0","0","0","1102020008"
"1","10","10202","1","","","31","0","0","0","1102020009"
"2","20","10202","1","","","31","0","0","0","1102020010"
"3","30","10202","1","","","31","0","0","0","1102020011"
"0","0","10202","","","","91","","","","1102020012"
"0","1","10202","","","","32","","","","1102020013"
"10","1","10202","","","","32","","","","1102020014"
"se_caravan","se_caravan_dice_get_intro","10202","","","","23","","","0","1102020015"
"1","getDice_idle","10202","","","","3","0","","1","1102020016"
"100","run_getDice","10202","1","0","","3","0","eat_loop","0","1102020017"
"1","1","10202","","","","32","","","","1102020018"
"100","344","10202","11","","","2","","2","-263","1102020019"
"1","344","10202","11","","","33","","2","-263","1102020020"
"2","1","10202","","","","32","","","","1102020021"
"1.7","0","10202","","","","93","","","","1102020022"
"1","getDice_curious","10202","","0","","3","0.2","","1","1102020023"
"vo_caravan","vo_caravan_event_003_000","10202","","","","21","","0","0","1102020024"
"1.5","0","10202","","","","93","","","","1102020025"
"se_caravan","se_caravan_dice_get_outro_2","10202","","","","23","","","0","1102020026"
"vo_caravan","vo_caravan_event_003_001","10202","","","","21","","0","0","1102020027"
"100","spit_in","10202","1","0","","3","0.1","idle_single","0","1102020028"
"2","getDice_2","10202","","","","3","0","","0","1102020029"
"1","getDice_panic_2","10202","","","","3","0.1","","0","1102020030"
"2.5","0","10202","","","","93","","","","1102020031"
"100","joy_single","10202","1","0","","3","0.2","idle_single","0","1102020032"
"0.5","0","10202","","","","93","","","","1102020033"
"vo_caravan","vo_caravan_event_003_002","10202","","","","21","","0.1","0","1102020034"
"0.1","0","10202","","","","93","","","","1102020035"
"3","1","10202","","","","32","","","","1102020036"
"1.6","0","10202","","","","93","","","","1102020037"
"1102020039","0","10202","","","","101","","","","1102020038"
"4","1","10202","","","","35","","","","1102020039"
"4","1","10202","","","","32","","","","1102020040"
"20","1","10202","","","","32","","","","1102020041"
"1","0","10202","","","","32","","","","1102020042"
"0.4","0","10202","","","","93","","","","1102020043"
"","","10202","","","","92","","","","1102020044"
"30","1","10202","","","","35","","","","1102020045"
"30","1","10202","","","","32","","","","1102020046"
"0.2","0","10202","","","","93","","","","1102020047"
"1","1","10202","0","0","","6","0","1","1","1102020048"
"2","1","10202","0","0","","6","0","1","1","1102020049"
"100","1","10202","0","0","","6","0","1","1","1102020050"
"0","0","10202","","","","32","","","","1102020051"
"2","0","10202","","","","32","","","","1102020052"
"3","0","10202","","","","32","","","","1102020053"
"4","0","10202","","","","32","","","","1102020054"
"10","0","10202","","","","32","","","","1102020055"
"20","0","10202","","","","32","","","","1102020056"
"0.3","0","10202","","","","93","","","","1102020057"
"1","1","10301","0","0","magicitem_1","5","1","0","20","1103010001"
"2","2","10301","0","0","magicitem_2","5","1","0","19","1103010002"
"3","3","10301","0","0","magicitem_3","5","1","0","18","1103010003"
"103000","4","10301","0","0","magicitem_kyaru","5","1","0","21","1103010004"
"103000","10","10301","1","","","31","0","0","0","1103010005"
"103001","11","10301","1","","","31","0","0","0","1103010006"
"103002","12","10301","1","","","31","0","0","0","1103010007"
"103003","13","10301","1","","","31","0","0","0","1103010008"
"103007","14","10301","1","","","31","0","0","0","1103010009"
"103011","19","10301","1","","","31","0","0","0","1103010010"
"1","15","10301","1","","","31","1","0","0","1103010011"
"2","16","10301","1","","","31","0","0","0","1103010012"
"3","17","10301","1","","","31","0","0","0","1103010013"
"4","18","10301","1","","","31","0","0","0","1103010014"
"18","0","10301","1","","","35","1","0","0","1103010015"
"18","1","10301","","","","32","","","","1103010016"
"0","0","10301","","","","91","","","","1103010017"
"10","1","10301","","","","32","","","","1103010018"
"11","1","10301","","","","32","","","","1103010019"
"12","1","10301","","","","32","","","","1103010020"
"13","1","10301","","","","32","","","","1103010021"
"19","1","10301","","","","32","","","","1103010022"
"1","magicitem_1","10301","","","","3","0","","0","1103010023"
"2","magicitem_2","10301","","","","3","0","","0","1103010024"
"3","magicitem_3","10301","","","","3","0","","0","1103010025"
"4","magicitem_kyaru","10301","","","","3","0","","0","1103010026"
"vo_caravan","vo_caravan_event_004_000","10301","","","","21","","2.17","0","1103010027"
"vo_caravan","vo_caravan_event_004_001","10301","","","","21","","3.2","1","1103010028"
"vo_caravan","vo_caravan_event_004_002","10301","","","","21","","4.9","2","1103010029"
"7","0","10301","","","","93","","","","1103010030"
"18","0","10301","","","","32","","","","1103010031"
"0.67","0","10301","","","","93","","","","1103010032"
"1103010034","1","10301","","","","101","","","","1103010033"
