18d29028c71c57db79c32986f94c9ce3cca7f63d003f88fc8e8f8e379310a8f3,5a2a8cb5c25ecc1556d086ac12be72906a525c7afa494932afef67a98813fbdf,c409b4c1c4c10626ba4e9b464865439eaec8100c0bd032181e9aaa4ba31ab17d,3c02a0d1f4643abae3ca87c254ce28a4328985eff229df34d488a6ac8188d274,4616d2ad3783848d91a06ebee3fb13f1b05e089d9d84fe19eded3a2c45568968,6638203860babedcac53a72072dbdbba2ec78524c25cadcae21442d52e60ea92,e2934a86565f712afc401e2c52f07a632166aaa881e4c79fab89f899018784c8,738cc511a4eee14066561ab854e70566b9eea42d8ee001a3c8f539562da454eb,3cd1e50c6bb6bdb1c2a42ecf57b12de166d308a8e38b4fab4e99909ba5199883,a7869a4021610a7c451ba0ff8cbeade9f25dbc7caaed5980631c9fe968f848ac,b3249808ed13a3faa75a73e3044998ae4f193ae779b1ec7062c86c825670b44b,a14b3f30a84e90d09a3483243c2a09cf85bea363b8dee111be5782921eedc15c,9b0ae800e2e5e058d372a7d26a954b126ec96bd30b3d7b431a992b35be9bdbbd,42cea9e500cea45cfad3833fc185a2a69354e92affc9d192605c22c7ab39e66f,0dc6349e924b5f1b32bddeefe5bb7b55dc02156a6b7d233ab0e9536dff5ce504,9f2bab3a6084b39f4e080601e759d79219f8ecd9f52f51350e63b1dbd87d953e
"2","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","東山奈央","27","0","獸人族","日和","破曉之星","16","最愛幫助別人！　正向思考的格鬥少女","助人、打氣加油","155","8","100101","44"
"2","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","種田梨沙","5","0","人族","優衣","破曉之星","17","擅長支援戰鬥，心地善良的少女","料理、觀察人類","158","4","100201","47"
"2","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","早見沙織","12","0","魔族","怜","破曉之星","18","冷酷又率直的劍士","讀書、騎馬、茶","163","1","100301","46"
"5","O","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","諸星すみれ","10","0","人族","禊","小小甜心","9","愛好冒險的搗蛋鬼","惡作劇、探險","128","8","100401","27"
"8","O","？？？","下田麻美","25","0","獸人族","茉莉","王宮騎士團","12","仰慕英雄的見習騎士少女","英雄扮演遊戲","146","11","100501","40"
"7","O","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","浅倉杏美","22","0","魔族","茜里","惡魔偽王國軍","13","愛撒嬌又受大家喜歡","薩克斯風","150","11","100601","42"
"7","B","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","雨宮天","23","0","魔族","宮子","惡魔偽王國軍","14","最愛布丁的幽靈少女","吃布丁","130","1","100701","32"
"15","AB","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","大空直美","10","0","精靈族","雪","純白之翼 蘭德索爾分部","14","我比任何人都還要美麗","欣賞鏡中的自己","150","10","100801","40"
"13","A","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","髙野麻美","5","0","魔族","杏奈","暮光流星群","17","相信前世的中二病患「疾風之冥姬」","寫小說","159","7","100901","45"
"10","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","内田真礼","22","0","獸人族","真步","哞哞自衛隊","16","真步真步王國的公主","幻想、蒐集玩偶","155","9","101001","42"
"3","A","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","阿澄佳奈","25","0","人族","璃乃","拉比林斯","15","親人又多話的妹系少女","裁縫","156","8","101101","44"
"6","A","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","大橋彩香","24","0","精靈族","初音","森林守衛","17","為了大家使用超能力的睡美人","和妹妹一起玩、回籠覺、午睡、早睡","156","12","101201","46"
"13","O","","佳村はるか","21","0","魔族","七七香","暮光流星群","18","宅宅暴走的魔法少女","讀書、魔法","166","8","101301","55"
"10","AB","test","水瀬いのり","3","0","獸人族","霞","哞哞自衛隊","15","頭腦聰明的美少女名偵探","讀書、推理","152","11","101401","41"
"6","O","test","國府田マリ子","5","0","精靈族","美里","森林守衛","21","充滿母性又溫柔，大家的「美里老師」","製作繪本","165","9","101501","54"
"14","O","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","上坂すみれ","10","0","魔族","鈴奈","月光學院","18","天真浪漫的人氣超級名模","時尚","167","4","101601","48"
"10","A","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","高森奈津美","7","0","獸人族","香織","哞哞自衛隊","19","隨時都「船到橋頭自然直」的天真少女","跳舞、空手道","158","7","101701","53"
"14","B","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","伊藤静","14","0","魔族","伊緒","月光學院","23","魅惑眾多男性的純潔女老師","看戀愛小說、戀愛劇、戀愛漫畫","162","8","101801","52"
"5","O","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","日高里菜","3","0","獸人族","美美","小小甜心","10","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","蒐集可愛的東西","117","4","102001","21"
"9","B","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","植田佳奈","9","0","人族","胡桃","咲戀育幼院","12","愛哭又膽小，令人想去保護的女孩","看戲、扮家家酒","150","6","102101","40"
"7","O","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","原紗友里","22","0","魔族","依里","惡魔偽王國軍","13","怕生的任性女孩","所有遊戲","150","11","102201","40"
"9","B","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","芹澤優","10","0","人族","綾音","咲戀育幼院","14","永遠跟噗吉在一起！","能在房間裡玩的遊戲","148","5","102301","38"
"9","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","12","0","人族","鈴莓","咲戀育幼院","15","為了大小姐而努力的冒失女僕","服侍","154","12","102501","43"
"11","B","test","小岩井ことり","1","0","獸人族","鈴","伊麗莎白牧場","17","視玩樂與睡眠為第一的懶惰少女","紅豆麵包","144","1","102601","42"
"13","B","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","橋本ちなみ","30","0","魔族","惠理子","暮光流星群","16","專情於命中注定對象的少女","實驗、裁縫、料理","154","7","102701","43"
"9","A","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","堀江由衣","4","0","精靈族","咲戀","咲戀育幼院","17","經營育幼院的庶民派溫柔大小姐","經營、茶會","156","10","102801","43"
"4","B","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","日笠陽子","24","0","人族","望","慈樂之音","17","能歌善舞的超人氣偶像","看舞台劇，跳舞","157","1","102901","40"
"15","O","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","佐藤聡美","31","0","人族","妮諾","純白之翼 蘭德索爾分部","16","東國的神祕，請告訴我！","忍法開發","163","8","103001","51"
"7","AB","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","大坪由佳","22","0","魔族","忍","惡魔偽王國軍","18","擅長占卜的靈能少女","占卜","157","12","103101","42"
"12","AB","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","松嵜麗","12","0","人族","秋乃","墨丘利財團","18","目標成為頂尖商人的元氣大小姐","慈善事業","157","3","103201","45"
"11","B","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","新田恵海","3","0","人族","真陽","伊麗莎白牧場","20","令大家歡笑的歡樂牧場主人","相聲","142","3","103301","35"
"12","A","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","今井麻美","16","0","精靈族","優花梨","墨丘利財團","22","既純情又放心不下的成熟女性","隨意逛街","164","3","103401","55"
"5","A","test","小倉唯","2","0","精靈族","鏡華","小小甜心","8","端莊正直的嬌小優等生","讀書","118","2","103601","21"
"8","A","test","茅原実里","11","0","人族","智","王宮騎士團","13","重情義愛捉弄人的劍術少女","劍術、戲弄長輩","149","8","103701","43"
"11","A","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","小清水亜美","3","0","獸人族","栞","伊麗莎白牧場","14","喜愛讀書的體弱少女","讀書、散步","153","11","103801","40"
"6","AB","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","花澤香菜","6","0","精靈族","碧","森林守衛","13","嚮往「朋友」的精靈之森女孩","交朋友的想像訓練","158","6","104001","44"
"4","O","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","福原綾香","3","0","人族","千歌","慈樂之音","17","守護人們而歌唱的唱喚士少女","各種樂器","163","6","104201","46"
"10","O","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","小松未可子","9","0","獸人族","真琴","哞哞自衛隊","17","不輸男人的狂野義氣少女","做點心","168","8","104301","54"
"7","A","test","丹下桜","5","0","魔族","伊莉亞","惡魔偽王國軍","??","曾經支配黑夜的最強吸血鬼","征服世界","172","5","104401","50"
"15","AB","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","長妻樹里","19","0","人族","空花","純白之翼 蘭德索爾分部","18","最愛妄想！其實是個害羞少女","閱讀小說","157","11","104501","49"
"12","AB","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","沼倉愛美","1","0","獸人族","珠希","墨丘利財團","18","鋤強扶弱的貓娘","與貓咪玩耍","158","3","104601","48"
"8","A","？？？","川澄綾子","25","0","人族","純","王宮騎士團","25","看不見面容的沉著女騎士","格鬥技、入浴","171","10","104701","50"
