7baeb91d843c49583cde4ab0d0c65ce6a72b0408b986eea9ee59d6a2b5af4b77,ee1130a100f30ecd74918b876c1f9351365ea7f5083b7222093b136d9cf454ec,6caa1549d5f23d525db101d50ef55d6277806025d4686fd6de8512970406d550,b2b1ef3070bc5d2a6b721241dec375f5fbd973bbd94cf26aeb30e236fbcc7130,2623dd9f17b8eb20a25e91ce6367a3bbbe18a4fa1f4642601cf1257e2f2e3131,ec6290206908403cfc1d68cd44c30dee3781c77013a9bd09cf13edc10874bedd,2a6ef2eed850714d5b5ee511b16e63d4d39c732c27a2ed354583b6e987b106cf
"bgm_M152","00:58","Lost Princess","01:33","1","bgm_M152","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸"
"bgm_M153","01:01","Connecting Happy!!","01:56","2","bgm_M153","角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹"
"bgm_M61","00:00","踏上旅程","01:48","3","bgm_M61_juke","主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼"
"bgm_M62","00:00","穿過森林的風","01:35","4","bgm_M62_juke","主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ"
"bgm_M90","00:00","梅莎路提姆","01:18","5","bgm_M90_juke","戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智"
"bgm_M32","00:00","初音的禮物大作戰","01:02","6","bgm_M32_juke","故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶"
"bgm_M47","00:00","席茲","02:34","7","bgm_M47_juke","故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文"
"bgm_M149","00:57","Smiley Contrast","01:40","8","bgm_M149","角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル"
"bgm_M97","00:00","牛頭怪","00:59","9","bgm_M97_juke","戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太"
"bgm_M98","00:00","小小甜心大冒險","01:00","10","bgm_M98_juke","故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾"
