3f33521e20140f24170857a08c9237a04fbd30ea299e63c71bac962e5af014e9,e577dc84c7a4eca76afdc30e98157f4a49d99bc73571049ce1c685ed4f0a6977,00a28275397ae1390f1def1e4f9a54b5be8ea4645f0bc91dee2898e900fb8fb3,fcd44cf7c4034b4deeaaa6abf4d70a1caa7157cbb2e65a8e2f847a60b895fdd9,860c3a71704b5c36a0b4eab70f3719c8b388e9c914018f4c21d6485855dd2f5b
"1","97501","97501","1","1"
"2","97502","97502","2","3"
"1","97503","97503","3","1"
"1","97504","97504","4","1"
"1","97505","97505","5","1"
"2","97506","97506","6","3"
"2","97507","97507","7","3"
"2","97508","97508","8","3"
"1","97509","97509","9","1"
"1","97510","97510","10","1"
"2","97511","97511","11","3"
"2","97512","97512","12","3"
"2","97513","97513","13","3"
"2","97514","97514","14","3"
"1","97515","97515","15","1"
"2","97516","97516","16","3"
"2","97517","97517","17","3"
"2","97518","97518","18","3"
"2","97519","97519","19","3"
"2","97520","97520","20","3"
"1","99657","97521","21","1"
"1","99668","97522","22","1"
"1","99686","97523","23","1"
"1","99696","97524","24","1"
"1","99711","97525","25","1"
