463228b4371b6680853bad26b5c205cc4aba2bbbe9e4284da59f1ad11fbc89bc,5ff7f7939391c5c935e4849aacfde8fce0f9c9647bc6f7dd51f3d390eace7b37,8d3f4c1c3ed377c66923422d71acb459b046a3eac68001d4f1eea394adb8474a,150eeb2f0c31825370cf65aaf4a778dd5b2dd1322f8c0452eea49d18208f527f,ae2af82d6e3dc82791098ac0ab6a040f214f1ae3cbe15966096a3831137f6345,c3590a898761a44bac502b906d65894452e00034fc9575aea4f04bed8b37e16f
"212","1005","802100290","211","1","2114001"
"212","1006","802100290","211","1","2114002"
"212","1007","802100290","211","1","2114003"
"212","1008","802100290","211","1","2114004"
"100","100501","802100266","104","0","2113061"
"100","100502","802100266","104","0","2113062"
"102","100503","802100266","105","0","2113063"
"103","100504","802100266","106","0","2113064"
"100","100505","802100266","104","0","2113065"
"100","100506","802100266","104","0","2113066"
"102","100507","802100266","105","0","2113067"
"103","100508","802100266","106","0","2113068"
"100","100509","802100266","104","0","2113069"
"100","100510","802100266","104","0","2113070"
"100","100511","802100267","104","0","2113071"
"100","100512","802100267","104","0","2113072"
"102","100513","802100267","105","0","2113073"
"103","100514","802100267","106","0","2113074"
"100","100515","802100267","104","0","2113075"
"100","100516","802100267","104","0","2113076"
"102","100517","802100267","105","0","2113077"
"103","100518","802100267","106","0","2113078"
"100","100519","802100267","104","0","2113079"
"100","100520","802100267","104","0","2113080"
"100","100521","802100268","104","0","2113081"
"100","100522","802100268","104","0","2113082"
"102","100523","802100268","105","0","2113083"
"103","100524","802100268","106","0","2113084"
"100","100525","802100268","104","0","2113085"
"112","100526","802100268","208","1","2113086"
"110","100527","802100268","201","1","2113087"
"100","100528","802100268","104","0","2113088"
"102","100529","802100268","105","0","2113089"
"103","100530","802100268","106","0","2113090"
"114","100601","802100263","203","1","2113031"
"113","100602","802100263","202","1","2113032"
"102","100603","802100263","105","0","2113033"
"103","100604","802100263","106","0","2113034"
"114","100605","802100263","203","1","2113035"
"113","100606","802100263","202","1","2113036"
"111","100607","802100263","204","1","2113037"
"113","100608","802100263","202","1","2113038"
"113","100609","802100263","202","1","2113039"
"103","100610","802100263","106","0","2113040"
"114","100611","802100264","203","1","2113041"
"113","100612","802100264","202","1","2113042"
"102","100613","802100264","105","0","2113043"
"103","100614","802100264","106","0","2113044"
"114","100615","802100264","203","1","2113045"
"113","100616","802100264","202","1","2113046"
"111","100617","802100264","204","1","2113047"
"113","100618","802100264","202","1","2113048"
"113","100619","802100264","202","1","2113049"
"103","100620","802100264","106","0","2113050"
"102","100621","802100265","105","0","2113051"
"114","100622","802100265","203","1","2113052"
"113","100623","802100265","202","1","2113053"
"111","100624","802100265","204","1","2113054"
"103","100625","802100265","106","0","2113055"
"112","100626","802100265","208","1","2113056"
"110","100627","802100265","201","1","2113057"
"114","100628","802100265","203","1","2113058"
"113","100629","802100265","202","1","2113059"
"103","100630","802100265","106","0","2113060"
"112","100701","802100269","205","1","2113091"
"112","100702","802100269","206","1","2113092"
"117","100703","802100269","102","0","2113093"
"102","100704","802100269","105","0","2113094"
"102","100705","802100269","105","0","2113095"
"113","100706","802100269","202","1","2113096"
"114","100707","802100269","203","1","2113097"
"117","100708","802100269","102","0","2113098"
"102","100709","802100269","105","0","2113099"
"113","100710","802100269","202","1","2113100"
"112","100711","802100270","205","1","2115001"
"117","100712","802100270","102","0","2115002"
"102","100713","802100270","105","0","2115003"
"103","100714","802100270","106","0","2115004"
"114","100715","802100270","203","1","2115005"
"113","100716","802100270","202","1","2115006"
"112","100717","802100270","207","1","2115007"
"102","100718","802100270","105","0","2115008"
"103","100719","802100270","106","0","2115009"
"113","100720","802100270","202","1","2115010"
"112","100721","802100271","205","1","2115011"
"112","100722","802100271","208","1","2115012"
"117","100723","802100271","102","0","2115013"
"102","100724","802100271","105","0","2115014"
"103","100725","802100271","106","0","2115015"
"112","100726","802100271","208","1","2115016"
"110","100727","802100271","201","1","2115017"
"117","100728","802100271","102","0","2115018"
"102","100729","802100271","105","0","2115019"
"103","100730","802100271","106","0","2115020"
"104","100801","802100260","103","0","2113001"
"100","100802","802100260","104","0","2113002"
"100","100803","802100260","104","0","2113003"
"102","100804","802100260","105","0","2113004"
"102","100805","802100260","105","0","2113005"
"100","100806","802100260","104","0","2113006"
"100","100807","802100260","104","0","2113007"
"102","100808","802100260","105","0","2113008"
"102","100809","802100260","105","0","2113009"
"101","100810","802100260","107","0","2113010"
"104","100811","802100261","103","0","2113011"
"100","100812","802100261","104","0","2113012"
"100","100813","802100261","104","0","2113013"
"102","100814","802100261","105","0","2113014"
"103","100815","802100261","106","0","2113015"
"100","100816","802100261","104","0","2113016"
"100","100817","802100261","104","0","2113017"
"102","100818","802100261","105","0","2113018"
"103","100819","802100261","106","0","2113019"
"100","100820","802100261","104","0","2113020"
"104","100821","802100262","103","0","2113021"
"100","100822","802100262","104","0","2113022"
"100","100823","802100262","104","0","2113023"
"102","100824","802100262","105","0","2113024"
"102","100825","802100262","105","0","2113025"
"112","100826","802100262","208","1","2113026"
"110","100827","802100262","201","1","2113027"
"102","100828","802100262","105","0","2113028"
"103","100829","802100262","106","0","2113029"
"104","100830","802100262","103","0","2113030"
