62d3201768fe4a6edca3d787f96a1c9ffc7b895ec422763fdb4f5a65df94e7b3,075a52d8983fdc765b786254bcb8ec0b32909365364f9c5aa163c4cb7f6447e5,e39c66ff2cf53f5a83d39e8acb0cdd2795c93ff8c1a891066b2df93720c944c7,32d22e7d839920dc09502505f70678e98dc7858a10b18789ef5944f2acd44264,6373726d99270ead15dbb5987a94cd7087e4ac1821451290283d2e7fa34c3299,701ac69cbf642f6eec8b3ccae7d1fcff6d4f1542b9449f9cf9c2833385f06da3,6be17706c40cea827c291e8689427b9eaa51a1744e0d7a0630d3ea425337b22e,b34ad25d7974980b47ca55ec958952d7837831907a65c43a276a37cf7971a488
"101","短時間內，展開障礙物護盾　　　　（TP上升率：大）","短時間內，展開障礙物護盾！","2001","3","0","0","0"
"102","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","中時間內，小幅度提升速度與跳躍力！","3","5","5","5","0"
"103","短時間內，中幅度提升速度　　　　（TP上升率：中）","短時間內，中幅度提升速度！","1","4","6","0","0"
"104","中時間內，展開障礙物護盾　　　　（TP上升率：小）","中時間內，展開障礙物護盾！","2001","5","0","0","0"
"105","中時間內，小幅度提升速度　　　　（TP上升率：小）","中時間內，小幅度提升速度！","1","6","3","0","0"
"106","中時間內，對戰對手小幅度減速　　（TP上升率：大）","中時間內，對戰對手小幅度減速！","1001","6","4","0","0"
"107","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","中時間內，特大幅度提升速度與跳躍力！","3","5","17","16","0"
"108","回合內，中幅度提升速度　　　　　（TP上升率：小）","回合內，中幅度提升速度！","1","40","8","0","0"
"109","短時間內，特大幅度提升速度　　　（TP上升率：特小）","短時間內，特大幅度提升速度！","1","4","30","0","0"
"110","回合內，對戰對手中幅度減速　　　（TP上升率：小）","回合內，對戰對手大幅度減速！","1001","40","10","0","0"
"111","極短時間內，展開障礙物護盾　　　（TP上升率：大）","極短時間內，展開障礙物護盾！","2001","1","0","0","0"
"112","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","短時間內，最前方對戰對手大幅度減速！","1004","4","15","0","0"
"113","中時間內，小幅度提升速度　　　　（TP上升率：大）","中時間內，小幅度提升速度！","1","6","5","0","0"
"114","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","中時間內，小幅度提升跳躍力！","2","5","5","0","0"
"115","長時間內，以護盾防止能力降低　　（TP上升率：特大）","長時間內，以護盾防止能力降低！","2002","7","0","0","0"
"116","累積時，小幅度提升速度　　　　　（TP上升率：特大）","累積時，小幅度提升速度！","1","25","3","0","0"
"117","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","累積時，對戰對手小幅度減速！","1001","25","3","0","0"
"118","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","長時間內，特大幅度提升速度與跳躍力！","3","7","30","20","0"
"119","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","短時間內，最前方對戰對手大幅度減速！","1004","4","15","0","0"
"120","長時間內，以護盾防止能力降低　　（TP上升率：大）","長時間內，以護盾防止能力降低！","2002","7","0","0","0"
"121","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","長時間內，特大幅度提升跳躍力！","2","12","30","0","0"
"122","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","累積時，最前方的對戰對手大幅度減速！","1004","30","15","0","0"
"123","短時間大幅度加速後，減速　　　　（TP上升率：大）","短時間大幅度加速後，極短時間減速！","4","4","11","2","8"
"124","長時間內，中幅度提升速度　　　　（TP上升率：大）","長時間內，中幅度提升速度！","1","8","9","0","0"
"125","短時間內，展開障礙物護盾　　　　（TP上升率：中）","短時間內，展開障礙物護盾！","2001","4","0","0","0"
"126","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","累積時，對戰對手小幅度減速！","1001","30","3","0","0"
"127","長時間內，特大幅度提升速度　　　（TP上升率：特小）","長時間內，特大幅度提升速度！","1","10","22","0","0"
"128","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","中時間內，特大幅度提升跳躍力！","2","4","30","0","0"
"129","短時間內，對戰對手特大幅度減速　（TP上升率：大）","短時間內，對戰對手特大幅度減速！","1001","3","20","0","0"
"130","短時間內，特大幅度提升速度　　　（TP上升率：大）","短時間內，特大幅度提升速度！","1","4","30","0","0"
