8ac6ad900010c1d171e6a33bd6320fe13728cf935ca8ce458ea4ba5d20a3ca50,dbd9a398baeac5bde949d480053711273e075f155246b8fc3e797d5bec019b12,94c0c8df67f0fc9fa0f5e7588805a7cc7508f07470d52c98d493128aceb6b6ef,c9d37d04bd39c26cfcb67ad9f612b7564a916b2de92d5a6e0d5a2fead9eda940,89f36f051ed80d8d29455d753bb36887affe8bc4c92ee3e9df5a16e21d43811a,dc7696b4ce3204bb09b7703391af574dd1888f847b344b4b915e035e313af8e0,0e743f2e9b6c1fafc9709fd2569b9e5583aead975e0665903944f7725515efa2,f47f1ce24da7418b531dd669e116e7c6898a367ba640438e2caee0830a91e1bf,8589d3d4a2af9532b88f514c6860f55ff47d5195b28c9b5fea5481ac1810ca6f,fc8eefc8ccd4428d52fb33e6aa1c118b431a7be7efe9558796c87c737ef6325c,e9a41e6e28411af07ac4edef7b0027bd9c3dea4023253e6333e726464792ac31
"0","0","10003","0","10002","10004","10001","0","50061","0","0"
"0","0","10003","0","10002","10005","10001","0","50067","0","0"
"0","0","10003","10006","10002","10005","10001","0","50079","0","0"
"0","0","10003","10006","10002","10005","10001","10007","50084","0","0"
"0","10008","10003","10006","10002","10005","10001","10007","50094","0","0"
"10009","10008","10003","10006","10002","10005","10001","10007","50108","0","0"
"10009","10008","10003","10006","10002","10005","10001","10007","50116","0","0"
"10009","10008","10003","10006","10002","10005","10001","10007","50119","10010","0"
"10009","10008","10003","10006","10002","10005","10001","10007","50129","10010","0"
"10009","10008","10003","10006","10002","10005","10001","10007","50140","10010","10011"
"10010","10009","10005","10007","10003","10006","10002","10008","50151","10011","10012"
"0","0","10011","10013","10010","10012","10009","0","50162","0","0"
"0","0","10012","10014","10011","10013","10010","0","50172","0","0"
"0","0","10013","10015","10012","10014","10011","0","50183","0","0"
"0","0","10015","10005","10014","10007","10013","0","50190","0","0"
"0","0","10014","10016","10013","10015","10012","0","50195","0","0"
"0","0","10016","10002","10015","10003","10014","0","50200","0","0"
"0","0","10015","10017","10014","10016","10013","0","50217","0","0"
"0","0","10017","10009","10016","10010","10015","0","50231","0","0"
"0","0","10016","10018","10015","10017","10014","0","50237","0","0"
"0","0","0","0","0","0","10019","0","50248","0","0"
"0","0","0","0","0","0","10011","0","50261","0","0"
"0","0","0","0","0","0","10020","0","50267","0","0"
"0","0","0","0","0","0","10021","0","50278","0","0"
"0","0","0","0","0","0","10006","0","50291","0","0"
"0","0","0","0","0","0","10022","0","50298","0","0"
"0","0","0","0","0","0","10023","0","50309","0","0"
"0","0","0","0","0","0","10024","0","50321","0","0"
"0","0","0","0","0","0","10025","0","50331","0","0"
"0","0","0","0","0","0","10026","0","50341","0","0"
"0","0","0","0","0","0","10027","0","50354","0","0"
"0","0","0","0","0","0","10028","0","50365","0","0"
"0","0","0","0","0","0","10029","0","50375","0","0"
