b4bf131dc3b2514ee4836e01ed498150232538cb0a8edfe8ddb034e37df3210d,b6a9fd61f6ded47ebe68a7ca69ea7071f74417bc5583e224172f1f91b73ca423,f434670ecacb0a1dbe1025300ef5a1ea56e652b0220b016ef89ac508a2b5ba60,f07a8770f7b3a1dfa0e0cb2646e90d9ccc29be41c5f3acec019401aa9adc9d49,6eb5fd2720cb4da1aaa4f62cdda16afcdea3f33c286e1fc23bdf8c5eaf1bb6a0,870fb2928ec533cb88e00b94e0a0bf4df716023aa5dc24dab61ae462cd1f3dad
"0","2000102","2000101","20001","20001115","20001201"
"2000101","2000103","2000102","20001","0","0"
"2000102","0","2000103","20001","0","0"
"0","2000202","2000201","20002","20002115","20002201"
"2000201","2000203","2000202","20002","0","0"
"2000202","0","2000203","20002","0","0"
"0","2000302","2000301","20003","20003115","20003201"
"2000301","2000303","2000302","20003","0","0"
"2000302","0","2000303","20003","0","0"
"0","2000402","2000401","20004","20004115","20004201"
"2000401","2000403","2000402","20004","0","0"
"2000402","0","2000403","20004","0","0"
"0","2000502","2000501","20005","20005115","20005201"
"2000501","2000503","2000502","20005","0","0"
"2000502","0","2000503","20005","0","0"
"0","2000602","2000601","20006","20006115","20006201"
"2000601","2000603","2000602","20006","0","0"
"2000602","0","2000603","20006","0","0"
"0","2000702","2000701","20007","20007115","20007201"
"2000701","2000703","2000702","20007","0","0"
"2000702","0","2000703","20007","0","0"
"0","2000802","2000801","20008","20008115","20008201"
"2000801","2000803","2000802","20008","0","0"
"2000802","0","2000803","20008","0","0"
"0","2000902","2000901","20009","20009115","20009201"
"2000901","2000903","2000902","20009","0","0"
"2000902","0","2000903","20009","0","0"
"0","2001002","2001001","20010","20010115","20010201"
"2001001","2001003","2001002","20010","0","0"
"2001002","0","2001003","20010","0","0"
"0","2001102","2001101","20011","20011115","20011201"
"2001101","2001103","2001102","20011","0","0"
"2001102","0","2001103","20011","0","0"
"0","2001202","2001201","20012","20012115","20012201"
"2001201","2001203","2001202","20012","0","0"
"2001202","0","2001203","20012","0","0"
"0","2001302","2001301","20013","20013115","20013201"
"2001301","2001303","2001302","20013","0","0"
"2001302","0","2001303","20013","0","0"
"0","2001402","2001401","20014","20014115","20014201"
"2001401","2001403","2001402","20014","0","0"
"2001402","0","2001403","20014","0","0"
"0","2001502","2001501","20015","20015115","20015201"
"2001501","2001503","2001502","20015","0","0"
"2001502","0","2001503","20015","0","0"
"0","2001602","2001601","20016","20016115","20016201"
"2001601","2001603","2001602","20016","0","0"
"2001602","0","2001603","20016","0","0"
"0","2001702","2001701","20017","20017115","20017201"
"2001701","2001703","2001702","20017","0","0"
"2001702","0","2001703","20017","0","0"
"0","2001802","2001801","20018","20018115","20018201"
"2001801","2001803","2001802","20018","0","0"
"2001802","0","2001803","20018","0","0"
"0","2001902","2001901","20019","20019115","20019201"
"2001901","2001903","2001902","20019","0","0"
"2001902","0","2001903","20019","0","0"
"0","2002002","2002001","20020","20020115","20020201"
"2002001","2002003","2002002","20020","0","0"
"2002002","0","2002003","20020","0","0"
"0","2002102","2002101","20021","20021115","20021201"
"2002101","2002103","2002102","20021","0","0"
"2002102","0","2002103","20021","0","0"
"0","2002202","2002201","20022","20022115","20022201"
"2002201","2002203","2002202","20022","0","0"
"2002202","0","2002203","20022","0","0"
"0","2002302","2002301","20023","20023115","20023201"
"2002301","2002303","2002302","20023","0","0"
"2002302","0","2002303","20023","0","0"
"0","2002402","2002401","20024","20024115","20024201"
"2002401","2002403","2002402","20024","0","0"
"2002402","0","2002403","20024","0","0"
"0","2002502","2002501","20025","20025115","20025201"
"2002501","2002503","2002502","20025","0","0"
"2002502","0","2002503","20025","0","0"
"0","2002602","2002601","20026","20026115","20026201"
"2002601","2002603","2002602","20026","0","0"
"2002602","0","2002603","20026","0","0"
"0","2002702","2002701","20027","20027115","20027201"
"2002701","2002703","2002702","20027","0","0"
"2002702","0","2002703","20027","0","0"
"0","2002802","2002801","20028","20028115","20028201"
"2002801","2002803","2002802","20028","0","0"
"2002802","0","2002803","20028","0","0"
