eb4a37b16a80cd38fc302ab6c936108211d1c31162874862b10f03c8af3eebc5,afdb5708e27a9fe0c6bfc8a45361a48f49223328fc5eefe75dd255e69412bc04,fe51df5ed30926e229b1624d45857bd6244b5ce4525ce42e7fae96c29c4fc02d,baa918861762446fa010f61ead722cef580951aaf5d2c2d6d369348c78d24f3d,05a406058d58d38b9c781898b3b2e8fe4ce1b452af728fd230532a24e331a7a8,f8cc35dd6c8a548ec430f06a3ff65f946befd1c0495f882bf4f6cc61665c3715,09452c2d4fd942129c0dbbf306d6ee794e0bde72d8746df986011feb9c1918cd,122b380402b9dc68e053633fe9212492a17a42b85bd7c54d99aa3f996aa9b051,6ee040e8bdce41dfe2a7fa12b5c404da9293a23f8c2ada1e32b6ef06c70b7e71,be13ea10d6ecd0fce635c0daac37b43f6e4eebcb0164d4bfc8668f25c3e4df42,abca707647fba6f5712dc11cc5d42bc298a9ef0ffac71056506e3485d87e2c17,12cb018743df7e850e127717eaf3c2920f9edad37c2608f4a5c0d2de871ccb66,325a7b5a26670ed589121edeaef19af16def0ca721935a7e8baf57ea8eff5eea,61be5e6e5f46ede9f9ab009c252e42d09fe1a92d18a68a838e901863ddc0c7df,318bff6e8fd4533b161816eb3d08e33c0123f8f81635caab587f52610aaf04b8,4e1f9fe44a3d073e25bb377940183427e4d3316c0e91d9e33192b6256c874162,90b98abb8edf192a33af27352e5f394ef929f0124c2365e770d57802d98e8505,c7ec3f6ebc38d01a486b5353989f1aa95785451299a1f2cceea98f186e34d9b3
"0","12","0","0","0","0","0","20000","0","0","0","0","0","0","94002","分數累積獲得 20000 分","1","5000"
"0","12","0","0","0","0","0","40000","0","0","0","0","0","0","94002","分數累積獲得 40000 分","2","10000"
"0","12","0","0","0","0","0","60000","0","0","0","0","0","0","94002","分數累積獲得 60000 分","3","15000"
"0","12","0","0","0","0","0","80000","0","0","0","0","0","0","94002","分數累積獲得 80000 分","4","20000"
"0","8","0","0","0","0","2","100000","0","0","5","23001","0","0","91002","分數累積獲得 100000 分","5","50"
"0","12","0","0","0","0","0","120000","0","0","0","0","0","0","94002","分數累積獲得 120000 分","6","25000"
"0","12","0","0","0","0","0","140000","0","0","0","0","0","0","94002","分數累積獲得 140000 分","7","30000"
"0","12","0","0","0","0","0","160000","0","0","0","0","0","0","94002","分數累積獲得 160000 分","8","35000"
"0","12","0","0","0","0","0","180000","0","0","0","0","0","0","94002","分數累積獲得 180000 分","9","40000"
"0","8","0","0","0","0","2","200000","0","0","5","23001","0","0","91002","分數累積獲得 200000 分","10","50"
"0","12","0","0","0","0","0","220000","0","0","0","0","0","0","94002","分數累積獲得 220000 分","11","55000"
"0","12","0","0","0","0","0","240000","0","0","0","0","0","0","94002","分數累積獲得 240000 分","12","35000"
"0","12","0","0","0","0","0","260000","0","0","0","0","0","0","94002","分數累積獲得 260000 分","13","40000"
"0","12","0","0","0","0","0","280000","0","0","0","0","0","0","94002","分數累積獲得 280000 分","14","45000"
"0","8","0","0","0","0","2","300000","0","0","10","23001","0","0","91002","分數累積獲得 300000 分","15","150"
