a970f463aef006f5afb6877c6e8adabc0e4c61241c1571b0a17e4cd796af77fa,54d58791a4ac96ad79677412873f617864b3fb1ad47ac84baa7dcdd1879bf5f9,5b95e4fa3bf7276d3812c9b624b5de12bf8e101446f7a4acaaeaaf375cf724db
"101","1","1"
"103","1","2"
"105","1","3"
"101","2","4"
"102","2","5"
"103","2","6"
"105","2","7"
"101","3","8"
"102","3","9"
"103","3","10"
"101","4","11"
"103","4","12"
"104","4","13"
"105","4","14"
"103","5","15"
"104","5","16"
"105","5","17"
"102","6","18"
"104","6","19"
"106","6","20"
"101","7","21"
"102","7","22"
"106","7","23"
"102","8","24"
"103","8","25"
"106","8","26"
"103","9","27"
"104","9","28"
"105","9","29"
"101","10","30"
"103","10","31"
"105","10","32"
"107","11","33"
"108","11","34"
