64dd0c227dfbdbba6a0b3468f2c67de7806ffa54a851255aa3b5f487cb25d6ef,d67bdd52982a24c763b1f2d4b178b756b8addfd84c36a0ebb9c53a12ca0919d3,c333de5dae829da051d6cd4d8d5c57ade6685769b37ac67ff2b1e395670b8e9f,62439431c6a0b1c61dfe9225d8ebbd00ee10158a198e4f0bed44ba5534130c0f
"step1","101","0","10101"
"step2","101","10101","10102"
"step3","101","10102","10103"
"step4","101","10103","10104"
"step5","101","10104","10105"
"step6","101","10105","10106"
"step7","101","10106","10107"
"step1","102","0","10201"
"step2","102","10201","10202"
"step3","102","10202","10203"
"step4","102","10203","10204"
"step5","102","10204","10205"
"step6","102","10205","10206"
"step7","102","10206","10207"
"step1","201","0","20101"
