fe2379a9bbccb481b697cdbb4ca7bab9962dead4c0f115268cec7118d504a216,b5ed11b07b7784441cb6782f66bd23f2f9871a17d6f65dbfc2822caa68d65001,a54ede96e22b15febe863e4c19b2144a496d0373f6c70ebf259bc6c20964a3b0,c28a12a35b691d9db2802be9138d75bfbc64b082291c4a13eb77b216633b0d52,e2130a905543538cc2bcde31bf3e0cf59ac00b22b28b241109992c3a638452f1,f61fc9348e48a19504a2eed60251c301085bc6e34241cbfe726380ac7f990b6e,16b36ef7bde8e5b3c8f79e3e5c0bd2858d4d70a0b5f4770933b164515b5ca12d,dc1ba83bd6ee9509f03e1b01d258bea468295ffddefcc167ba8dbabb0db2ca3c,d708baaa74b8ff71ec93bb33c9a7f65591d1ca580ec421faa5c1def8fe2a1bbe,bc2822bbe7ca14021134a2b6f890c3a67cdae2996f531667f70c4d7de92b7512
"90001","10","1","0","0","1","12000","30000","10000","90043"
"90002","20","2","0","0","2","24000","30000","10000","90047"
"90002","20","3","0","0","3","24000","30000","10000","90047"
"90002","20","4","0","0","4","24000","30000","10000","90047"
"90002","20","5","0","0","5","24000","30000","10000","90047"
"90002","20","6","0","0","6","24000","30000","10000","90047"
"90002","20","7","0","0","7","24000","30000","10000","90047"
"90002","20","8","0","0","8","24000","30000","10000","90047"
"90002","20","9","0","0","9","24000","30000","10000","90047"
"90002","20","10","1","0","10","24000","30000","10000","90047"
"90003","40","11","2","90011","11","48000","30000","10000","90051"
"90003","40","12","3","90011","12","48000","30000","10000","90051"
"90003","40","13","4","90011","13","48000","30000","10000","90051"
"90003","40","14","5","90011","14","48000","30000","10000","90051"
"90003","40","15","6","90011","15","48000","30000","10000","90051"
"90003","40","16","7","90011","16","48000","30000","10000","90051"
"90003","40","17","8","90011","17","48000","30000","10000","90051"
"90003","40","18","9","90011","18","48000","30000","10000","90051"
"90003","40","19","10","90011","19","48000","30000","10000","90051"
"90003","40","20","11","90011","20","48000","30000","10000","90051"
"90004","60","21","12","90015","21","72000","30000","10000","90055"
"90004","60","22","13","90015","22","72000","30000","10000","90055"
"90004","60","23","14","90015","23","72000","30000","10000","90055"
"90004","60","24","15","90015","24","72000","30000","10000","90055"
"90004","60","25","16","90015","25","72000","30000","10000","90055"
"90004","60","26","17","90015","26","72000","30000","10000","90055"
"90004","60","27","18","90015","27","72000","30000","10000","90055"
"90004","60","28","19","90015","28","72000","30000","10000","90055"
"90004","60","29","20","90015","29","72000","30000","10000","90055"
"90004","60","30","21","90015","30","72000","30000","10000","90055"
"90005","80","31","22","90015","31","96000","30000","10000","90059"
"90005","80","32","23","90015","32","96000","30000","10000","90059"
"90005","80","33","24","90015","33","96000","30000","10000","90059"
"90005","80","34","25","90015","34","96000","30000","10000","90059"
"90005","80","35","26","90015","35","96000","30000","10000","90059"
"90005","80","36","27","90015","36","96000","30000","10000","90059"
"90005","80","37","28","90015","37","96000","30000","10000","90059"
"90005","80","38","29","90015","38","96000","30000","10000","90059"
"90005","80","39","30","90015","39","96000","30000","10000","90059"
"90005","80","40","31","90015","40","96000","30000","10000","90059"
"90005","120","41","33","90017","41","144000","30000","10000","90063"
"90005","120","42","35","90017","42","144000","30000","10000","90063"
"90005","120","43","37","90017","43","144000","30000","10000","90063"
"90005","120","44","39","90017","44","144000","30000","10000","90063"
"90005","120","45","41","90017","45","144000","30000","10000","90063"
"90005","120","46","43","90017","46","144000","30000","10000","90063"
"90005","120","47","45","90017","47","144000","30000","10000","90063"
"90005","120","48","47","90017","48","144000","30000","10000","90063"
"90005","120","49","49","90017","49","144000","30000","10000","90063"
"90005","120","50","51","90017","50","144000","30000","10000","90063"
"90006","150","51","53","90019","51","180000","30000","10000","90067"
"90006","150","52","55","90019","52","180000","30000","10000","90067"
"90006","150","53","57","90019","53","180000","30000","10000","90067"
"90006","150","54","59","90019","54","180000","30000","10000","90067"
"90006","150","55","61","90019","55","180000","30000","10000","90067"
"90006","150","56","63","90019","56","180000","30000","10000","90067"
"90006","150","57","65","90019","57","180000","30000","10000","90067"
"90006","150","58","67","90019","58","180000","30000","10000","90067"
"90006","150","59","69","90019","59","180000","30000","10000","90067"
"90006","150","60","71","90019","60","180000","30000","10000","90067"
"90007","180","61","74","90021","61","216000","30000","10000","90071"
"90007","180","62","77","90021","62","216000","30000","10000","90071"
"90007","180","63","80","90021","63","216000","30000","10000","90071"
"90007","180","64","83","90021","64","216000","30000","10000","90071"
"90007","180","65","86","90021","65","216000","30000","10000","90071"
"90007","180","66","89","90021","66","216000","30000","10000","90071"
"90007","180","67","92","90021","67","216000","30000","10000","90071"
"90007","180","68","95","90021","68","216000","30000","10000","90071"
"90007","180","69","98","90021","69","216000","30000","10000","90071"
"90007","180","70","101","90021","70","216000","30000","10000","90071"
