93313a40c4a6e5e27d6e5860c3d99b4cfa156182867fbef16e414344ad32733b,7832750e12b4a70f57916e95341bff25ed1340eb6a4573df279e450b9399287a,bdf5f6453be46bb6689593ee7a0e345a9c8eaac51c02dcb6eec017fb1dcd556b,6f87adfd25931398707122bb56782e8ce3034e43ae2a7f2546e7de21cee0a401,ec0d0458e3c753edeabc7a310c63136508e5c93a0cde25898626530d91ebdf7b,4ce5ad41f45c1d550528256a2e1473573c17ffabf1be83981dfecc7f4d099bc2,f968844e85d78cabc43ef230d8577e8599a50653c0c222c1af283ef190b08c27,baff6dce905b9bfb45a0c788bf26835a186c7dda6d75bea103ad582a9bafdd42,b12f480f98c498722739ead7691a7f2cd220621dc358874988d3c7c2f48ac103,5165b05741f7c6377dce9ecbec14f9a0668e0e6d21e7d8bc5690d340430e61f3,f4bd64db241e91f4e76e2ad32f5b3507a028922166d985f4db002d70427ef62b,5883dc5acbb58efdb73b56038de78cc3a854edf95065ef546a256ad37f2e3d81,22510903f3adef26c495a51229f7e4e038a1f871fc009890388a38ba092095c8,9ac6d08ddfb45f1938667fc07dbbb2ea521831cce47d41e4a35b45d3def653d3,03aa0282ab477b4e002e2a74ff9ca0f304372b2a034b545f134cad8b22d58681
"4003002","400","雲海山脈","4003001","400","45","0","10","195","11002012","雲霧繚繞的山脈","200010","501010001","1","31001"
"4003004","300","密林大樹","4003003","300","30","0","10","-110","11005013","立於森林深處的一棵大樹","200020","501010002","1","31002"
"4003006","200","斷崖遺跡","4003005","200","-190","0","10","-570","11007014","位於斷崖絕壁處的遺跡","200030","501010003","1","31003"
"4003008","100","蒼海孤塔","4003007","100","-30","0","10","750","11011017","矗立於大海中謎樣的巨塔","200040","501010004","1","31004"
"4003010","100","毒瘴闇稜","4003009","100","20","0","10","465","11014014","受瘴氣籠罩的暗闇孤峰","200050","501010005","1","31005"
"4003012","100","綠龍骸嶺","4003011","100","90","0","10","360","11026014","佇立於山頂的龍之寢床","200060","501010006","1","31006"
"4003014","100","天上浮游城","4003013","100","90","0","10","130","11035014","天空守衛靜靜沉眠的聖城","200070","501010007","1","31007"
"4003018","100","砂瀑底都","4003017","100","120","0","10","-50","11047014","沙之大瀑布墜落盡頭的都市","200080","501010008","1","31008"
"4003020","100","蔚藍王寨","4003019","100","70","0","10","-360","11057014","聳立於蔚藍海底的海王城寨","200090","501010009","1","31009"
"4003022","0","四彩的靈峰","4003021","100","0","0","10","0","11062014","四季繽紛的靈狐仙境","0","501010010","1","31010"
"4003016","100","特殊地下城","4003015","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32001"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32002"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32003"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32004"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32005"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32006"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32007"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32008"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32009"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32010"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32011"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32012"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32013"
"0","100","特殊地下城","0","100","0","31006","10","0","0","挑戰完成期間限定地下城","0","0","1","32014"
