11995906a3652ae619435199cf6b55f4fb82c41cf502b9dc1992b38d9d4c59df,cc89f932dbb30c2c2af2b57067396a364ecd4c796bd570c1d1631f2507eb6110,371b04d1ff8a5e8a2e57bb993e2c674607130657905eb702517b08e01ddf10a6,4ed6c1f615763d9bfb860c99c7f4bf3da4081665a464d4170070112deacecbbd,12dc4cdd1a9ee9f33f22adfdee39011e8281b24732d7e4e5dba289f2b364fd78,6b150e1a325897e5c8ebfe4b3c4a5c08d34a388fe54e25bca838de1e3ea27cff,014aebeb44ccd51b22ec60d6e33bb16d5a9a02b367d9aaec11b6d9134a7fab17,6169086944d0c04c32c7a0f63140db733b52dedfe668590fc0f6e428dc409fa7,c65773ac7c9ba237ec8d61dcffdf06168a2dd7ef247fd8e9c1acc52568f13c8d
"6","1","53003","7","22","5","8","10001","-1"
"6","1","53002","7","22","5","4","10002","-1"
"5","1","53003","6","22","4","6","10101","5"
"5","1","53002","6","22","4","5","10102","5"
"4","1","53003","5","22","3","5","10201","4"
"4","1","53002","5","22","3","5","10202","4"
"3","1","53003","4","22","3","4","10301","3"
"3","1","53002","4","22","3","3","10302","3"
"2","1","53003","3","22","2","3","10401","2"
"2","1","53002","3","22","2","2","10402","2"
"1","1","53003","2","22","1","2","10501","1"
"1","1","53002","2","22","1","1","10502","1"
"0","1","53002","1","22","1","2","10601","0"
"6","2","53003","7","22","5","8","10701","-1"
"6","2","53002","7","22","5","4","10702","-1"
"5","2","53003","6","22","4","6","10801","5"
"5","2","53002","6","22","4","5","10802","5"
"4","2","53003","5","22","3","5","10901","4"
"4","2","53002","5","22","3","5","10902","4"
"3","2","53003","4","22","3","4","11001","3"
"3","2","53002","4","22","3","3","11002","3"
"2","2","53003","3","22","2","3","11101","2"
"2","2","53002","3","22","2","2","11102","2"
"1","2","53003","2","22","1","2","11201","1"
"1","2","53002","2","22","1","1","11202","1"
"0","2","53002","1","22","1","2","11301","0"
"6","3","53003","7","22","5","8","11401","-1"
"6","3","53002","7","22","5","4","11402","-1"
"5","3","53003","6","22","4","6","11501","5"
"5","3","53002","6","22","4","5","11502","5"
"4","3","53003","5","22","3","5","11601","4"
"4","3","53002","5","22","3","5","11602","4"
"3","3","53003","4","22","3","4","11701","3"
"3","3","53002","4","22","3","3","11702","3"
"2","3","53003","3","22","2","3","11801","2"
"2","3","53002","3","22","2","2","11802","2"
"1","3","53003","2","22","1","2","11901","1"
"1","3","53002","2","22","1","1","11902","1"
"0","3","53002","1","22","1","2","12001","0"
"6","4","53003","7","22","5","8","12101","-1"
"6","4","53002","7","22","5","4","12102","-1"
"5","4","53003","6","22","4","6","12201","5"
"5","4","53002","6","22","4","5","12202","5"
"4","4","53003","5","22","3","5","12301","4"
"4","4","53002","5","22","3","5","12302","4"
"3","4","53003","4","22","3","4","12401","3"
"3","4","53002","4","22","3","3","12402","3"
"2","4","53003","3","22","2","3","12501","2"
"2","4","53002","3","22","2","2","12502","2"
"1","4","53003","2","22","1","2","12601","1"
"1","4","53002","2","22","1","1","12602","1"
"0","4","53002","1","22","1","2","12701","0"
"6","5","53003","7","22","5","8","12801","-1"
"6","5","53002","7","22","5","4","12802","-1"
"5","5","53003","6","22","4","6","12901","5"
"5","5","53002","6","22","4","5","12902","5"
"4","5","53003","5","22","3","5","13001","4"
"4","5","53002","5","22","3","5","13002","4"
"3","5","53003","4","22","3","4","13101","3"
"3","5","53002","4","22","3","3","13102","3"
"2","5","53003","3","22","2","3","13201","2"
"2","5","53002","3","22","2","2","13202","2"
"1","5","53003","2","22","1","2","13301","1"
"1","5","53002","2","22","1","1","13302","1"
"0","5","53002","1","22","1","2","13401","0"
"6","6","53003","7","22","5","8","13501","-1"
"6","6","53002","7","22","5","4","13502","-1"
"5","6","53003","6","22","4","6","13601","5"
"5","6","53002","6","22","4","5","13702","5"
"4","6","53003","5","22","3","5","13801","4"
"4","6","53002","5","22","3","5","13902","4"
"3","6","53003","4","22","3","4","14001","3"
"3","6","53002","4","22","3","3","14002","3"
"2","6","53003","3","22","2","3","14101","2"
"2","6","53002","3","22","2","2","14102","2"
"1","6","53003","2","22","1","2","14201","1"
"1","6","53002","2","22","1","1","14202","1"
"0","6","53002","1","22","1","2","14301","0"
"6","7","53003","7","22","5","8","14401","-1"
"6","7","53002","7","22","5","4","14402","-1"
"5","7","53003","6","22","4","6","14501","5"
"5","7","53002","6","22","4","5","14502","5"
"4","7","53003","5","22","3","5","14601","4"
"4","7","53002","5","22","3","5","14701","4"
"3","7","53003","4","22","3","4","14801","3"
"3","7","53002","4","22","3","3","14802","3"
"2","7","53003","3","22","2","3","14901","2"
"2","7","53002","3","22","2","2","14902","2"
"1","7","53003","2","22","1","2","15001","1"
"1","7","53002","2","22","1","1","15002","1"
"0","7","53002","1","22","1","2","15101","0"
