82b2a4eeacdb970da1a9724a26f1d6082e97607736732145f5f13235d388768f,b8d8125cc277b139aa2c96fb7a781dccfc40d62c1d55970f5a9ca5f7caae7bc1,e5d82d83773fd92d0f598a8d697dd376905ed9e82a027690d40aac9f7aea5766,24bc28300130674b38d8a5fa350d5d4ad926166071e16f50474c60283dd9ebea,cee74bf0e873bf9ff39e3ceae990408e8b4595a1210f87fea6c3125e9a1f241f,c3c79c45d1d2d6c570ddf4f85e619ecdd251bc041389bf959733094152ec1c59
"2","5201009","10201","102010201","0","2"
"3","5201010","10201","102010202","0","2"
"502510","0","10201","102010301","0","3"
"501220","0","10202","102020201","0","2"
"501201","0","10202","102020301","0","3"
"500801","0","10203","102030201","0","2"
"500031","0","10203","102030301","0","3"
"502360","0","10204","102040201","0","2"
"500030","0","10204","102040301","0","3"
"502170","0","10205","102050201","0","2"
"502080","0","10205","102050301","0","3"
"501030","0","10206","102060201","0","2"
"500160","0","10206","102060301","0","3"
"500690","0","10207","102070201","0","2"
"500163","0","10207","102070301","0","3"
"532300","0","10208","102080201","0","3"
"502460","0","10209","102090201","0","2"
"502290","0","10209","102090301","0","3"
"502080","0","10210","102100201","0","3"
