eea0096a6f4b312548f81cd72da91f67d68cc1517215af0355b8a3ccbc883631,429f3fcdf82c271c101e00f737c7a17c4f1cff55a70acf1571967412ed4a7c55,149de9037c203a7c2902b2de2867c7bd4d044f8c5561096cd3ec4795bb5f1f64,119b3f2d9d14114a9f92a1bae712540c6520c3ca9264375928072cc470839b9b,00fa8e83b691c48672d314cb04c09ece3f03e6830ee609cfd8a64d5f1cd2fe4b,354ae2ec64675872f88f2deb9631096f881c01d7d9ff154161b13f2f85c8876e,7af984732e0ae4aa04f6424a45c6ed1d046164c53af19a8376878a8f0efb0c28
"1","2","1000101","vo_minigame_1004","10001","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","vo_minigame_1004_top_1_000"
"1","2","1000201","vo_minigame_1004","10002","接龍之戰，我要找哥哥幫忙。","vo_minigame_1004_top_1_003"
"2","1","1000301","vo_minigame_1004","10003","打手就是不管別人怎樣找碴都來者不拒！看我的！","vo_minigame_1004_top_1_004"
"2","1","1000401","vo_minigame_1004","10004","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","vo_minigame_1004_top_1_005"
"2","1","1000501","vo_minigame_1004","10005","管它是接龍還是什麼，就給他們回馬槍吧！","vo_minigame_1004_top_1_006"
"3","2","1000601","vo_minigame_1004","10006","咕麼……（我、肚子餓了）","vo_minigame_1004_top_1_007"
"3","2","1000701","vo_minigame_1004","10007","咕麼麼麼麼（接龍真有趣）","vo_minigame_1004_top_1_008"
"3","2","1000801","vo_minigame_1004","10008","咕麼麼麼麼！（祈梨 是好人）","vo_minigame_1004_top_1_009"
"1","2","1000901","vo_minigame_1004","10009","就算對手是嘉夜夜，我也不會手下留情。","vo_minigame_1004_top_2_010"
"2","1","1000902","vo_minigame_1004","10009","好極了！要比的話就要認真的比哦。","vo_minigame_1004_top_2_011"
"1","2","1001001","vo_minigame_1004","10010","嘉夜夜，要道歉就趁現在。","vo_minigame_1004_top_2_012"
"2","1","1001002","vo_minigame_1004","10010","祈梨才是，妳要偷哭的話就趁現在吧？","vo_minigame_1004_top_2_013"
"1","2","1001101","vo_minigame_1004","10011","嘉夜夜，今後可是知性的時代哦？","vo_minigame_1004_top_2_014"
"2","1","1001102","vo_minigame_1004","10011","慢著！不要把我說得像笨蛋一樣！！","vo_minigame_1004_top_2_015"
"1","1","1001201","vo_minigame_1004","10012","來，讓妳見識一下我們的力量！","vo_minigame_1004_top_2_016"
"3","2","1001202","vo_minigame_1004","10012","咕麼！（交給我！）","vo_minigame_1004_top_2_017"
"1","1","1001301","vo_minigame_1004","10013","乖乖，很好，做得好的話，就給你巧克力！","vo_minigame_1004_top_2_018"
"3","2","1001302","vo_minigame_1004","10013","咕麼！（我 喜歡巧克力）","vo_minigame_1004_top_2_019"
"2","1","1001401","vo_minigame_1004","10014","喏，祈梨……妳是不是已經迷失當時的目的了？","vo_minigame_1004_top_2_023"
"1","2","1001402","vo_minigame_1004","10014","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","vo_minigame_1004_top_2_024"
"2","1","1001501","vo_minigame_1004","10015","就算對手是祈梨，我也不會把勝利讓給妳的！","vo_minigame_1004_top_2_025"
"1","2","1001502","vo_minigame_1004","10015","正合我意，我可不會手下留情哦！","vo_minigame_1004_top_2_026"
"2","1","1001601","vo_minigame_1004","10016","嘿，妳還滿行的嘛！","vo_minigame_1004_top_2_027"
"1","2","1001602","vo_minigame_1004","10016","嘉夜夜也比我想像的還厲害呢！","vo_minigame_1004_top_2_028"
