f3931c3a5b9091465a8cb10e0940badfdfe20deb0f2a690876d3fb76fdb43130,08da3de956d1f00f44c8cdcdba1736bd9a9b5566a9c202429cf20ae794726731,ada6e882aa1c37a8b360bc67ba0ec8754fb027989bb2caa03cdc9b30d9109cf1,0fbd9f7d349b722da34986ac95a7b01cc9f77979d09f5ca400513427d51e801c,14faa5963a0e4d4385fdcd9951c37976231e965684fda0559154dec4f6c34dd0,736657df9a7593719649114417a3716c373a791831d01815a6f32837de216371
"1","50000","1","50000","2","26202"
"2","10","1","10","2","90013"
"3","0","1","1","2","26203"
"4","55000","2","55000","2","26202"
"5","10","2","10","2","90013"
"6","0","2","1","2","26203"
"7","60000","3","60000","2","26202"
"8","10","3","10","2","90013"
"9","0","3","1","2","26203"
"10","65000","4","65000","2","26202"
"11","10","4","10","2","90013"
"12","0","4","1","2","26203"
"13","70000","5","70000","2","26202"
"14","10","5","10","2","90013"
"15","0","5","1","2","26203"
"16","75000","6","75000","2","26202"
"17","10","6","10","2","90013"
"18","0","6","1","2","26203"
"19","80000","7","80000","2","26202"
"20","10","7","10","2","90013"
"21","0","7","1","2","26203"
"22","85000","8","85000","2","26202"
"23","10","8","10","2","90013"
"24","0","8","1","2","26203"
"25","90000","9","90000","2","26202"
"26","20","9","20","2","90013"
"27","0","9","1","2","26203"
"28","95000","10","95000","2","26202"
"29","20","10","20","2","90013"
"30","0","10","1","2","26203"
"31","100000","11","100000","2","26202"
"32","20","11","20","2","90013"
"33","0","11","1","2","26203"
"34","105000","12","105000","2","26202"
"35","20","12","20","2","90013"
"36","0","12","1","2","26203"
