6f77fcd98cb7e0b4be55fb4fcd9352a5647609e7906bfdc79f0369237fcb9b5c,0a55f4b4cbdc98f646e85b238a6b1230f1da8f3bcd96cf0492b6d0db4dbed6ac,61a306ce8c3f0e2420b922d39493ff738ba63f1e53fee9a4d9b8ba78c098933a,21fd58f7d2a08c7673eaf3a1b75020eb864cdc34322fe79d0569481e906de837
"1","【攻擊者】攻擊力提升Lv1","10101","81101"
"2","【攻擊者】攻擊力提升Lv2","10101","81102"
"3","【攻擊者】攻擊力提升Lv3","10101","81103"
"4","【攻擊者】攻擊力提升Lv4","10101","81104"
"5","【攻擊者】攻擊力提升Lv5","10101","81105"
"1","【攻擊者】暴擊率提升Lv1","10102","81201"
"2","【攻擊者】暴擊率提升Lv2","10102","81202"
"3","【攻擊者】暴擊率提升Lv3","10102","81203"
"4","【攻擊者】暴擊率提升Lv4","10102","81204"
"5","【攻擊者】暴擊率提升Lv5","10102","81205"
"1","【攻擊者】造成傷害提升Lv1","10103","81301"
"2","【攻擊者】造成傷害提升Lv2","10103","81302"
"3","【攻擊者】造成傷害提升Lv3","10103","81303"
"4","【攻擊者】造成傷害提升Lv4","10103","81304"
"5","【攻擊者】造成傷害提升Lv5","10103","81305"
"1","【攻擊者】普通攻擊強化Lv1","10104","81401"
"2","【攻擊者】普通攻擊強化Lv2","10104","81402"
"3","【攻擊者】普通攻擊強化Lv3","10104","81403"
"4","【攻擊者】普通攻擊強化Lv4","10104","81404"
"5","【攻擊者】普通攻擊強化Lv5","10104","81405"
"1","【破防者】攻擊力提升Lv1","10201","82101"
"2","【破防者】攻擊力提升Lv2","10201","82102"
"3","【破防者】攻擊力提升Lv3","10201","82103"
"4","【破防者】攻擊力提升Lv4","10201","82104"
"5","【破防者】攻擊力提升Lv5","10201","82105"
"1","【破防者】暴擊率提升Lv1","10202","82201"
"2","【破防者】暴擊率提升Lv2","10202","82202"
"3","【破防者】暴擊率提升Lv3","10202","82203"
"4","【破防者】暴擊率提升Lv4","10202","82204"
"5","【破防者】暴擊率提升Lv5","10202","82205"
"1","【破防者】暴擊傷害提升Lv1","10203","82301"
"2","【破防者】暴擊傷害提升Lv2","10203","82302"
"3","【破防者】暴擊傷害提升Lv3","10203","82303"
"4","【破防者】暴擊傷害提升Lv4","10203","82304"
"5","【破防者】暴擊傷害提升Lv5","10203","82305"
"1","【破防者】普通攻擊強化Lv1","10204","82401"
"2","【破防者】普通攻擊強化Lv2","10204","82402"
"3","【破防者】普通攻擊強化Lv3","10204","82403"
"4","【破防者】普通攻擊強化Lv4","10204","82404"
"5","【破防者】普通攻擊強化Lv5","10204","82405"
"1","【增益者】ＨＰ提升Lv1","10301","83101"
"2","【增益者】ＨＰ提升Lv2","10301","83102"
"3","【增益者】ＨＰ提升Lv3","10301","83103"
"4","【增益者】ＨＰ提升Lv4","10301","83104"
"5","【增益者】ＨＰ提升Lv5","10301","83105"
"1","【增益者】物理防禦力提升Lv1","10302","83201"
"2","【增益者】物理防禦力提升Lv2","10302","83202"
"3","【增益者】物理防禦力提升Lv3","10302","83203"
"4","【增益者】物理防禦力提升Lv4","10302","83204"
"5","【增益者】物理防禦力提升Lv5","10302","83205"
"1","【增益者】魔法防禦力提升Lv1","10303","83301"
"2","【增益者】魔法防禦力提升Lv2","10303","83302"
"3","【增益者】魔法防禦力提升Lv3","10303","83303"
"4","【增益者】魔法防禦力提升Lv4","10303","83304"
"5","【增益者】魔法防禦力提升Lv5","10303","83305"
"1","【增益者】增益強化Lv1","10304","83401"
"2","【增益者】增益強化Lv2","10304","83402"
"3","【增益者】增益強化Lv3","10304","83403"
"4","【增益者】增益強化Lv4","10304","83404"
"5","【增益者】增益強化Lv5","10304","83405"
"1","【減益者】ＨＰ提升Lv1","10401","84101"
"2","【減益者】ＨＰ提升Lv2","10401","84102"
"3","【減益者】ＨＰ提升Lv3","10401","84103"
"4","【減益者】ＨＰ提升Lv4","10401","84104"
"5","【減益者】ＨＰ提升Lv5","10401","84105"
"1","【減益者】物理防禦力提升Lv1","10402","84201"
"2","【減益者】物理防禦力提升Lv2","10402","84202"
"3","【減益者】物理防禦力提升Lv3","10402","84203"
"4","【減益者】物理防禦力提升Lv4","10402","84204"
"5","【減益者】物理防禦力提升Lv5","10402","84205"
"1","【減益者】魔法防禦力提升Lv1","10403","84301"
"2","【減益者】魔法防禦力提升Lv2","10403","84302"
"3","【減益者】魔法防禦力提升Lv3","10403","84303"
"4","【減益者】魔法防禦力提升Lv4","10403","84304"
