ef17ca7d940fe59d7c4d376beacb24c87a043475f3842e34e4d9034973b7ae14,6c1a3a2b91fd0be95d8ddbbe4e56d02aa8dbde2c16bcf827983348fde6c31c44,41eb95e61f47918f9beb38d13fe468e9a9cf8de866b4993d16e55b65c892f6f3,9678de1624f6fdb23ac2262685e58155e39c01f8f46528e39eb64c4a5e031703,a50aadb5fa651ab0f6e78ee76dc859bcfa86668274653c0554a9935916a4c183
"1","1","97501","1","97501"
"2","3","97502","2","97502"
"1","1","97503","3","97503"
"1","1","97504","4","97504"
"1","1","97505","5","97505"
"2","3","97506","6","97506"
"2","3","97507","7","97507"
"2","3","97508","8","97508"
"1","1","97509","9","97509"
"1","1","97510","10","97510"
"2","3","97511","11","97511"
"2","3","97512","12","97512"
"2","3","97513","13","97513"
"2","3","97514","14","97514"
"1","1","97515","15","97515"
"2","3","97516","16","97516"
"2","3","97517","17","97517"
"2","3","97518","18","97518"
"2","3","97519","19","97519"
"2","3","97520","20","97520"
"1","1","97521","21","99657"
"1","1","97522","22","99668"
"1","1","97523","23","99686"
