006fb82ebff786a761caefbc6b949a3c95cb927c958f52b393b2967551aafbf4,c971d7cd6923ba013ed5f7d582c30385cdf91438032ce25396aff973aa320e4f,7a7075ea4c04c35efb375fe95494d6ad2f9d92c322c97e8f050d136f2569d356,39c556dccfb5e0dd036a5165cdc4b835e26f35705c89565bd3c47bcf53a5272e,d988096e28cf18d1da73570b5858241d8459a9bb9ede3e93b6219cb0734b381a,4fc17c1bc632d0a17fda73719828b468eb8dfcbee77013235af6d377c8bc9307,d1763208e1e40e4dab153e7fac8a5480fd4b07d6544549f18cbfa6370b87f43d,33294b66c305e03978e9dbd6f36b4160fede96040d26d7cb74f6ec39152f909c,cfdc7f796580dbb3f2d3c4bf96151e9e33145289407cb7db6674c985aaa582a8,0fb7f83e53824a78ccc9fc8c87db6337666d1c68073ff3da4c7397b366d3aad7,4da9ba9bf0087d9c0d604ad470ba962158a3f6d4ede97afe16ccad0bca9b8162
"101","11010001","","se_fpc_water_random","","","23","","","","se_10053800"
"101","11010002","1.75","<unit_id>","-180","-850","1","cmn_swm_tread","0","23","1"
"101","11010003","1.75","1","-180","-850","5","cmn_swm_tread_pink","0","22","1"
"101","11010004","1","3","1","-180","31","","","-850","3"
"101","11010005","","0","","","91","","","","0"
"101","11010006","","850","","10","2","","","-180","<unit_id>"
"101","11010007","","850","","10","2","","","-180","1"
"101","11010008","","850","","10","33","","","-180","3"
"102","11020001","","se_fpc_water_random","","","23","","","","se_10053800"
"102","11020002","1.75","<unit_id>","-180","-850","1","cmn_swm_tread","0","23","1"
"102","11020003","1.75","1","-180","-850","5","cmn_swm_tread_blue","0","22","1"
"102","11020004","1","3","1","-180","31","","","-850","3"
"102","11020005","","0","","","91","","","","0"
"102","11020006","","850","","10","2","","","-180","<unit_id>"
"102","11020007","","850","","10","2","","","-180","1"
"102","11020008","","850","","10","33","","","-180","3"
"103","11030001","","se_fpc_water_random","","","23","","","","se_10053800"
"103","11030002","1.75","<unit_id>","-180","-850","1","cmn_swm_tread","0","23","1"
"103","11030003","1.75","1","-180","-850","5","cmn_swm_tread","0","22","1"
"103","11030004","1","3","1","-180","31","","","-850","3"
"103","11030005","","0","","","91","","","","0"
"103","11030006","","850","","10","2","","","-180","<unit_id>"
"103","11030007","","850","","10","2","","","-180","1"
"103","11030008","","850","","10","33","","","-180","3"
