23e594a92fea073730c247d119943109a340cf18d7da96c0d6828ec0cf2f960e,10e9fcb44b81e7334e2109562b6d7aa55fa63c01af86b6af8cc0adf90361e28f,be5fa1d304f4888dcbf82b6b1a81a9e005cc9584daf605d41cc9fa574bf89403,d9fd81142010322ed8c409ff5172965862e622b32982174dbcc7b9bd9551b170,ca8fce910db6dbfa3da212bf15ddc05822f2479f6ffc79e3266ce6ae7630b7b9,76b3e64944d565e026cd488fbceac439f9c8b0dad7a1f89ba4aee8006e128052,edcc8a05bfc50f0c3ec379a6e964464956381e3ce8207d790e847c27225b4f3e,6d8d0a64ec2168a487dcf355cfa65d13d3f67991d7cde7db5c267e8162d536e0,5c8d389997cfc1689449a340dc618f9960ef02e4a8dc09c29703255ca2531b79,fa2d59ff68d1ce34673ae4dcbfe22a8f5a672f9d97fcccbf25e7add4380c12b6,7e2501a55ea57a5757d4147d28dd825af1d09eb11d2d83a13fd8f844717a9149,9dbde25786bbcba88c3e2ab4de88e2e2b0484897c0dcf224fb89cf1249770f6e,b512b16d6e9253f56ced4fb8e58564f4b1fe6ce651f996510cbdf8dbbc299056,dda6bd2ac48eb6c772f146d2f50908c446f29dd2d6117c42075ddcfc1a956cf7,0abd8fb6086e8ebbb840224e0d8cdfc4b5fb1c49a786ff6a3bd5f7eb08b1be5e,c43d50744bea5a6a87fef9275d987af2507223e817d02c62e66e36541d4c1edf,5d0979ab0b2bf3be34b8bd8590b6de26cb1090f57ad9836dd97f19aad8bed4a6,860dafbfd98f85896da58f7c13c9c92644b165a811a8de09f6e0e6214c0f7f11,3a0fb6539897dbbd9382195644e11c84529d919dfff21f05da35ddeca118af45,80952539e540c288bc2efaaa49763d581fba51278aa21d66b3d7207775e4b572,aeb876cf96c23aa45bbdb0f2950da8efab64c91b15ae6fc7b38d4562cec1bf6b,fd4ffca3b0aacb480ef0fc190bdfd427524396de2db7077d65983642e9359c2e
"-30","210","0","-30","bgm_M64","101001","0","-120","0.6","1","-480","0.7","1001","10010101","0.8","1","250","101001","1","10","1","1"
"0","200","0","-30","bgm_M64","101001","0","-120","0.75","1","-260","1","1001","10010102","1.2","2","0","101001","1","10","1","2"
"-10","200","-50","-30","bgm_M64","101001","0","0","0.75","1","-40","1","1001","10010103","1.1","3","100","101001","1","0","1","3"
"0","200","0","-30","bgm_M64","101001","0","-50","0.7","1","240","1","1001","10010104","1","4","0","101001","1","0","1","4"
"0","250","0","-30","bgm_M55","101011","0","-40","1.2","1","480","1","1001","10010105","1.3","5","200","101011","1","0","1","5"
"-30","210","0","-30","bgm_M64","101001","0","-155","0.6","1","-480","0.7","1002","10020101","0.8","1","250","101021","1","10","1","1"
"0","200","0","-30","bgm_M64","101001","0","-120","0.75","1","-265","1","1002","10020102","1.2","2","250","101021","1","10","1","2"
"-10","200","-30","-30","bgm_M64","101001","-15","30","0.9","1","-30","1","1002","10020103","1.4","3","100","101021","1","0","1","3"
"0","200","-30","-30","bgm_M64","101001","0","-90","1","1","220","1.25","1002","10020104","1.5","4","100","101021","1","0","1","4"
"0","250","0","-30","bgm_M55","101011","0","0","1.4","1","440","1.6","1002","10020105","1.8","5","200","101031","1","0","1","5"
"-30","210","0","-30","bgm_M64","101041","0","-155","0.6","1","-470","0.7","1003","10030101","0.8","1","250","101041","1","10","1","1"
"0","200","0","-30","bgm_M64","101041","0","-95","0.75","1","-210","1","1003","10030102","1.2","2","250","101041","1","10","1","2"
"-10","200","-50","-30","bgm_M64","101041","0","-120","0.75","1","50","1","1003","10030103","1.1","3","100","101041","1","0","1","3"
"0","200","-30","-30","bgm_M64","101041","0","35","0.8","1","195","1.2","1003","10030104","1.5","4","100","101041","1","0","1","4"
"0","210","-50","-30","bgm_M55","101042","0","-55","1.1","1","450","1.35","1003","10030105","1.8","5","150","101042","1","0","1","5"
"-30","210","0","-30","bgm_M64","101161","0","-120","0.6","1","-480","0.7","1004","10040101","0.8","1","250","101161","1","10","1","1"
"0","200","0","-30","bgm_M64","101161","0","-120","0.75","1","-260","1","1004","10040102","1.2","2","0","101161","1","10","1","2"
"-10","200","-30","-30","bgm_M64","101161","-15","55","0.9","1","-20","1","1004","10040103","1.4","3","100","101161","1","0","1","3"
"0","200","-30","-30","bgm_M64","101161","0","-30","0.9","1","180","1","1004","10040104","1.3","4","0","101161","1","0","1","4"
"-30","250","-50","-30","bgm_M55","101162","-40","-60","0.9","1","470","0.9","1004","10040105","1.2","5","200","101162","1","0","1","5"
"-30","210","0","-30","bgm_M64","101161","0","-120","0.6","1","-480","0.7","1005","10050101","0.8","1","250","101171","1","10","1","1"
"0","200","0","-30","bgm_M64","101161","0","-120","0.75","1","-260","1","1005","10050102","1.2","2","0","101171","1","10","1","2"
"-10","200","-30","-30","bgm_M64","101161","-15","45","0.9","1","-20","1","1005","10050103","1.4","3","100","101171","1","0","1","3"
"0","200","0","-30","bgm_M64","101161","0","-70","0.7","1","190","1","1005","10050104","1","4","0","101171","1","0","1","4"
"0","240","-30","-30","bgm_M55","101162","-40","-25","1","1","445","1","1005","10050105","1.3","5","200","101172","1","0","1","5"
"-30","210","0","-30","bgm_M64","101161","0","-120","0.6","1","-480","0.7","1006","10060101","0.8","1","250","101191","1","10","1","1"
"0","200","0","-30","bgm_M64","101161","0","-100","0.75","1","-260","1","1006","10060102","1.2","2","0","101191","1","10","1","2"
"-10","200","0","-30","bgm_M64","101161","-15","65","0.8","1","-10","1","1006","10060103","1.1","3","100","101191","1","0","1","3"
"0","200","0","-30","bgm_M64","101161","0","-110","0.8","1","190","1","1006","10060104","1.2","4","0","101191","1","0","1","4"
"-45","280","-50","-30","bgm_M55","101162","0","-70","0.9","1","485","1","1006","10060105","1.15","5","270","101192","1","-10","1","5"
"-30","210","0","-30","bgm_M64","101161","0","-120","0.6","1","-480","0.7","1007","10070101","0.8","1","250","101201","1","10","1","1"
"0","240","0","-30","bgm_M64","101161","0","-120","0.9","1","-260","1","1007","10070102","1.2","2","120","101201","1","10","1","2"
