625f09fddeaa55155ab740678b467b263fe9200080eeb8c4dfc1dfdede5b0dca,3bc4ba3a4a410f2af4b54a36053a6336c16cd8567538b4498631efd4e8cb1108,e38c301cfe3a3cd61a0a424dfeb0c643c2d8578d5064e8e5e4d44289bfb33550,fca660161bacb9e43ae36343c2512e911daadc2b842a0f7cbe030b1d89aa4262,15c32aab9d8a625ddb6a87d04a65cb19852d8c8158a33fc6e0e45ffedd7bd207,e9fec976dbc4b8040dedae45b04a13daebf5be468c9719573e122d08b25d2f94,4922e8238618b17adbed209d5c2bcae058355bbb700c4d5f85b332379bd29b8b,07b9e0295aaab758c50a7ed71d2b264d373af552f42efae240a1c06e64bd9641,23e68824840bca0ee397a81c945336f5bf1763214b35b47c0958f35f30234a15,1980058fa6686730385666eb7d78e7f39f6ec6d36e69456c2604229874091fa5,3ad5b75da7a333079f406e5f76dddb6da26981c9061ae38686a48da79c80405d,ee7fd0c30464b82e61bfc43f1a5e30f60cafdb0afdd8f5eca4d5225ae62819a8,cfde27b23417b6a1193bd858b72bd764e1ca543bca37c4ae8d030c72ffb29fab,41caeefd8551f1d54402440915f8bf4dbfd9472fadf32cb89728a94df840c31f,621f33feb0eda1101a193fcfe8f6862ebd2199fec306bc1ef6146c7b6c30c098
"20063115","91002","2","7","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","與貪吃佩可的相遇","0","5118061","在藍天下的謁見","2834","8","10118","1","跳蚤市場會場","40"
"20063115","91002","2","7","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","與真步的相遇","0","5118062","未來的騎空團\n吉祥物？","2835","8","10118","1","跳蚤市場會場","40"
"20063115","91002","2","7","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","與秋乃的相遇","0","5118063","來自大小姐的\n緊急委託","2837","8","10118","1","蘭德索爾市中心","40"
"20063115","91002","2","18","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","與純的相遇","0","5118064","金黃色的煩惱","4108402","8","10118","1","跳蚤市場會場","40"
"20063115","91002","2","18","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","與香織的相遇","0","5118065","白熱化！格鬥大會！","4107402","8","10118","1","跳蚤市場會場","40"
"20063115","91002","2","16","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","與妮諾的相遇","1","5118066","祭典太鼓是大江戶之花","9000227","8","10118","1","大江戶町","40"
"20063115","91002","3","19","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","與鈴奈的相遇","0","5118067","受歡迎的人\n總是姍姍來遲","2101181","8","10118","1","跳蚤市場會場","40"
"20063115","91002","3","18","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","與七七香的相遇","0","5118068","當巫女遇上魔法少女","4109402","8","10118","1","蘭德索爾市中心","40"
"20063115","91002","3","18","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","與凱留＆可可蘿的相遇","0","5118069","老鼠耳朵再次消失","4305402","8","10118","1","跳蚤市場會場","40"
"20063115","91002","3","18","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","與優花梨的相遇","0","5118070","為這次的相遇乾杯！","4101402","8","10118","1","蘭德索爾市中心","40"
"20063115","91002","3","18","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","與碧的相遇","0","5118071","陰陽合奏","4106402","8","10118","1","蘭德索爾市中心","40"
"20063115","91002","3","7","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","與忍的相遇","1","5118072","試手氣十戰決勝負！","2836","8","10118","1","跳蚤市場會場","40"
"20063115","0","1","0","0","序幕","0","5118600","她們的嶄新日常","0","0","10118","0","0","0"
