0b04d4a639a636f2e7ad11bf7cebb002381ac4a641e86b0ad0bc72e3d4fd3504,a22159f86a9174d8c99ed0547b7ace45c943d441942334fa02dd72d6045533b3,4a915ad9b2619428ad2a33419c3633a443e44e917793c6304d5755573e33d660,dcaa6ae04eef493dfa3667b61194a04ba9250ba0d0e40f4c620c3bdd0bd0ac54,6d2a623459ad2bfe86dda6d550511dbb3d0223aad120b3d02a2350ec8775e51e,cb50fb08679b7c9b0dc7211e83ed47cd56b0132c446c6e7fb46f939a24e0cd92,179ab4c20dd9fbc4a816ed17cbf09f7d17da1fe2806cf4aaf4c4660ec0331dcb,818d830a2ad790bd6f149b89c649b28aa9b3b8c09d35cda754997c52980be4f0,5a21d2c6a34651ae92c71c61507fa9d6e77abcece50f5f7379b3e2c2bd428d3d,75a2d1224f78f8ec9a3fbe803e2b092638970990293d8ecc73a0d71543218907
"0","3","1001","260311020","進行5次究極鍊成","5","26031","100","5","22"
"0","3","1002","260311021","進行10次究極鍊成","10","26031","200","5","22"
"0","3","1003","260311022","進行30次究極鍊成","30","26031","300","5","22"
"0","3","1004","260311023","進行50次究極鍊成","50","26031","400","5","22"
"0","3","1005","260311024","進行70次究極鍊成","70","26031","500","5","22"
"0","3","1006","260311025","進行100次究極鍊成","100","26031","1000","5","22"
"0","3","1007","260311026","將連結RANK合計提升10","10","26031","1000","5","42"
"0","3","1008","260311027","將角色的等級合計提升100","100","26031","1000","5","56"
"0","3","1009","260311028","將角色的等級合計提升200","200","26031","2000","5","56"
"0","3","1010","260311029","不使用掃蕩，通過5次黎明界迷宮","5","26031","1000","5","55"
"0","3","1011","260311030","不使用掃蕩，通過10次黎明界迷宮","10","26031","2000","5","55"
"0","1","1","260411001","登入遊戲1次","1","26041","200","3","43"
"0","1","2","260411002","消耗500體力","500","26041","200","3","45"
"0","1","3","260411003","完成合計4次經驗值冒險或瑪那冒險","4","26041","200","3","47"
"0","1","4","260411004","完成10次主線、活動或支線冒險","10","26041","200","3","48"
"0","1","5","260411005","完成10次深域冒險","10","26041","200","3","49"
"0","3","1001","260411006","進行5次究極鍊成","5","26041","100","5","22"
"0","3","1002","260411007","進行10次究極鍊成","10","26041","200","5","22"
"0","3","1003","260411008","進行30次究極鍊成","30","26041","300","5","22"
"0","3","1004","260411009","進行50次究極鍊成","50","26041","400","5","22"
"0","3","1005","260411010","進行70次究極鍊成","70","26041","500","5","22"
"0","3","1006","260411011","進行100次究極鍊成","100","26041","1000","5","22"
"0","3","1007","260411012","將連結RANK合計提升10","10","26041","1000","5","42"
"0","3","1008","260411013","將角色的等級合計提升100","100","26041","1000","5","56"
"0","3","1009","260411014","將角色的等級合計提升200","200","26041","2000","5","56"
"0","3","1010","260411015","不使用掃蕩，通過5次黎明界迷宮","5","26041","1000","5","55"
"0","3","1011","260411016","不使用掃蕩，通過10次黎明界迷宮","10","26041","2000","5","55"
"0","1","1","260511001","登入遊戲1次","1","26051","200","3","43"
"0","1","2","260511002","消耗500體力","500","26051","200","3","45"
"0","1","3","260511003","完成合計4次經驗值冒險或瑪那冒險","4","26051","200","3","47"
"0","1","4","260511004","完成10次主線、活動或支線冒險","10","26051","200","3","48"
"0","1","5","260511005","完成10次深域冒險","10","26051","200","3","49"
"0","3","1001","260511006","進行5次究極鍊成","5","26051","100","5","22"
"0","3","1002","260511007","進行10次究極鍊成","10","26051","200","5","22"
"0","3","1003","260511008","進行30次究極鍊成","30","26051","300","5","22"
"0","3","1004","260511009","進行50次究極鍊成","50","26051","400","5","22"
"0","3","1005","260511010","進行70次究極鍊成","70","26051","500","5","22"
"0","3","1006","260511011","進行100次究極鍊成","100","26051","1000","5","22"
"0","3","1007","260511012","將連結RANK合計提升10","10","26051","1000","5","42"
"0","3","1008","260511013","將角色的等級合計提升100","100","26051","1000","5","56"
"0","3","1009","260511014","將角色的等級合計提升200","200","26051","2000","5","56"
"0","3","1010","260511015","不使用掃蕩，通過5次黎明界迷宮","5","26051","1000","5","55"
"0","3","1011","260511016","不使用掃蕩，通過10次黎明界迷宮","10","26051","2000","5","55"
