0e01818f2af4ea96efbdde6ea219ca759442b90cda9ee2b6e41bb12894e5cac5,44c3ffbb08f2a955ca43ba144427baace0c34e268b57706a1745ce773ee5397f,f706155082efd5f438c012578e442164559ccc0436637f044e215f34d71ef091,a7fa3002f6e033a0f286d65ec1956f0034abcab0cbdb2b8eadeb57eaace92326,831c812bef45a78d103a6b01a03f4c4ad917dd7b6bc300574a62b9c4124eb538,18837243ecee2bd64858757ff907a2f21e0af3f4afa6bb594715e79bec59d801,b15167b0888b79256f65cfd0f321fc751e51b45543490da011e17ba8e32529c2,fcffd90e4f55662ccdbcb79cea57d43e4d59f7820d9e85af78afc41f66dd6759,afb797a325e85753af80e3003320cd830b95db055c600c077ccaad7691680c43,f0283f289aadcb42900f3e2f1ab83abe73f3a68441c3a7b1f077429fec2a348f,83d07879f5a2569ffae350601c102c4e26d1d80a60ade0df2bf43f4328a9f8e7,0be08ebaeffdf75f7a76e6740ed0c89e924ab3be19da6a7b0bb4d602cd32214d,0376e86dbc04b2f4a3b2a66810c5f5e91185fa4a3a4d3a9629f2ed37a38c1993,29f0f39e14a70b2a54a3f1f13f029a188a86c89251fad15656c143784931d1e9,297cf60d72aa833c45543f75d4659959fa4f1f5b011f0b313d13afc82743e817,d0b9bc8fa266531f3902a2f255f06800a67692f27685d33db090f7e28246e481,178e5052c8c5c9731bda982b63e905906be8aafa8b668eddec0ddd7a4ed87c9d,577139345549aa92fc4987cccd29311b6f8358427cfc5bf73b8ee7f55e462992
"1001","1","100","2","3","2","4","150003","3","94002","30","90005","91002","12","300000","8","20004","8"
"1001","2","150","4","3","2","4","150004","3","94002","30","90005","91002","12","400000","8","140001","60"
"1001","3","150","2","3","2","4","150005","3","94002","30","90005","91002","12","500000","8","20004","10"
"1001","4","200","4","3","2","4","150006","3","94002","30","90005","91002","12","750000","8","140001","90"
"1001","5","200","2","3","2","4","150007","3","94002","30","90005","91002","12","1000000","8","21951","1"
"1002","1","100","2","3","2","4","150003","3","94002","30","90005","91002","12","300000","8","20004","8"
"1002","2","150","4","3","2","4","150004","3","94002","30","90005","91002","12","400000","8","140001","60"
"1002","3","150","2","3","2","4","150005","3","94002","30","90005","91002","12","500000","8","20004","10"
"1002","4","200","4","3","2","4","150006","3","94002","30","90005","91002","12","750000","8","140001","90"
"1002","5","200","2","3","2","4","150007","3","94002","30","90005","91002","12","1000000","8","21951","1"
"1003","1","50","2","3","4","4","150003","100","94002","100","150004","91002","12","300000","8","20004","8"
"1003","2","100","4","3","2","4","150005","5","94002","50","90005","91002","12","400000","8","140001","60"
"1003","3","100","2","3","12","4","150006","500000","0","50","94002","91002","0","0","8","20004","10"
"1003","4","150","4","3","2","4","150007","10","94002","50","90005","91002","12","750000","8","140001","90"
"1003","5","150","2","3","12","4","150008","1000000","0","50","94002","91002","0","0","8","21951","1"
"1004","1","50","2","3","4","4","150003","100","94002","100","150004","91002","12","300000","8","20004","8"
"1004","2","100","4","3","2","4","150005","5","94002","50","90005","91002","12","400000","8","140001","60"
"1004","3","100","2","3","12","4","150006","500000","0","50","94002","91002","0","0","8","20004","10"
"1004","4","150","4","3","2","4","150007","10","94002","50","90005","91002","12","750000","8","140001","90"
"1004","5","150","2","3","12","4","150008","1000000","0","50","94002","91002","0","0","8","21951","1"
"1005","1","50","2","3","4","4","150003","100","94002","100","150004","91002","12","300000","8","20004","8"
"1005","2","100","4","3","2","4","150005","5","94002","50","90005","91002","12","400000","8","140001","60"
"1005","3","100","2","3","12","4","150006","500000","0","50","94002","91002","0","0","8","20004","10"
"1005","4","150","4","3","2","4","150007","10","94002","50","90005","91002","12","750000","8","140001","90"
"1005","5","150","2","3","12","4","150008","1000000","0","50","94002","91002","0","0","8","21951","1"
"1006","1","50","2","3","4","4","150004","100","94002","100","150005","91002","12","300000","8","20004","8"
"1006","2","100","4","3","2","4","150006","5","94002","50","90005","91002","12","400000","8","140001","60"
"1006","3","100","2","3","12","4","150007","500000","0","50","94002","91002","0","0","8","20004","10"
"1006","4","150","4","3","2","4","150008","10","94002","50","90005","91002","12","750000","8","140001","90"
"1006","5","150","2","3","12","4","150009","1000000","0","50","94002","91002","0","0","8","21951","1"
